payment_id,bank_account_token,payment_date,amount,vendor_id,business_unit,batch_id,payment_method
PAY-200221,TKN-60DA1CD973502BED,2024-10-13,1449.53,V-L037,BU_SOUTH,BATCH-20241013-14,ACH
PAY-201647,TKN-27039B6F7B661D17,2024-07-30,1777.21,V-L014,BU_WEST,BATCH-20240730-05,ACH
PAY-200430,TKN-4BE95D6A6198BFB5,2024-09-27,2468.91,V-L012,BU_WEST,BATCH-20240927-08,Wire
PAY-200775,TKN-81C9A022002FCABD,2024-09-24,2750.0,V-3001,BU_SOUTH,BATCH-20240924-07,Wire
PAY-200984,TKN-AC65057922F81A94,2024-08-08,249.28,V-L015,BU_WEST,BATCH-20240808-08,Wire
PAY-201696,TKN-93AE6358218DA24A,2024-07-20,5440.89,V-L031,BU_SOUTH,BATCH-20240720-18,Wire
PAY-201236,TKN-4BE95D6A6198BFB5,2024-09-30,145.49,V-L012,BU_WEST,BATCH-20240930-18,ACH
PAY-200260,TKN-1AD8564EF7F8A95F,2024-09-22,11997.78,V-L038,BU_SOUTH,BATCH-20240922-07,ACH
PAY-200519,TKN-2C4A465DFC73B6D8,2024-07-31,15156.65,V-L016,BU_WEST,BATCH-20240731-11,ACH
PAY-201314,TKN-0C3516518BC321B0,2024-09-19,13126.52,V-L018,BU_WEST,BATCH-20240919-02,Wire
PAY-201028,TKN-48EDFC26DC16E10D,2024-09-25,2857.98,V-L022,BU_NORTH,BATCH-20240925-15,Check
PAY-200539,TKN-1054BDE195270D33,2024-09-15,792.68,V-L032,BU_SOUTH,BATCH-20240915-16,ACH
PAY-201109,TKN-D20C58445CF68EE0,2024-11-03,4648.96,V-L030,BU_NORTH,BATCH-20241103-06,ACH
PAY-200325,TKN-D4FABCCC216B15D5,2024-09-11,1891.77,V-L021,BU_NORTH,BATCH-20240911-07,ACH
PAY-200240,TKN-1054BDE195270D33,2024-08-14,3834.92,V-L032,BU_SOUTH,BATCH-20240814-01,Check
PAY-200974,TKN-48EDFC26DC16E10D,2024-10-24,228.99,V-L022,BU_NORTH,BATCH-20241024-11,Wire
PAY-200821,TKN-B31AC7D73F3D7751,2024-10-08,3000.0,V-L001,BU_EAST,BATCH-20241008-08,ACH
PAY-200944,TKN-4E22EE139384365C,2024-07-22,2400.0,V-1001,BU_EAST,BATCH-20240722-06,Check
PAY-200125,TKN-2EADDE56632643BD,2024-10-09,4089.9,V-L013,BU_WEST,BATCH-20241009-06,ACH
PAY-200423,TKN-D20C58445CF68EE0,2024-09-27,1137.65,V-L030,BU_NORTH,BATCH-20240927-18,ACH
PAY-200713,TKN-79D10C23D9DC1EF8,2024-10-09,647.2,V-L024,BU_NORTH,BATCH-20241009-13,ACH
PAY-201361,TKN-502C2E18DBA84884,2024-09-22,319.85,V-L011,BU_WEST,BATCH-20240922-18,Wire
PAY-201341,TKN-4234DCDEE24D843A,2024-10-14,3554.89,V-L020,BU_WEST,BATCH-20241014-02,ACH
PAY-200765,TKN-15A308FCCBF587B2,2024-11-07,1477.53,V-L034,BU_SOUTH,BATCH-20241107-11,Wire
PAY-200433,TKN-E6316F607B123ACD,2024-10-04,385.42,V-L027,BU_NORTH,BATCH-20241004-09,Check
PAY-200354,TKN-81AF144DE43C96A0,2024-10-09,2271.9,V-L008,BU_EAST,BATCH-20241009-14,ACH
PAY-200163,TKN-09EDCFBE46A53DD2,2024-07-23,3600.0,V-5001,BU_SOUTH,BATCH-20240723-05,ACH
PAY-201467,TKN-93AE6358218DA24A,2024-10-25,1570.13,V-L031,BU_SOUTH,BATCH-20241025-09,Check
PAY-201121,TKN-D20C58445CF68EE0,2024-08-08,41.05,V-L030,BU_NORTH,BATCH-20240808-19,ACH
PAY-201101,TKN-9E445FE9A1581A22,2024-09-13,4500.0,V-1003,BU_NORTH,BATCH-20240913-18,ACH
PAY-200809,TKN-5F53880E4DB24CFE,2024-10-21,5250.0,V-4002,BU_NORTH,BATCH-20241021-09,ACH
PAY-201352,TKN-93AE6358218DA24A,2024-08-09,1057.58,V-L031,BU_SOUTH,BATCH-20240809-03,Wire
PAY-200585,TKN-AC65057922F81A94,2024-08-23,843.24,V-L015,BU_WEST,BATCH-20240823-11,ACH
PAY-201215,TKN-A3D5A2952B5FEC52,2024-09-04,8941.84,V-L040,BU_SOUTH,BATCH-20240904-19,Check
PAY-200708,TKN-09EDCFBE46A53DD2,2024-09-23,1400.0,V-5002,BU_SOUTH,BATCH-20240923-09,ACH
PAY-201645,TKN-AC65057922F81A94,2024-08-14,1314.01,V-L015,BU_WEST,BATCH-20240814-17,ACH
PAY-200995,TKN-81AF144DE43C96A0,2024-09-26,2670.07,V-L008,BU_EAST,BATCH-20240926-11,Check
PAY-200683,TKN-1054BDE195270D33,2024-09-22,6366.31,V-L032,BU_SOUTH,BATCH-20240922-07,ACH
PAY-200756,TKN-27039B6F7B661D17,2024-09-09,775.84,V-L014,BU_WEST,BATCH-20240909-15,ACH
PAY-201050,TKN-48EDFC26DC16E10D,2024-08-14,700.32,V-L022,BU_NORTH,BATCH-20240814-07,ACH
PAY-201643,TKN-8F6150DB3D331262,2024-10-02,348.07,V-L002,BU_EAST,BATCH-20241002-18,ACH
PAY-200169,TKN-0C3CB92313DFFD23,2024-10-03,3675.07,V-L010,BU_EAST,BATCH-20241003-06,ACH
PAY-201019,TKN-B3FBCDADBDB277A0,2024-10-01,4698.72,V-L017,BU_WEST,BATCH-20241001-05,Check
PAY-200862,TKN-59BEB7DEC80045CC,2024-08-06,1199.15,V-L028,BU_NORTH,BATCH-20240806-02,Check
PAY-200074,TKN-41919200D161AF9E,2024-09-27,5400.0,V-3003,BU_EAST,BATCH-20240927-10,ACH
PAY-200110,TKN-263FC1BCC18E47D2,2024-08-10,852.84,V-L026,BU_NORTH,BATCH-20240810-11,ACH
PAY-201464,TKN-79D10C23D9DC1EF8,2024-09-08,204.85,V-L024,BU_NORTH,BATCH-20240908-14,ACH
PAY-201308,TKN-21AB9E2101A73A02,2024-09-03,1456.27,V-L004,BU_EAST,BATCH-20240903-17,ACH
PAY-200213,TKN-09EDCFBE46A53DD2,2024-09-09,4500.0,V-5002,BU_SOUTH,BATCH-20240909-12,ACH
PAY-201205,TKN-0C3516518BC321B0,2024-09-03,1181.52,V-L019,BU_WEST,BATCH-20240903-01,ACH
PAY-201354,TKN-4C60DFF373752966,2024-08-23,1034.0,V-L033,BU_SOUTH,BATCH-20240823-06,Check
PAY-200988,TKN-11F3DE591C63624A,2024-09-13,1788.76,V-L007,BU_EAST,BATCH-20240913-13,ACH
PAY-200323,TKN-2EADDE56632643BD,2024-07-18,3739.21,V-L013,BU_WEST,BATCH-20240718-19,ACH
PAY-201031,TKN-59BEB7DEC80045CC,2024-08-04,8895.74,V-L028,BU_NORTH,BATCH-20240804-17,ACH
PAY-200052,TKN-4C60DFF373752966,2024-09-30,516.44,V-L033,BU_SOUTH,BATCH-20240930-03,ACH
PAY-200299,TKN-A33E6A14CA9F1D1B,2024-10-02,1131.81,V-L035,BU_SOUTH,BATCH-20241002-04,Check
PAY-200803,TKN-1054BDE195270D33,2024-08-10,2000.0,V-L032,BU_SOUTH,BATCH-20240810-05,ACH
PAY-200077,TKN-79D10C23D9DC1EF8,2024-09-03,5811.46,V-L024,BU_NORTH,BATCH-20240903-12,ACH
PAY-201389,TKN-4C60DFF373752966,2024-10-03,4931.69,V-L033,BU_SOUTH,BATCH-20241003-07,ACH
PAY-200793,TKN-41919200D161AF9E,2024-08-20,2250.0,V-3003,BU_EAST,BATCH-20240820-13,ACH
PAY-201642,TKN-5F53880E4DB24CFE,2024-09-16,4400.0,V-4001,BU_NORTH,BATCH-20240916-04,ACH
PAY-200384,TKN-41919200D161AF9E,2024-10-05,4500.0,V-3003,BU_EAST,BATCH-20241005-18,ACH
PAY-200987,TKN-D20C58445CF68EE0,2024-09-06,2310.0,V-L030,BU_NORTH,BATCH-20240906-08,Wire
PAY-200255,TKN-8F6150DB3D331262,2024-10-06,309.41,V-L002,BU_EAST,BATCH-20241006-05,ACH
PAY-201287,TKN-A3D5A2952B5FEC52,2024-10-11,1000.0,V-L040,BU_SOUTH,BATCH-20241011-19,ACH
PAY-201147,TKN-2C4A465DFC73B6D8,2024-10-13,6791.42,V-L016,BU_WEST,BATCH-20241013-04,Check
PAY-200124,TKN-93AE6358218DA24A,2024-08-07,47733.89,V-L031,BU_SOUTH,BATCH-20240807-07,ACH
PAY-200576,TKN-1AD8564EF7F8A95F,2024-08-02,2252.23,V-L038,BU_SOUTH,BATCH-20240802-01,Wire
PAY-201627,TKN-11F3DE591C63624A,2024-07-24,1742.55,V-L007,BU_EAST,BATCH-20240724-10,ACH
PAY-200463,TKN-1AD8564EF7F8A95F,2024-09-22,1000.0,V-L038,BU_SOUTH,BATCH-20240922-01,ACH
PAY-200366,TKN-A9429345671A5713,2024-09-21,1843.38,V-L005,BU_EAST,BATCH-20240921-02,Wire
PAY-201157,TKN-60DA1CD973502BED,2024-08-08,1917.77,V-L037,BU_SOUTH,BATCH-20240808-19,ACH
