invoice_id,vendor_id,invoice_date,amount,currency,description,po_number,approver_id,business_unit,payment_status,gl_account
INV-101345,V-L024,2024-09-29,1165.51,USD,Temporary Staffing,PO-64085,AP-010,BU_NORTH,Pending,5050-Professional Svc
INV-101700,V-L031,2024-07-19,5750.01,USD,Utilities - Monthly,PO-71745,AP-010,BU_SOUTH,Pending,5010-Office Supplies
INV-100101,V-2001,2024-09-28,3500.0,USD,Operational Support,PO-23300,AP-002,BU_WEST,Pending,5050-Professional Svc
INV-100417,V-L002,2024-07-28,3000.0,USD,Insurance Premium,PO-86199,AP-010,BU_EAST,Paid,5070-Raw Materials
INV-100650,V-L007,2024-07-16,12744.84,USD,IT Hardware,PO-49770,AP-007,BU_EAST,Partial,5040-Maintenance
INV-101250,V-L021,2024-09-21,5123.41,USD,IT Hardware,PO-32956,AP-003,BU_NORTH,Partial,5070-Raw Materials
INV-102007,V-L038,2024-07-31,2036.07,USD,Vehicle Maintenance,PO-43513,AP-013,BU_SOUTH,Paid,5070-Raw Materials
INV-101923,V-L036,2024-07-19,977.62,USD,Utilities - Monthly,PO-22802,AP-015,BU_SOUTH,Pending,5050-Professional Svc
INV-102022,V-L038,2024-08-26,507.42,USD,Cleaning Services,PO-55015,AP-012,BU_SOUTH,Paid,5050-Professional Svc
INV-100486,V-L003,2024-08-10,1748.13,USD,Office Supplies - Monthly,PO-33922,AP-014,BU_EAST,Pending,5050-Professional Svc
INV-101566,V-L028,2024-07-29,2550.89,USD,Equipment Maintenance,PO-64770,AP-012,BU_NORTH,Partial,5020-IT Services
INV-101387,V-L024,2024-09-09,1347.38,USD,Office Supplies - Monthly,PO-48209,AP-009,BU_NORTH,Paid,5070-Raw Materials
INV-101092,V-L017,2024-07-17,1023.12,USD,Printing Services,PO-59543,AP-003,BU_WEST,Paid,5070-Raw Materials
INV-100232,V-4002,2024-08-17,1650.0,USD,Technical Support,PO-56820,AP-007,BU_NORTH,Paid,5050-Professional Svc
INV-100766,V-L010,2024-08-30,177.84,USD,Shipping & Freight,PO-24856,AP-004,BU_EAST,Partial,5010-Office Supplies
INV-101792,V-L033,2024-08-02,3009.15,USD,Software License Renewal,PO-43120,AP-009,BU_SOUTH,Pending,5080-Utilities
INV-100351,V-L001,2024-07-06,2005.82,USD,Catering Services,PO-54877,AP-002,BU_EAST,Pending,5030-Consulting
INV-100384,V-L001,2024-08-10,26256.75,USD,Shipping & Freight,PO-21483,AP-002,BU_EAST,Paid,5040-Maintenance
INV-100439,V-L002,2024-08-25,5418.36,USD,Printing Services,PO-50264,AP-012,BU_EAST,Pending,5030-Consulting
INV-102091,V-L039,2024-09-11,7184.24,USD,Printing Services,PO-75482,AP-002,BU_SOUTH,Paid,5050-Professional Svc
INV-101357,V-L024,2024-07-18,925.59,USD,Catering Services,PO-12107,AP-011,BU_NORTH,Paid,5020-IT Services
INV-100071,V-1003,2024-09-07,2250.0,USD,Consulting Services,PO-48632,AP-009,BU_NORTH,Paid,5050-Professional Svc
INV-100591,V-L006,2024-08-04,2564.31,USD,Equipment Maintenance,PO-37063,AP-013,BU_EAST,Paid,5010-Office Supplies
INV-100260,V-5001,2024-08-17,1050.0,USD,Advisory Services,PO-90650,AP-011,BU_SOUTH,Paid,5030-Consulting
INV-100307,V-6001,2024-07-28,3150.0,USD,Technical Support,PO-10675,AP-001,BU_EAST,Paid,5030-Consulting
INV-101346,V-L024,2024-08-25,1211.17,USD,Advertising - Digital,PO-90741,AP-006,BU_NORTH,Paid,5070-Raw Materials
INV-101053,V-L016,2024-08-04,810.86,USD,Training Materials,PO-92133,AP-001,BU_WEST,Paid,5080-Utilities
INV-101774,V-L033,2024-07-08,6543.47,USD,Training Materials,PO-79097,AP-001,BU_SOUTH,Paid,5080-Utilities
INV-101362,V-L024,2024-07-19,4575.31,USD,Office Supplies - Monthly,PO-89012,AP-006,BU_NORTH,Pending,5040-Maintenance
INV-100185,V-3003,2024-08-25,5400.0,USD,Advisory Services,PO-54721,AP-006,BU_EAST,Paid,5030-Consulting
INV-100986,V-L015,2024-07-16,1006.54,USD,Network Equipment,PO-14642,AP-007,BU_WEST,Pending,5080-Utilities
INV-101846,V-L034,2024-08-25,851.91,USD,Insurance Premium,PO-91024,AP-007,BU_SOUTH,Paid,5060-Logistics
INV-100322,V-6001,2024-09-28,6600.0,USD,Consulting Services,PO-54212,AP-004,BU_EAST,Pending,5030-Consulting
INV-101303,V-L022,2024-08-28,3766.48,USD,Office Supplies - Monthly,PO-12442,AP-011,BU_NORTH,Pending,5080-Utilities
INV-100427,V-L002,2024-08-25,2126.32,USD,Equipment Maintenance,PO-98197,AP-006,BU_EAST,Paid,5050-Professional Svc
INV-101359,V-L024,2024-07-24,5811.46,USD,Printing Services,PO-67113,AP-009,BU_NORTH,Paid,5010-Office Supplies
INV-102127,V-L040,2024-08-09,1103.55,USD,Software License Renewal,PO-62943,AP-008,BU_SOUTH,Pending,5070-Raw Materials
INV-101132,V-L018,2024-07-27,537.41,USD,Shipping & Freight,PO-91757,AP-004,BU_WEST,Paid,5050-Professional Svc
INV-101818,V-L034,2024-09-05,229.3,USD,Office Supplies - Monthly,PO-25227,AP-011,BU_SOUTH,Pending,5060-Logistics
INV-100231,V-4002,2024-08-11,3600.0,USD,Consulting Services,PO-47734,AP-014,BU_NORTH,Paid,5050-Professional Svc
INV-100234,V-4002,2024-08-24,2250.0,USD,Project Management,PO-42368,AP-015,BU_NORTH,Paid,5030-Consulting
INV-101780,V-L033,2024-07-03,3804.06,USD,Utilities - Monthly,PO-61217,AP-015,BU_SOUTH,Partial,5040-Maintenance
INV-100549,V-L005,2024-09-15,5861.9,USD,Vehicle Maintenance,PO-81866,AP-015,BU_EAST,Paid,5010-Office Supplies
INV-100963,V-L014,2024-07-27,1723.8,USD,Advertising - Digital,PO-88955,AP-015,BU_WEST,Pending,5050-Professional Svc
INV-101259,V-L021,2024-08-02,1743.22,USD,Printing Services,PO-66729,AP-013,BU_NORTH,Paid,5060-Logistics
INV-100189,V-3003,2024-09-14,5400.0,USD,Operational Support,PO-35608,AP-006,BU_EAST,Pending,5030-Consulting
INV-100638,V-L007,2024-07-08,1243.93,USD,IT Hardware,PO-77759,AP-010,BU_EAST,Partial,5060-Logistics
INV-100343,V-6002,2024-09-14,3500.0,USD,Strategic Advisory,PO-90505,AP-012,BU_WEST,Paid,5050-Professional Svc
INV-100600,V-L006,2024-09-18,2153.3,USD,Vehicle Maintenance,PO-70673,AP-002,BU_EAST,Paid,5030-Consulting
INV-101771,V-L033,2024-07-08,5469.87,USD,Office Supplies - Monthly,,AP-003,BU_SOUTH,Paid,5080-Utilities
INV-100197,V-4001,2024-07-13,4200.0,USD,Business Analysis,PO-19270,AP-005,BU_NORTH,Paid,5030-Consulting
INV-101642,V-L030,2024-08-16,1189.07,USD,Accounting Services,PO-16691,AP-001,BU_NORTH,Paid,5020-IT Services
INV-101510,V-L027,2024-08-06,2118.26,USD,Office Supplies - Monthly,PO-34116,AP-015,BU_NORTH,Paid,5060-Logistics
INV-100846,V-L011,2024-08-19,4000.0,USD,Catering Services,PO-71606,AP-003,BU_WEST,Partial,5020-IT Services
INV-100994,V-L015,2024-09-23,249.18,USD,Raw Materials - Batch,PO-26203,AP-014,BU_WEST,Paid,5060-Logistics
INV-100868,V-L012,2024-09-29,7255.85,USD,Building Repairs,PO-35560,AP-009,BU_WEST,Paid,5020-IT Services
INV-100368,V-L001,2024-07-05,2379.21,USD,Equipment Maintenance,PO-93833,AP-007,BU_EAST,Paid,5050-Professional Svc
INV-100940,V-L013,2024-08-29,2168.56,USD,Shipping & Freight,PO-55191,AP-004,BU_WEST,Paid,5080-Utilities
INV-101826,V-L034,2024-08-29,1000.0,USD,Shipping & Freight,PO-50539,AP-002,BU_SOUTH,Paid,5020-IT Services
INV-101460,V-L026,2024-08-20,576.51,USD,Cleaning Services,PO-17154,AP-005,BU_NORTH,Paid,5060-Logistics
INV-100068,V-1003,2024-08-31,3150.0,USD,Technical Support,PO-92373,AP-014,BU_NORTH,Paid,5030-Consulting
INV-101454,V-L026,2024-07-27,3960.8,USD,Software License Renewal,PO-48112,AP-011,BU_NORTH,Paid,5080-Utilities
INV-101315,V-L023,2024-07-25,1370.64,USD,Cleaning Services,PO-49723,AP-014,BU_NORTH,Paid,5010-Office Supplies
INV-100556,V-L005,2024-08-20,555.73,USD,Network Equipment,PO-64778,AP-014,BU_EAST,Partial,5080-Utilities
INV-101470,V-L026,2024-09-11,23867.26,USD,Temporary Staffing,PO-71708,AP-003,BU_NORTH,Partial,5040-Maintenance
INV-102065,V-L039,2024-08-23,273.97,USD,Printing Services,PO-20342,AP-007,BU_SOUTH,Paid,5040-Maintenance
INV-100708,V-L008,2024-07-03,1241.67,USD,Legal Services,PO-57477,AP-007,BU_EAST,Paid,5040-Maintenance
INV-101976,V-L037,2024-08-27,366.66,USD,Insurance Premium,PO-82134,AP-009,BU_SOUTH,Paid,5060-Logistics
INV-101667,V-L031,2024-08-03,1636.93,USD,Office Supplies - Monthly,PO-24415,AP-008,BU_SOUTH,Paid,5070-Raw Materials
INV-100860,V-L012,2024-09-13,18772.85,USD,Building Repairs,PO-15292,AP-002,BU_WEST,Pending,5080-Utilities
INV-100942,V-L013,2024-08-03,829.69,USD,Advertising - Digital,PO-97088,AP-002,BU_WEST,Paid,5060-Logistics
INV-101176,V-L019,2024-08-03,569.07,USD,Raw Materials - Batch,PO-27594,AP-009,BU_WEST,Paid,5020-IT Services
INV-101205,V-L020,2024-08-03,1472.57,USD,Cleaning Services,PO-88952,AP-005,BU_WEST,Paid,5010-Office Supplies
INV-101450,V-L026,2024-07-26,852.84,USD,Office Supplies - Monthly,PO-87227,AP-015,BU_NORTH,Paid,5080-Utilities
INV-101191,V-L019,2024-07-15,837.18,USD,Training Materials,PO-16917,AP-007,BU_WEST,Partial,5010-Office Supplies
INV-100355,V-L001,2024-07-25,850.49,USD,Security Services,PO-59895,AP-002,BU_EAST,Paid,5020-IT Services
INV-101358,V-L024,2024-07-18,5382.31,USD,Legal Services,PO-14273,AP-011,BU_NORTH,Paid,5030-Consulting
INV-100252,V-5001,2024-07-21,3150.0,USD,Operational Support,PO-65256,AP-015,BU_SOUTH,Paid,5050-Professional Svc
INV-100129,V-3001,2024-07-14,3000.0,USD,Management Consulting,PO-85609,AP-004,BU_SOUTH,Pending,5050-Professional Svc
INV-100870,V-L012,2024-07-13,572.41,USD,Security Services,PO-38809,AP-014,BU_WEST,Paid,5030-Consulting
INV-101912,V-L036,2024-09-24,3138.03,USD,Shipping & Freight,PO-26992,AP-014,BU_SOUTH,Paid,5050-Professional Svc
INV-100276,V-5002,2024-07-13,4400.0,USD,Management Consulting,PO-77855,AP-001,BU_SOUTH,Paid,5050-Professional Svc
INV-101825,V-L034,2024-08-30,21000.0,USD,Building Repairs,PO-68365,AP-002,BU_SOUTH,Paid,5030-Consulting
INV-101434,V-L025,2024-07-25,1434.79,USD,Legal Services,,AP-011,BU_NORTH,Paid,5040-Maintenance
INV-100052,V-1003,2024-07-06,8250.0,USD,IT Consulting,PO-17594,AP-012,BU_NORTH,Pending,5030-Consulting
INV-100212,V-4001,2024-09-07,4500.0,USD,Project Management,PO-17997,AP-009,BU_NORTH,Paid,5050-Professional Svc
INV-101902,V-L036,2024-09-16,335.77,USD,IT Hardware,PO-64596,AP-003,BU_SOUTH,Partial,5040-Maintenance
INV-100809,V-L011,2024-08-09,1835.4,USD,Advertising - Digital,PO-39180,AP-014,BU_WEST,Paid,5080-Utilities
INV-100462,V-L003,2024-08-27,504.58,USD,Advertising - Digital,PO-29944,AP-001,BU_EAST,Paid,5070-Raw Materials
INV-101675,V-L031,2024-07-09,47733.89,USD,Network Equipment,PO-22312,AP-014,BU_SOUTH,Paid,5010-Office Supplies
INV-100943,V-L013,2024-08-29,6826.66,USD,Equipment Maintenance,PO-63522,AP-011,BU_WEST,Partial,5050-Professional Svc
INV-100817,V-L011,2024-09-20,548.0,USD,Utilities - Monthly,PO-50414,AP-004,BU_WEST,Paid,5020-IT Services
INV-101531,V-L027,2024-08-07,11068.56,USD,Training Materials,PO-40074,AP-014,BU_NORTH,Paid,5050-Professional Svc
INV-101702,V-L031,2024-07-25,493.15,USD,Office Supplies - Monthly,PO-33630,AP-012,BU_SOUTH,Paid,5080-Utilities
INV-101472,V-L026,2024-07-19,904.54,USD,Building Repairs,PO-83414,AP-005,BU_NORTH,Paid,5030-Consulting
INV-101911,V-L036,2024-09-01,1426.66,USD,Advertising - Digital,PO-97208,AP-011,BU_SOUTH,Paid,5070-Raw Materials
INV-100572,V-L005,2024-08-06,1398.9,USD,Advertising - Digital,PO-87306,AP-003,BU_EAST,Paid,5010-Office Supplies
INV-100298,V-5002,2024-09-28,6600.0,USD,Advisory Services,PO-15771,AP-005,BU_SOUTH,Paid,5050-Professional Svc
INV-100415,V-L002,2024-09-09,2285.44,USD,Vehicle Maintenance,PO-36048,AP-004,BU_EAST,Pending,5030-Consulting
INV-100283,V-5002,2024-08-10,6750.0,USD,IT Consulting,PO-98916,AP-007,BU_SOUTH,Paid,5050-Professional Svc
INV-101558,V-L028,2024-09-16,338.2,USD,Raw Materials - Batch,PO-39715,AP-005,BU_NORTH,Paid,5070-Raw Materials
INV-101592,V-L029,2024-07-24,1233.84,USD,IT Hardware,PO-10354,AP-008,BU_NORTH,Partial,5010-Office Supplies
INV-100531,V-L004,2024-09-12,938.38,USD,Temporary Staffing,PO-23965,AP-005,BU_EAST,Partial,5030-Consulting
INV-101217,V-L020,2024-07-05,1358.84,USD,Temporary Staffing,PO-74360,AP-004,BU_WEST,Partial,5060-Logistics
INV-101248,V-L021,2024-08-26,1665.67,USD,Insurance Premium,PO-57258,AP-015,BU_NORTH,Paid,5070-Raw Materials
INV-101369,V-L024,2024-09-03,1974.97,USD,Security Services,PO-42066,AP-002,BU_NORTH,Paid,5070-Raw Materials
INV-101421,V-L025,2024-09-26,2384.13,USD,Raw Materials - Batch,PO-48140,AP-009,BU_NORTH,Paid,5030-Consulting
INV-101576,V-L029,2024-08-19,1154.23,USD,Equipment Maintenance,PO-37210,AP-008,BU_NORTH,Paid,5050-Professional Svc
INV-100841,V-L011,2024-09-25,3499.64,USD,Security Services,PO-99269,AP-014,BU_WEST,Paid,5010-Office Supplies
INV-100553,V-L005,2024-07-03,1290.93,USD,Software License Renewal,PO-80448,AP-006,BU_EAST,Paid,5020-IT Services
INV-101291,V-L022,2024-07-16,349.96,USD,Printing Services,PO-43329,AP-012,BU_NORTH,Paid,5060-Logistics
INV-101375,V-L024,2024-09-17,801.65,USD,Equipment Maintenance,PO-50108,AP-002,BU_NORTH,Partial,5060-Logistics
INV-101690,V-L031,2024-09-26,891.13,USD,Legal Services,PO-18533,AP-009,BU_SOUTH,Paid,5010-Office Supplies
INV-101838,V-L034,2024-07-26,1482.42,USD,Shipping & Freight,PO-98909,AP-006,BU_SOUTH,Paid,5050-Professional Svc
INV-102134,V-L040,2024-07-16,2551.39,USD,Advertising - Digital,PO-36625,AP-004,BU_SOUTH,Pending,5080-Utilities
INV-101230,V-L020,2024-07-24,12494.97,USD,Utilities - Monthly,PO-95123,AP-001,BU_WEST,Paid,5080-Utilities
INV-101539,V-L028,2024-08-07,3283.76,USD,Raw Materials - Batch,PO-62942,AP-003,BU_NORTH,Paid,5060-Logistics
INV-100472,V-L003,2024-09-01,2025.95,USD,Security Services,PO-93399,AP-003,BU_EAST,Paid,5010-Office Supplies
INV-102020,V-L038,2024-07-02,10656.67,USD,Training Materials,PO-30570,AP-009,BU_SOUTH,Partial,5040-Maintenance
INV-100536,V-L005,2024-09-03,280.62,USD,Legal Services,,AP-002,BU_EAST,Paid,5030-Consulting
INV-100433,V-L002,2024-07-05,2142.45,USD,Software License Renewal,PO-73900,AP-008,BU_EAST,Paid,5040-Maintenance
INV-100880,V-L012,2024-07-29,6160.13,USD,Office Supplies - Monthly,PO-51147,AP-005,BU_WEST,Paid,5020-IT Services
INV-100597,V-L006,2024-09-30,7938.16,USD,Insurance Premium,PO-52644,AP-003,BU_EAST,Paid,5070-Raw Materials
INV-100121,V-2002,2024-08-31,1650.0,USD,Business Analysis,PO-77447,AP-010,BU_WEST,Paid,5030-Consulting
INV-100290,V-5002,2024-08-24,1750.0,USD,Advisory Services,PO-21322,AP-013,BU_SOUTH,Paid,5030-Consulting
INV-100369,V-L001,2024-07-11,189.88,USD,Cleaning Services,PO-26962,AP-007,BU_EAST,Paid,5070-Raw Materials
INV-102011,V-L038,2024-09-15,4000.0,USD,Vehicle Maintenance,PO-41503,AP-014,BU_SOUTH,Partial,5020-IT Services
INV-100057,V-1003,2024-07-20,4500.0,USD,Business Analysis,PO-22630,AP-012,BU_NORTH,Paid,5030-Consulting
INV-101335,V-L023,2024-08-07,959.71,USD,Cleaning Services,,AP-008,BU_NORTH,Paid,5050-Professional Svc
INV-102129,V-L040,2024-08-13,752.61,USD,Equipment Maintenance,PO-47041,AP-005,BU_SOUTH,Paid,5040-Maintenance
INV-100248,V-5001,2024-07-13,3600.0,USD,Consulting Services,PO-14065,AP-001,BU_SOUTH,Paid,5030-Consulting
INV-101324,V-L023,2024-07-10,336.39,USD,Building Repairs,PO-67726,AP-015,BU_NORTH,Paid,5050-Professional Svc
INV-100528,V-L004,2024-09-24,2134.2,USD,Software License Renewal,PO-17086,AP-005,BU_EAST,Paid,5020-IT Services
INV-101246,V-L021,2024-08-16,634.56,USD,Office Supplies - Monthly,PO-28548,AP-002,BU_NORTH,Paid,5010-Office Supplies
INV-100783,V-L010,2024-09-17,1672.28,USD,Temporary Staffing,PO-43006,AP-013,BU_EAST,Paid,5040-Maintenance
INV-101651,V-L030,2024-08-29,2890.03,USD,Building Repairs,PO-59774,AP-008,BU_NORTH,Paid,5020-IT Services
INV-101853,V-L035,2024-07-23,667.63,USD,Training Materials,PO-48672,AP-007,BU_SOUTH,Pending,5070-Raw Materials
INV-100799,V-L010,2024-09-17,3675.07,USD,Legal Services,PO-16573,AP-003,BU_EAST,Paid,5080-Utilities
INV-101657,V-L031,2024-09-14,164.85,USD,Equipment Maintenance,PO-61089,AP-015,BU_SOUTH,Pending,5070-Raw Materials
INV-100410,V-L002,2024-08-09,2737.7,USD,Legal Services,PO-75597,AP-012,BU_EAST,Paid,5020-IT Services
INV-101051,V-L016,2024-09-17,6788.33,USD,Advertising - Digital,PO-77643,AP-005,BU_WEST,Paid,5030-Consulting
INV-100813,V-L011,2024-07-06,1701.55,USD,Insurance Premium,PO-56481,AP-011,BU_WEST,Paid,5060-Logistics
INV-101164,V-L019,2024-08-10,542.3,USD,Printing Services,PO-85925,AP-004,BU_WEST,Paid,5050-Professional Svc
INV-101883,V-L035,2024-07-23,2794.4,USD,Vehicle Maintenance,PO-78816,AP-014,BU_SOUTH,Partial,5060-Logistics
INV-101874,V-L035,2024-09-22,569.35,USD,Insurance Premium,PO-80382,AP-008,BU_SOUTH,Pending,5010-Office Supplies
INV-101445,V-L025,2024-07-28,1715.99,USD,Building Repairs,PO-38579,AP-012,BU_NORTH,Paid,5020-IT Services
INV-101563,V-L028,2024-08-05,434.39,USD,Building Repairs,PO-32381,AP-012,BU_NORTH,Paid,5020-IT Services
INV-101011,V-L015,2024-09-25,28975.25,USD,Printing Services,PO-21040,AP-002,BU_WEST,Paid,5040-Maintenance
INV-101084,V-L017,2024-09-22,2775.46,USD,Utilities - Monthly,PO-90269,AP-014,BU_WEST,Pending,5030-Consulting
INV-100045,V-1002,2024-09-08,1350.0,USD,Management Consulting,PO-38433,AP-001,BU_EAST,Pending,5030-Consulting
