return_id,order_id,channel_id,quantity_returned,processing_cost_per_unit,return_date,reason_code
RET-000219,ORD-00313,CH03,2,11.08,2024-01-20,CHANGED_MIND
RET-000220,ORD-00314,CH03,3,8.69,2024-01-17,NOT_AS_DESCRIBED
RET-000221,ORD-00315,CH03,1,9.01,2024-01-20,CHANGED_MIND
RET-000222,ORD-00316,CH03,2,9.29,2024-02-08,DEFECTIVE
RET-000223,ORD-00319,CH03,1,10.36,2024-02-07,WRONG_SIZE
RET-000224,ORD-00320,CH03,1,11.13,2024-02-13,WRONG_SIZE
RET-000225,ORD-00321,CH03,1,9.08,2024-02-04,CHANGED_MIND
RET-000226,ORD-00322,CH03,2,8.67,2024-01-20,DEFECTIVE
RET-000227,ORD-00323,CH03,1,10.99,2024-01-18,WRONG_SIZE
RET-000228,ORD-00324,CH03,1,10.16,2024-02-14,CHANGED_MIND
RET-000229,ORD-00326,CH03,1,10.25,2024-01-30,CHANGED_MIND
RET-000230,ORD-00332,CH03,2,10.16,2024-01-09,DEFECTIVE
RET-000231,ORD-00336,CH03,1,9.96,2024-02-12,DEFECTIVE
RET-000232,ORD-00337,CH03,2,8.98,2024-01-03,CHANGED_MIND
RET-000233,ORD-00338,CH03,2,10.05,2024-01-10,CHANGED_MIND
RET-000234,ORD-00341,CH03,3,10.47,2024-01-17,CHANGED_MIND
RET-000235,ORD-00343,CH03,1,9.98,2024-01-04,DEFECTIVE
RET-000236,ORD-00344,CH03,1,8.56,2024-01-15,DEFECTIVE
RET-000237,ORD-00350,CH03,2,9.87,2024-01-17,NOT_AS_DESCRIBED
RET-000238,ORD-00352,CH03,1,8.84,2024-01-26,WRONG_SIZE
RET-000239,ORD-00353,CH03,1,10.98,2024-01-26,NOT_AS_DESCRIBED
RET-000240,ORD-00360,CH03,1,9.24,2024-01-18,CHANGED_MIND
RET-000241,ORD-00363,CH03,3,8.66,2024-01-12,CHANGED_MIND
RET-000242,ORD-00365,CH03,1,9.83,2024-02-03,CHANGED_MIND
RET-000243,ORD-00369,CH03,1,11.42,2024-01-29,DEFECTIVE
RET-000244,ORD-00370,CH03,2,11.12,2024-01-24,DEFECTIVE
RET-000245,ORD-00371,CH03,1,10.0,2024-01-26,NOT_AS_DESCRIBED
RET-000246,ORD-00375,CH03,1,9.4,2024-01-16,NOT_AS_DESCRIBED
RET-000247,ORD-00383,CH03,1,9.44,2024-01-06,DEFECTIVE
RET-000248,ORD-00388,CH03,2,10.83,2024-01-28,CHANGED_MIND
RET-000249,ORD-00391,CH03,1,10.09,2024-01-26,DEFECTIVE
RET-000250,ORD-00392,CH03,1,8.83,2024-01-27,DEFECTIVE
RET-000251,ORD-00395,CH03,2,10.38,2024-01-26,CHANGED_MIND
RET-000252,ORD-00396,CH03,1,8.88,2024-01-23,CHANGED_MIND
RET-000253,ORD-00400,CH03,2,8.5,2024-01-16,WRONG_SIZE
RET-000254,ORD-00401,CH03,2,8.72,2024-02-04,WRONG_SIZE
RET-000255,ORD-00408,CH03,2,9.03,2024-01-31,DEFECTIVE
RET-000256,ORD-00411,CH03,1,8.88,2024-01-30,CHANGED_MIND
RET-000257,ORD-00412,CH03,1,8.57,2024-01-11,CHANGED_MIND
RET-000258,ORD-00413,CH03,1,10.53,2024-01-31,WRONG_SIZE
RET-000259,ORD-00415,CH03,1,11.29,2024-01-09,DEFECTIVE
RET-000260,ORD-00416,CH03,2,11.48,2024-01-17,DEFECTIVE
RET-000261,ORD-00417,CH03,1,9.25,2024-02-01,WRONG_SIZE
RET-000262,ORD-00419,CH03,2,11.02,2024-01-19,NOT_AS_DESCRIBED
RET-000263,ORD-00422,CH03,1,9.64,2024-02-07,WRONG_SIZE
RET-000264,ORD-00424,CH03,2,8.94,2024-01-25,NOT_AS_DESCRIBED
RET-000265,ORD-00425,CH03,2,10.81,2024-01-11,NOT_AS_DESCRIBED
RET-000266,ORD-00426,CH03,1,9.13,2024-01-22,CHANGED_MIND
RET-000267,ORD-00427,CH03,1,11.21,2024-01-29,NOT_AS_DESCRIBED
RET-000268,ORD-00428,CH03,1,9.19,2024-02-08,CHANGED_MIND
RET-000269,ORD-00429,CH03,2,9.52,2024-01-17,WRONG_SIZE
RET-000270,ORD-00431,CH03,1,9.17,2024-01-30,WRONG_SIZE
RET-000271,ORD-00436,CH03,1,9.46,2024-02-04,CHANGED_MIND
RET-000272,ORD-00437,CH03,1,10.83,2024-02-02,DEFECTIVE
RET-000273,ORD-00438,CH03,1,8.89,2024-01-07,DEFECTIVE
RET-000274,ORD-00439,CH03,3,11.35,2024-01-21,DEFECTIVE
RET-000275,ORD-00441,CH03,1,9.32,2024-01-21,NOT_AS_DESCRIBED
RET-000276,ORD-00443,CH03,1,9.38,2024-01-19,WRONG_SIZE
RET-000277,ORD-00444,CH03,1,9.9,2024-01-19,WRONG_SIZE
RET-000278,ORD-00446,CH03,1,8.62,2024-02-04,WRONG_SIZE
RET-000279,ORD-00447,CH03,1,9.87,2024-01-06,NOT_AS_DESCRIBED
RET-000280,ORD-00449,CH03,1,8.53,2024-01-24,DEFECTIVE
RET-000281,ORD-00450,CH03,1,10.68,2024-02-06,WRONG_SIZE
RET-000282,ORD-00451,CH03,3,9.41,2024-01-28,DEFECTIVE
RET-000283,ORD-00452,CH03,1,8.7,2024-01-08,WRONG_SIZE
RET-000284,ORD-00455,CH03,1,8.57,2024-01-09,DEFECTIVE
RET-000285,ORD-00457,CH03,1,9.19,2024-02-06,CHANGED_MIND
RET-000286,ORD-00459,CH03,2,11.14,2024-01-29,DEFECTIVE
RET-000287,ORD-00461,CH03,2,8.56,2024-01-13,DEFECTIVE
RET-000288,ORD-00462,CH03,1,9.4,2024-01-26,CHANGED_MIND
RET-000289,ORD-00467,CH03,1,10.02,2024-01-16,WRONG_SIZE
RET-000290,ORD-00469,CH03,1,8.83,2024-01-25,CHANGED_MIND
RET-000291,ORD-00470,CH03,4,9.29,2024-01-07,DEFECTIVE
RET-000292,ORD-00471,CH03,1,9.5,2024-01-05,NOT_AS_DESCRIBED
RET-000293,ORD-00474,CH03,2,9.05,2024-01-12,CHANGED_MIND
RET-000294,ORD-00477,CH03,3,11.08,2024-01-14,CHANGED_MIND
RET-000295,ORD-00479,CH03,1,9.65,2024-01-13,CHANGED_MIND
RET-000296,ORD-00481,CH03,2,9.14,2024-01-17,DEFECTIVE
RET-000297,ORD-00482,CH03,3,9.58,2024-01-11,CHANGED_MIND
RET-000298,ORD-00484,CH03,1,8.87,2024-02-01,WRONG_SIZE
RET-000299,ORD-00485,CH03,1,9.11,2024-01-31,DEFECTIVE
RET-000300,ORD-00486,CH03,4,11.33,2024-01-21,WRONG_SIZE
RET-000301,ORD-00487,CH03,2,10.8,2024-02-07,CHANGED_MIND
RET-000302,ORD-00489,CH03,1,9.24,2024-01-30,DEFECTIVE
RET-000303,ORD-00497,CH03,1,11.14,2024-01-10,DEFECTIVE
RET-000304,ORD-00498,CH03,1,10.63,2024-01-24,WRONG_SIZE
RET-000305,ORD-00499,CH03,1,10.88,2024-01-06,WRONG_SIZE
RET-000306,ORD-00500,CH03,2,10.73,2024-02-12,CHANGED_MIND
RET-000307,ORD-00501,CH03,2,9.57,2024-01-13,CHANGED_MIND
RET-000308,ORD-00503,CH03,1,9.71,2024-02-09,CHANGED_MIND
RET-000309,ORD-00505,CH03,3,10.9,2024-02-08,NOT_AS_DESCRIBED
RET-000310,ORD-00506,CH03,1,10.51,2024-01-19,WRONG_SIZE
RET-000311,ORD-00507,CH03,1,10.63,2024-01-14,WRONG_SIZE
RET-000312,ORD-00508,CH03,1,10.34,2024-01-19,CHANGED_MIND
RET-000313,ORD-00516,CH03,2,11.33,2024-01-18,WRONG_SIZE
RET-000314,ORD-00517,CH03,1,11.03,2024-01-09,NOT_AS_DESCRIBED
RET-000315,ORD-00520,CH03,3,11.27,2024-01-21,DEFECTIVE
RET-000316,ORD-00521,CH03,1,11.0,2024-01-19,WRONG_SIZE
RET-000317,ORD-00523,CH03,1,9.85,2024-01-11,CHANGED_MIND
RET-000318,ORD-00524,CH03,2,10.54,2024-01-07,DEFECTIVE
RET-000319,ORD-00525,CH03,1,9.74,2024-01-25,NOT_AS_DESCRIBED
RET-000320,ORD-00526,CH03,2,9.33,2024-01-14,WRONG_SIZE
RET-000321,ORD-00527,CH03,1,10.39,2024-02-10,CHANGED_MIND
RET-000322,ORD-00528,CH03,1,10.08,2024-01-27,WRONG_SIZE
RET-000323,ORD-00529,CH03,1,10.47,2024-01-25,WRONG_SIZE
RET-000324,ORD-00531,CH03,2,10.72,2024-02-05,CHANGED_MIND
RET-000325,ORD-00532,CH03,1,10.53,2024-01-22,CHANGED_MIND
RET-000326,ORD-00533,CH03,1,10.13,2024-02-06,NOT_AS_DESCRIBED
RET-000327,ORD-00535,CH03,1,11.34,2024-02-05,DEFECTIVE
RET-000328,ORD-00539,CH03,3,8.56,2024-02-07,DEFECTIVE
RET-000329,ORD-00541,CH03,3,8.52,2024-01-17,WRONG_SIZE
RET-000330,ORD-00542,CH03,1,9.51,2024-01-16,CHANGED_MIND
RET-000331,ORD-00543,CH03,1,8.99,2024-01-12,WRONG_SIZE
RET-000332,ORD-00544,CH03,1,10.17,2024-01-08,DEFECTIVE
RET-000333,ORD-00545,CH03,1,11.32,2024-02-04,DEFECTIVE
RET-000334,ORD-00547,CH03,3,11.38,2024-01-26,DEFECTIVE
RET-000335,ORD-00548,CH03,1,11.43,2024-02-13,DEFECTIVE
RET-000336,ORD-00550,CH03,2,8.78,2024-01-28,NOT_AS_DESCRIBED
RET-000337,ORD-00551,CH03,2,10.07,2024-01-13,WRONG_SIZE
RET-000338,ORD-00552,CH03,2,9.81,2024-01-19,WRONG_SIZE
RET-000339,ORD-00553,CH03,3,10.46,2024-01-27,WRONG_SIZE
RET-000340,ORD-00555,CH03,1,8.99,2024-02-05,WRONG_SIZE
RET-000341,ORD-00560,CH03,3,10.6,2024-01-15,DEFECTIVE
RET-000342,ORD-00561,CH03,1,9.21,2024-01-20,WRONG_SIZE
RET-000343,ORD-00562,CH03,2,11.06,2024-01-13,CHANGED_MIND
