order_id,channel_id,product_id,order_date,quantity,unit_price
ORD-00064,CH01,SKU-0012,2024-01-21,1,82.51
ORD-00065,CH01,SKU-0040,2024-01-30,3,48.13
ORD-00066,CH01,SKU-0036,2024-01-30,3,37.89
ORD-00067,CH01,SKU-0016,2024-01-10,2,69.2
ORD-00068,CH01,SKU-0047,2024-01-31,3,31.08
ORD-00069,CH01,SKU-0016,2024-01-17,2,78.84
ORD-00070,CH01,SKU-0021,2024-01-28,3,68.48
ORD-00071,CH01,SKU-0020,2024-01-06,2,42.88
ORD-00072,CH01,SKU-0050,2024-01-10,1,21.81
ORD-00073,CH01,SKU-0019,2024-01-14,2,37.68
ORD-00074,CH01,SKU-0007,2024-01-08,3,293.4
ORD-00075,CH01,SKU-0015,2024-01-10,3,44.25
ORD-00076,CH01,SKU-0049,2024-01-24,1,33.7
ORD-00077,CH01,SKU-0050,2024-01-04,3,21.27
ORD-00078,CH01,SKU-0035,2024-01-08,3,26.19
ORD-00079,CH01,SKU-0047,2024-01-10,2,30.77
ORD-00080,CH01,SKU-0043,2024-01-13,2,16.32
ORD-00081,CH01,SKU-0023,2024-01-10,1,107.58
ORD-00082,CH01,SKU-0019,2024-01-01,2,34.03
ORD-00083,CH01,SKU-0031,2024-01-05,2,63.63
ORD-00084,CH01,SKU-0029,2024-01-25,3,64.29
ORD-00085,CH01,SKU-0017,2024-01-14,1,47.92
ORD-00086,CH01,SKU-0020,2024-01-05,3,39.59
ORD-00087,CH01,SKU-0031,2024-01-28,2,60.52
ORD-00088,CH01,SKU-0020,2024-01-03,2,49.9
ORD-00089,CH01,SKU-0050,2024-01-08,1,21.44
ORD-00090,CH01,SKU-0013,2024-01-21,1,85.56
ORD-00091,CH01,SKU-0015,2024-01-18,1,43.18
ORD-00092,CH01,SKU-0032,2024-01-18,2,52.04
ORD-00093,CH01,SKU-0013,2024-01-25,2,80.98
ORD-00094,CH01,SKU-0017,2024-01-31,1,56.86
ORD-00095,CH01,SKU-0021,2024-01-22,2,62.03
ORD-00096,CH01,SKU-0038,2024-01-10,1,31.91
ORD-00097,CH01,SKU-0013,2024-01-07,2,74.97
ORD-00098,CH01,SKU-0011,2024-01-11,3,79.39
ORD-00099,CH01,SKU-0034,2024-01-29,3,58.24
ORD-00100,CH01,SKU-0049,2024-01-10,2,28.73
ORD-00101,CH01,SKU-0023,2024-01-06,3,107.14
ORD-00102,CH01,SKU-0015,2024-01-05,1,43.89
ORD-00103,CH01,SKU-0006,2024-01-11,3,223.36
ORD-00104,CH01,SKU-0012,2024-01-03,1,89.14
ORD-00105,CH01,SKU-0016,2024-01-03,1,63.5
ORD-00106,CH01,SKU-0025,2024-01-02,1,95.0
ORD-00107,CH01,SKU-0014,2024-01-11,2,63.62
ORD-00108,CH01,SKU-0022,2024-01-27,1,79.59
ORD-00109,CH01,SKU-0033,2024-01-15,3,57.4
ORD-00110,CH01,SKU-0029,2024-01-13,2,63.31
ORD-00111,CH01,SKU-0016,2024-01-11,3,69.26
ORD-00112,CH01,SKU-0038,2024-01-24,2,27.95
ORD-00113,CH01,SKU-0038,2024-01-13,2,26.81
ORD-00114,CH01,SKU-0033,2024-01-24,2,51.78
ORD-00115,CH01,SKU-0020,2024-01-11,1,38.19
ORD-00116,CH01,SKU-0012,2024-01-26,1,79.65
ORD-00117,CH01,SKU-0041,2024-01-27,2,47.69
ORD-00118,CH01,SKU-0012,2024-01-14,1,92.3
ORD-00119,CH01,SKU-0020,2024-01-30,2,48.52
ORD-00120,CH01,SKU-0030,2024-01-06,2,55.36
ORD-00121,CH01,SKU-0027,2024-01-30,1,99.53
ORD-00122,CH01,SKU-0043,2024-01-18,1,17.03
ORD-00123,CH01,SKU-0018,2024-01-12,2,63.9
ORD-00124,CH01,SKU-0048,2024-01-02,2,23.22
ORD-00125,CH01,SKU-0010,2024-01-20,2,344.1
ORD-00126,CH01,SKU-0023,2024-01-24,1,95.86
ORD-00127,CH01,SKU-0022,2024-01-05,3,90.66
ORD-00128,CH01,SKU-0014,2024-01-17,1,54.01
ORD-00129,CH01,SKU-0012,2024-01-20,1,89.94
ORD-00130,CH01,SKU-0017,2024-01-01,2,43.1
ORD-00131,CH01,SKU-0041,2024-01-24,1,46.49
ORD-00132,CH01,SKU-0027,2024-01-28,3,85.72
ORD-00133,CH01,SKU-0041,2024-01-27,2,41.27
ORD-00134,CH01,SKU-0040,2024-01-07,2,45.87
ORD-00135,CH01,SKU-0015,2024-01-10,2,35.67
ORD-00136,CH01,SKU-0037,2024-01-04,3,61.87
ORD-00137,CH01,SKU-0005,2024-01-17,1,200.85
ORD-00138,CH01,SKU-0012,2024-01-27,2,78.57
ORD-00139,CH01,SKU-0032,2024-01-08,1,51.04
ORD-00140,CH01,SKU-0031,2024-01-09,2,55.92
ORD-00141,CH01,SKU-0020,2024-01-25,2,39.76
ORD-00142,CH01,SKU-0029,2024-01-04,3,81.42
ORD-00143,CH01,SKU-0028,2024-01-15,1,79.05
ORD-00144,CH01,SKU-0037,2024-01-27,1,60.0
ORD-00145,CH01,SKU-0030,2024-01-22,3,54.57
ORD-00146,CH01,SKU-0016,2024-01-02,2,85.82
ORD-00147,CH01,SKU-0013,2024-01-15,2,72.65
ORD-00148,CH01,SKU-0020,2024-01-25,3,44.62
ORD-00149,CH01,SKU-0030,2024-01-11,1,56.94
ORD-00150,CH01,SKU-0035,2024-01-31,1,26.49
ORD-00151,CH01,SKU-0020,2024-01-25,2,42.27
ORD-00152,CH01,SKU-0016,2024-01-10,2,66.36
ORD-00153,CH01,SKU-0013,2024-01-25,1,67.57
ORD-00154,CH01,SKU-0039,2024-01-12,2,40.74
ORD-00155,CH01,SKU-0037,2024-01-25,2,66.28
ORD-00156,CH01,SKU-0017,2024-01-29,3,55.89
ORD-00157,CH01,SKU-0008,2024-01-09,2,254.92
ORD-00158,CH01,SKU-0025,2024-01-15,2,89.56
ORD-00159,CH01,SKU-0013,2024-01-12,2,77.95
ORD-00160,CH01,SKU-0034,2024-01-12,1,50.51
ORD-00161,CH01,SKU-0016,2024-01-16,1,67.21
ORD-00162,CH01,SKU-0018,2024-01-07,3,56.23
ORD-00163,CH01,SKU-0048,2024-01-17,2,29.13
ORD-00164,CH01,SKU-0013,2024-01-29,3,84.22
ORD-00165,CH01,SKU-0012,2024-01-31,2,92.71
ORD-00166,CH01,SKU-0011,2024-01-13,3,85.58
ORD-00167,CH01,SKU-0012,2024-01-31,3,90.33
ORD-00168,CH01,SKU-0001,2024-01-22,3,288.44
ORD-00169,CH01,SKU-0010,2024-01-11,2,296.45
ORD-00170,CH01,SKU-0018,2024-01-16,1,64.32
ORD-00171,CH01,SKU-0003,2024-01-18,2,169.34
ORD-00172,CH01,SKU-0028,2024-01-28,3,84.82
ORD-00173,CH01,SKU-0030,2024-01-02,2,50.76
ORD-00174,CH01,SKU-0013,2024-01-25,2,68.89
ORD-00175,CH01,SKU-0012,2024-01-08,2,89.21
ORD-00176,CH01,SKU-0030,2024-01-27,3,56.71
ORD-00177,CH01,SKU-0039,2024-01-30,1,40.8
ORD-00178,CH01,SKU-0039,2024-01-04,1,38.19
ORD-00179,CH01,SKU-0004,2024-01-08,3,330.41
ORD-00180,CH01,SKU-0016,2024-01-19,3,85.49
ORD-00181,CH01,SKU-0020,2024-01-04,2,41.91
ORD-00182,CH01,SKU-0015,2024-01-25,3,34.77
ORD-00183,CH01,SKU-0023,2024-01-22,3,91.9
ORD-00184,CH01,SKU-0014,2024-01-01,1,64.51
ORD-00185,CH01,SKU-0010,2024-01-14,2,341.76
ORD-00186,CH01,SKU-0017,2024-01-21,2,44.55
ORD-00187,CH01,SKU-0022,2024-01-05,2,92.19
ORD-00188,CH01,SKU-0011,2024-01-17,3,74.62
ORD-00189,CH01,SKU-0040,2024-01-18,1,47.14
ORD-00190,CH01,SKU-0002,2024-01-04,1,335.27
ORD-00191,CH01,SKU-0046,2024-01-07,3,20.49
ORD-00192,CH01,SKU-0019,2024-01-03,1,43.18
ORD-00193,CH01,SKU-0036,2024-01-28,2,39.71
ORD-00194,CH01,SKU-0047,2024-01-14,1,32.15
ORD-00195,CH01,SKU-0044,2024-01-12,1,44.35
ORD-00196,CH01,SKU-0040,2024-01-02,2,60.12
ORD-00197,CH01,SKU-0033,2024-01-17,3,53.37
ORD-00198,CH01,SKU-0030,2024-01-30,1,43.0
ORD-00199,CH01,SKU-0038,2024-01-09,3,24.72
ORD-00200,CH01,SKU-0011,2024-01-05,3,83.07
ORD-00201,CH01,SKU-0028,2024-01-28,2,100.51
ORD-00202,CH01,SKU-0026,2024-01-14,3,52.33
ORD-00203,CH01,SKU-0040,2024-01-09,1,60.28
ORD-00204,CH01,SKU-0014,2024-01-09,2,52.59
ORD-00205,CH01,SKU-0012,2024-01-21,3,77.5
ORD-00206,CH01,SKU-0029,2024-01-26,2,76.62
ORD-00207,CH01,SKU-0012,2024-01-12,3,97.3
ORD-00208,CH01,SKU-0020,2024-01-25,3,38.73
ORD-00209,CH01,SKU-0014,2024-01-30,2,58.76
ORD-00210,CH01,SKU-0019,2024-01-22,2,43.15
ORD-00211,CH01,SKU-0018,2024-01-27,2,57.41
ORD-00212,CH01,SKU-0014,2024-01-13,1,55.59
ORD-00213,CH01,SKU-0012,2024-01-18,1,77.05
ORD-00214,CH01,SKU-0018,2024-01-29,1,57.23
ORD-00215,CH01,SKU-0019,2024-01-10,2,32.53
ORD-00216,CH01,SKU-0022,2024-01-31,1,81.16
ORD-00217,CH01,SKU-0019,2024-01-21,1,37.98
ORD-00218,CH01,SKU-0050,2024-01-08,1,22.54
ORD-00219,CH01,SKU-0046,2024-01-29,1,18.9
ORD-00220,CH01,SKU-0011,2024-01-18,1,68.59
ORD-00221,CH01,SKU-0014,2024-01-21,3,58.65
ORD-00222,CH01,SKU-0027,2024-01-25,2,86.58
ORD-00223,CH01,SKU-0039,2024-01-20,2,44.01
ORD-00224,CH01,SKU-0030,2024-01-03,1,47.52
ORD-00225,CH01,SKU-0035,2024-01-20,1,26.05
ORD-00226,CH01,SKU-0030,2024-01-24,1,47.97
ORD-00227,CH01,SKU-0022,2024-01-20,2,80.55
ORD-00228,CH01,SKU-0014,2024-01-21,1,60.67
ORD-00229,CH01,SKU-0032,2024-01-24,2,48.92
ORD-00230,CH01,SKU-0018,2024-01-30,3,52.39
ORD-00231,CH01,SKU-0038,2024-01-19,1,24.63
ORD-00232,CH01,SKU-0035,2024-01-16,1,26.7
ORD-00233,CH01,SKU-0020,2024-01-04,2,50.08
ORD-00234,CH01,SKU-0025,2024-01-14,3,87.19
ORD-00235,CH01,SKU-0020,2024-01-08,1,44.83
ORD-00236,CH01,SKU-0033,2024-01-02,2,59.08
ORD-00237,CH01,SKU-0006,2024-01-16,3,251.8
ORD-00238,CH01,SKU-0049,2024-01-02,3,29.25
ORD-00239,CH01,SKU-0019,2024-01-24,3,39.48
ORD-00240,CH01,SKU-0048,2024-01-20,2,26.48
ORD-00241,CH01,SKU-0032,2024-01-10,3,55.35
ORD-00242,CH01,SKU-0024,2024-01-21,3,70.39
ORD-00243,CH01,SKU-0040,2024-01-19,3,50.8
ORD-00244,CH01,SKU-0035,2024-01-16,2,29.03
ORD-00245,CH01,SKU-0041,2024-01-17,3,41.07
ORD-00246,CH01,SKU-0013,2024-01-05,2,82.34
ORD-00247,CH01,SKU-0024,2024-01-04,1,69.67
ORD-00248,CH01,SKU-0018,2024-01-09,3,65.06
ORD-00249,CH01,SKU-0026,2024-01-25,1,61.38
ORD-00250,CH01,SKU-0012,2024-01-10,2,80.24
ORD-00251,CH01,SKU-0024,2024-01-23,2,74.83
ORD-00252,CH01,SKU-0028,2024-01-06,3,94.94
ORD-00253,CH01,SKU-0018,2024-01-25,2,57.79
ORD-00254,CH01,SKU-0022,2024-01-10,1,82.97
ORD-00255,CH01,SKU-0034,2024-01-26,1,53.76
ORD-00256,CH01,SKU-0038,2024-01-15,2,24.32
ORD-00257,CH01,SKU-0023,2024-01-04,3,105.57
ORD-00258,CH01,SKU-0029,2024-01-26,2,71.0
ORD-00259,CH01,SKU-0043,2024-01-06,1,15.25
ORD-00260,CH01,SKU-0012,2024-01-13,2,87.38
ORD-00261,CH01,SKU-0018,2024-01-06,1,62.56
ORD-00262,CH01,SKU-0004,2024-01-05,2,309.59
ORD-00263,CH01,SKU-0021,2024-01-27,2,66.43
ORD-00264,CH01,SKU-0014,2024-01-24,2,53.41
ORD-00265,CH01,SKU-0031,2024-01-20,3,58.38
ORD-00266,CH01,SKU-0027,2024-01-31,2,105.55
ORD-00267,CH01,SKU-0015,2024-01-26,2,43.85
ORD-00268,CH01,SKU-0050,2024-01-15,2,21.44
ORD-00269,CH01,SKU-0038,2024-01-19,1,23.86
ORD-00270,CH01,SKU-0015,2024-01-13,2,39.19
ORD-00271,CH01,SKU-0015,2024-01-20,2,39.87
ORD-00272,CH01,SKU-0019,2024-01-07,3,33.36
ORD-00273,CH01,SKU-0012,2024-01-24,3,97.45
ORD-00274,CH01,SKU-0020,2024-01-28,1,48.49
ORD-00275,CH01,SKU-0042,2024-01-24,1,46.16
ORD-00276,CH01,SKU-0013,2024-01-30,2,79.15
ORD-00277,CH01,SKU-0015,2024-01-20,2,39.93
ORD-00278,CH01,SKU-0033,2024-01-07,1,51.12
ORD-00279,CH01,SKU-0028,2024-01-24,1,101.4
ORD-00280,CH01,SKU-0045,2024-01-22,1,23.6
ORD-00281,CH01,SKU-0037,2024-01-07,1,61.08
ORD-00282,CH01,SKU-0019,2024-01-29,3,35.13
ORD-00283,CH01,SKU-0018,2024-01-31,1,61.27
ORD-00284,CH01,SKU-0049,2024-01-09,3,27.13
ORD-00285,CH01,SKU-0034,2024-01-01,3,49.22
ORD-00286,CH01,SKU-0045,2024-01-08,3,21.02
ORD-00287,CH01,SKU-0018,2024-01-18,3,62.91
ORD-00288,CH01,SKU-0034,2024-01-07,3,58.28
ORD-00289,CH01,SKU-0027,2024-01-12,1,97.11
ORD-00290,CH01,SKU-0020,2024-01-07,1,37.57
ORD-00291,CH01,SKU-0029,2024-01-24,2,78.83
ORD-00292,CH01,SKU-0021,2024-01-24,2,68.38
ORD-00293,CH01,SKU-0002,2024-01-06,2,318.89
ORD-00294,CH01,SKU-0012,2024-01-15,2,85.86
ORD-00295,CH01,SKU-0038,2024-01-23,3,29.11
ORD-00296,CH01,SKU-0017,2024-01-13,1,56.73
ORD-00297,CH01,SKU-0017,2024-01-03,2,55.84
ORD-00298,CH01,SKU-0013,2024-01-24,1,81.99
ORD-00299,CH01,SKU-0020,2024-01-05,1,43.19
ORD-00300,CH01,SKU-0043,2024-01-15,2,14.41
ORD-00301,CH01,SKU-0033,2024-01-07,1,61.78
ORD-00302,CH01,SKU-0020,2024-01-09,2,47.57
ORD-00303,CH01,SKU-0047,2024-01-09,1,30.43
ORD-00304,CH01,SKU-0032,2024-01-13,2,60.35
ORD-00305,CH01,SKU-0020,2024-01-20,1,48.15
ORD-00306,CH01,SKU-0034,2024-01-06,1,45.57
ORD-00307,CH01,SKU-0018,2024-01-05,2,63.11
ORD-00308,CH01,SKU-0043,2024-01-27,2,17.9
ORD-00309,CH01,SKU-0023,2024-01-17,3,90.23
ORD-00310,CH01,SKU-0021,2024-01-10,2,78.38
ORD-00311,CH01,SKU-0011,2024-01-19,2,81.38
ORD-00312,CH01,SKU-0042,2024-01-30,1,51.57
ORD-00313,CH01,SKU-0002,2024-01-02,3,345.52
ORD-00314,CH01,SKU-0019,2024-01-24,3,38.11
ORD-00315,CH01,SKU-0011,2024-01-20,3,81.14
ORD-00316,CH01,SKU-0033,2024-01-08,3,50.23
ORD-00317,CH01,SKU-0014,2024-01-16,2,58.09
ORD-00318,CH01,SKU-0046,2024-01-25,3,20.43
ORD-00319,CH01,SKU-0030,2024-01-25,3,46.01
ORD-00320,CH01,SKU-0008,2024-01-17,1,283.03
ORD-00321,CH01,SKU-0008,2024-01-15,1,292.48
ORD-00322,CH01,SKU-0010,2024-01-29,3,368.53
ORD-00323,CH01,SKU-0022,2024-01-12,3,85.07
ORD-00324,CH01,SKU-0037,2024-01-31,1,67.14
ORD-00325,CH01,SKU-0013,2024-01-20,1,74.68
ORD-00326,CH01,SKU-0039,2024-01-25,2,37.11
ORD-00327,CH01,SKU-0007,2024-01-15,2,353.23
ORD-00328,CH01,SKU-0039,2024-01-24,1,37.31
ORD-00329,CH01,SKU-0043,2024-01-10,2,16.42
ORD-00330,CH01,SKU-0037,2024-01-01,3,74.36
ORD-00331,CH01,SKU-0035,2024-01-10,1,28.23
ORD-00332,CH01,SKU-0036,2024-01-02,2,35.68
ORD-00333,CH01,SKU-0005,2024-01-24,2,228.14
ORD-00334,CH01,SKU-0011,2024-01-30,2,73.14
ORD-00335,CH01,SKU-0019,2024-01-17,1,40.63
ORD-00336,CH01,SKU-0023,2024-01-24,1,109.07
ORD-00337,CH01,SKU-0038,2024-01-17,3,25.54
ORD-00338,CH01,SKU-0026,2024-01-08,3,58.51
ORD-00339,CH01,SKU-0038,2024-01-11,1,23.96
ORD-00340,CH01,SKU-0020,2024-01-20,1,46.36
ORD-00341,CH01,SKU-0034,2024-01-04,3,53.46
ORD-00342,CH01,SKU-0015,2024-01-20,1,38.67
ORD-00343,CH01,SKU-0014,2024-01-26,1,64.75
ORD-00344,CH01,SKU-0039,2024-01-18,3,37.89
ORD-00345,CH01,SKU-0042,2024-01-06,1,54.3
ORD-00346,CH01,SKU-0030,2024-01-11,3,56.09
ORD-00347,CH01,SKU-0009,2024-01-05,1,265.76
ORD-00348,CH01,SKU-0021,2024-01-03,2,62.55
ORD-00349,CH01,SKU-0001,2024-01-01,3,292.01
ORD-00350,CH01,SKU-0032,2024-01-18,3,58.49
ORD-00351,CH01,SKU-0031,2024-01-13,3,60.71
ORD-00352,CH01,SKU-0019,2024-01-17,2,39.37
ORD-00353,CH01,SKU-0020,2024-01-22,3,42.92
ORD-00354,CH01,SKU-0014,2024-01-06,1,57.44
ORD-00355,CH01,SKU-0045,2024-01-14,3,19.91
ORD-00356,CH01,SKU-0012,2024-01-27,3,81.53
ORD-00357,CH01,SKU-0037,2024-01-21,1,71.45
ORD-00358,CH01,SKU-0029,2024-01-24,3,62.98
ORD-00359,CH01,SKU-0023,2024-01-15,1,89.91
ORD-00360,CH01,SKU-0017,2024-01-10,1,55.64
ORD-00361,CH01,SKU-0050,2024-01-11,2,18.48
ORD-00362,CH01,SKU-0016,2024-01-19,2,77.42
ORD-00363,CH01,SKU-0022,2024-01-11,2,79.27
ORD-00364,CH01,SKU-0037,2024-01-22,2,71.22
ORD-00365,CH01,SKU-0027,2024-01-02,1,93.56
ORD-00366,CH01,SKU-0045,2024-01-07,3,18.79
ORD-00367,CH01,SKU-0014,2024-01-24,2,62.23
ORD-00368,CH01,SKU-0023,2024-01-17,2,107.98
ORD-00369,CH01,SKU-0011,2024-01-17,3,74.87
ORD-00370,CH01,SKU-0015,2024-01-29,3,40.67
ORD-00371,CH01,SKU-0020,2024-01-20,2,43.98
ORD-00372,CH01,SKU-0017,2024-01-03,1,53.08
ORD-00373,CH01,SKU-0015,2024-01-16,2,39.04
ORD-00374,CH01,SKU-0020,2024-01-15,2,43.53
ORD-00375,CH01,SKU-0020,2024-01-19,3,42.96
ORD-00376,CH01,SKU-0022,2024-01-03,1,81.46
ORD-00377,CH01,SKU-0026,2024-01-12,1,52.89
ORD-00378,CH01,SKU-0018,2024-01-01,3,62.24
ORD-00379,CH01,SKU-0013,2024-01-04,2,68.75
ORD-00380,CH01,SKU-0020,2024-01-20,2,39.26
ORD-00381,CH01,SKU-0022,2024-01-10,1,92.8
ORD-00382,CH01,SKU-0015,2024-01-08,1,42.32
ORD-00383,CH01,SKU-0003,2024-01-05,3,198.85
ORD-00384,CH01,SKU-0018,2024-01-31,2,64.27
ORD-00385,CH01,SKU-0019,2024-01-11,1,35.38
ORD-00386,CH01,SKU-0013,2024-01-19,2,71.24
ORD-00387,CH01,SKU-0028,2024-01-04,3,102.5
ORD-00388,CH01,SKU-0026,2024-01-27,3,56.24
ORD-00389,CH01,SKU-0035,2024-01-12,3,24.18
ORD-00390,CH01,SKU-0026,2024-01-10,1,59.38
ORD-00391,CH01,SKU-0030,2024-01-14,2,57.04
ORD-00392,CH01,SKU-0020,2024-01-25,2,48.92
ORD-00393,CH01,SKU-0040,2024-01-20,1,50.01
ORD-00394,CH01,SKU-0026,2024-01-16,1,54.97
ORD-00395,CH01,SKU-0016,2024-01-22,2,72.64
ORD-00396,CH01,SKU-0028,2024-01-11,2,84.9
ORD-00397,CH01,SKU-0016,2024-01-17,1,67.71
ORD-00398,CH01,SKU-0029,2024-01-08,1,70.96
ORD-00399,CH01,SKU-0032,2024-01-06,3,54.12
ORD-00400,CH01,SKU-0031,2024-01-06,1,55.2
ORD-00401,CH01,SKU-0043,2024-01-22,2,14.84
ORD-00402,CH01,SKU-0021,2024-01-19,3,61.17
ORD-00403,CH01,SKU-0029,2024-01-04,1,79.67
ORD-00404,CH01,SKU-0032,2024-01-14,1,54.96
ORD-00405,CH01,SKU-0017,2024-01-15,2,43.18
ORD-00406,CH01,SKU-0039,2024-01-01,1,44.36
ORD-00407,CH01,SKU-0026,2024-01-11,1,60.53
ORD-00408,CH01,SKU-0016,2024-01-07,3,66.85
ORD-00409,CH01,SKU-0009,2024-01-07,2,310.54
ORD-00410,CH01,SKU-0036,2024-01-16,3,40.59
ORD-00411,CH01,SKU-0006,2024-01-24,1,252.42
ORD-00412,CH01,SKU-0014,2024-01-02,3,53.2
ORD-00413,CH01,SKU-0012,2024-01-12,2,93.84
ORD-00414,CH01,SKU-0011,2024-01-20,2,74.11
ORD-00415,CH01,SKU-0013,2024-01-17,2,83.07
ORD-00416,CH01,SKU-0039,2024-01-04,1,42.2
ORD-00417,CH01,SKU-0009,2024-01-22,2,299.94
ORD-00418,CH01,SKU-0033,2024-01-07,3,48.95
ORD-00419,CH01,SKU-0036,2024-01-03,2,34.81
ORD-00420,CH01,SKU-0012,2024-01-29,2,96.83
ORD-00421,CH01,SKU-0015,2024-01-17,1,44.32
ORD-00422,CH01,SKU-0021,2024-01-30,2,79.6
ORD-00423,CH01,SKU-0016,2024-01-23,1,80.58
ORD-00424,CH01,SKU-0020,2024-01-31,1,48.92
ORD-00425,CH01,SKU-0042,2024-01-03,2,41.54
ORD-00426,CH01,SKU-0049,2024-01-20,3,30.48
ORD-00427,CH01,SKU-0035,2024-01-16,2,27.11
ORD-00428,CH01,SKU-0012,2024-01-03,3,94.59
ORD-00429,CH01,SKU-0028,2024-01-17,3,98.72
ORD-00430,CH01,SKU-0035,2024-01-10,2,26.62
ORD-00431,CH01,SKU-0020,2024-01-01,3,46.66
ORD-00432,CH01,SKU-0024,2024-01-07,2,60.57
ORD-00433,CH01,SKU-0008,2024-01-17,2,304.35
ORD-00434,CH01,SKU-0018,2024-01-27,3,53.2
ORD-00435,CH01,SKU-0027,2024-01-25,2,105.11
ORD-00436,CH01,SKU-0013,2024-01-29,2,79.43
ORD-00437,CH01,SKU-0012,2024-01-20,1,93.35
ORD-00438,CH01,SKU-0040,2024-01-03,2,47.31
ORD-00439,CH01,SKU-0047,2024-01-10,3,31.27
ORD-00440,CH01,SKU-0021,2024-01-24,3,70.08
ORD-00441,CH01,SKU-0032,2024-01-01,1,50.62
ORD-00442,CH01,SKU-0049,2024-01-27,1,29.65
ORD-00443,CH01,SKU-0011,2024-01-08,2,85.75
ORD-00444,CH01,SKU-0017,2024-01-28,2,43.84
ORD-00445,CH01,SKU-0017,2024-01-09,2,44.22
ORD-00446,CH01,SKU-0002,2024-01-02,1,371.51
ORD-00447,CH01,SKU-0036,2024-01-07,1,31.87
ORD-00448,CH01,SKU-0015,2024-01-17,2,38.25
ORD-00449,CH01,SKU-0013,2024-01-22,1,65.93
