region,deal_id,rep_id,close_date,total_contract_value,currency,contract_months,product_line,deal_source,stage
AMER,44,R060,2023-10-10,50023.61,CAD,24,Enterprise Suite,Partner Referral,closed_lost
EMEA,25,R119,2023-09-21,113968.5,EUR,12,Enterprise Suite,Inbound,closed_won
AMER,45,R079,2023-09-21,481594.38,USD,36,Enterprise Suite,Outbound,closed_won
APAC,17,R162,2023-10-08,111783.42,AUD,12,Analytics Add-on,Partner Referral,closed_won
EMEA,26,R100,2023-09-08,161499.1,GBP,24,Core Platform,Partner Referral,closed_won
APAC,18,R187,2023-08-10,23311654.88,JPY,12,Core Platform,Partner Referral,closed_lost
AMER,46,R022,2023-08-07,130009.42,USD,12,Enterprise Suite,Partner Referral,closed_won
EMEA,27,R144,2023-10-24,532846.11,EUR,36,Core Platform,Outbound,closed_won
EMEA,28,R135,2023-10-09,40473.97,USD,12,Core Platform,Outbound,closed_won
EMEA,29,R097,2023-09-14,223640.5,EUR,24,Analytics Add-on,Outbound,closed_won
AMER,47,R038,2023-09-29,386113.56,USD,36,Analytics Add-on,Partner Referral,closed_won
AMER,48,R021,2023-10-29,417059.39,USD,36,Analytics Add-on,Outbound,closed_lost
AMER,49,R003,2023-10-07,368270.08,USD,36,Analytics Add-on,Partner Referral,closed_won
EMEA,30,R090,2023-09-04,125927.8,GBP,24,Enterprise Suite,Inbound,closed_lost
APAC,19,R184,2023-10-26,252090.6,AUD,36,Core Platform,Inbound,closed_won
APAC,20,R164,2023-10-13,143335.14,AUD,36,Enterprise Suite,Partner Referral,closed_won
AMER,50,R039,2023-08-05,480320.8,CAD,24,Analytics Add-on,Outbound,closed_won
AMER,51,R043,2023-08-19,139772.84,USD,12,Analytics Add-on,Partner Referral,closed_won
APAC,21,R170,2023-08-05,188041.92,USD,12,Analytics Add-on,Partner Referral,closed_won
EMEA,31,R093,2023-08-24,50202.88,EUR,12,Analytics Add-on,Inbound,closed_won
APAC,22,R183,2023-09-20,12302781.03,JPY,24,Analytics Add-on,Partner Referral,closed_won
EMEA,32,R126,2023-10-28,504091.93,EUR,36,Core Platform,Outbound,closed_won
EMEA,33,R124,2023-09-28,10339.86,GBP,12,Enterprise Suite,Inbound,closed_won
EMEA,34,R157,2023-10-14,196974.3,EUR,24,Analytics Add-on,Outbound,closed_won
AMER,52,R028,2023-09-18,388574.12,USD,24,Core Platform,Partner Referral,closed_won
AMER,53,R059,2023-08-11,381000.67,USD,24,Analytics Add-on,Partner Referral,closed_won
AMER,54,R052,2023-09-12,254714.4,USD,24,Enterprise Suite,Inbound,closed_won
EMEA,35,R104,2023-09-13,26843.38,EUR,12,Core Platform,Partner Referral,closed_won
EMEA,36,R129,2023-10-09,113588.93,USD,12,Analytics Add-on,Partner Referral,closed_won
APAC,23,R186,2023-08-27,11061306.47,JPY,36,Analytics Add-on,Inbound,prospecting
APAC,24,R174,2023-08-31,14356069.58,JPY,12,Analytics Add-on,Outbound,closed_won
APAC,25,R179,2023-10-15,27529571.46,JPY,12,Analytics Add-on,Outbound,closed_lost
EMEA,37,R114,2023-10-27,253343.35,EUR,24,Analytics Add-on,Outbound,closed_won
EMEA,38,R123,2023-10-12,142096.96,EUR,24,Enterprise Suite,Partner Referral,closed_won
AMER,55,R063,2023-10-11,103909.36,USD,12,Core Platform,Outbound,closed_won
APAC,26,R165,2023-10-23,160151.65,USD,36,Enterprise Suite,Outbound,closed_won
EMEA,39,R143,2023-09-21,180069.64,EUR,36,Core Platform,Outbound,closed_lost
EMEA,40,R100,2023-10-04,143988.43,GBP,24,Analytics Add-on,Inbound,closed_won
AMER,56,R076,2023-08-19,463191.46,USD,36,Analytics Add-on,Inbound,closed_won
AMER,57,R059,2023-10-24,408810.43,USD,36,Core Platform,Partner Referral,closed_won
AMER,58,R047,2023-10-14,288135.99,USD,36,Enterprise Suite,Outbound,closed_won
AMER,59,R046,2023-10-03,169751.95,USD,24,Core Platform,Outbound,closed_won
AMER,60,R079,2023-10-22,238431.88,USD,24,Analytics Add-on,Outbound,closed_won
EMEA,41,R090,2023-08-29,194790.39,EUR,24,Enterprise Suite,Partner Referral,closed_won
AMER,61,R014,2023-09-01,172193.63,USD,12,Core Platform,Outbound,closed_won
AMER,62,R058,2023-10-08,175421.05,USD,36,Core Platform,Partner Referral,closed_won
AMER,63,R013,2023-10-20,237899.24,CAD,12,Core Platform,Outbound,closed_won
AMER,64,R007,2023-10-18,333662.04,USD,36,Enterprise Suite,Partner Referral,closed_won
AMER,65,R005,2023-09-13,107380.25,USD,24,Core Platform,Partner Referral,closed_won
APAC,27,R195,2023-10-16,26026061.33,JPY,12,Core Platform,Outbound,closed_won
EMEA,42,R081,2023-08-02,253547.05,GBP,36,Enterprise Suite,Partner Referral,closed_won
EMEA,43,R149,2023-08-29,66737.67,GBP,12,Enterprise Suite,Inbound,closed_won
AMER,66,R040,2023-09-21,123377.17,USD,24,Analytics Add-on,Inbound,prospecting
EMEA,44,R106,2023-10-31,134202.86,GBP,12,Core Platform,Partner Referral,prospecting
EMEA,45,R095,2023-10-12,126293.89,EUR,36,Analytics Add-on,Partner Referral,closed_lost
AMER,67,R046,2023-08-10,177594.76,USD,12,Enterprise Suite,Partner Referral,closed_won
EMEA,46,R106,2023-10-02,316605.29,GBP,36,Enterprise Suite,Outbound,closed_lost
APAC,28,R189,2023-08-09,783751.44,AUD,36,Core Platform,Inbound,closed_won
AMER,68,R044,2023-10-21,306554.41,USD,24,Analytics Add-on,Outbound,closed_won
EMEA,47,R103,2023-09-13,27436.43,EUR,12,Core Platform,Outbound,closed_won
EMEA,48,R153,2023-10-03,177073.98,GBP,24,Enterprise Suite,Outbound,closed_won
EMEA,49,R148,2023-10-14,360408.89,USD,36,Enterprise Suite,Outbound,closed_won
EMEA,50,R151,2023-10-10,207135.91,USD,24,Core Platform,Outbound,closed_won
AMER,69,R024,2023-09-22,134770.63,USD,36,Core Platform,Inbound,prospecting
AMER,70,R042,2023-10-03,30751.08,USD,24,Analytics Add-on,Partner Referral,closed_won
EMEA,51,R120,2023-10-09,139037.62,USD,12,Enterprise Suite,Partner Referral,closed_lost
APAC,29,R186,2023-10-07,239071.17,AUD,36,Enterprise Suite,Inbound,closed_won
AMER,71,R045,2023-08-19,419791.47,USD,36,Enterprise Suite,Outbound,closed_won
EMEA,52,R105,2023-09-04,295405.21,EUR,24,Analytics Add-on,Partner Referral,closed_won
AMER,72,R050,2023-10-21,22199.68,USD,12,Enterprise Suite,Outbound,closed_won
AMER,73,R056,2023-09-09,141918.02,USD,24,Enterprise Suite,Outbound,closed_won
EMEA,53,R133,2023-08-01,139749.89,GBP,24,Core Platform,Inbound,closed_won
APAC,30,R167,2023-08-12,178180.63,AUD,12,Enterprise Suite,Partner Referral,closed_lost
EMEA,54,R125,2023-09-09,30103.89,EUR,12,Core Platform,Inbound,prospecting
AMER,74,R067,2023-09-18,40755.18,USD,12,Core Platform,Inbound,closed_won
AMER,75,R066,2023-09-07,188859.71,USD,12,Enterprise Suite,Inbound,closed_lost
EMEA,55,R114,2023-09-26,466470.85,GBP,36,Core Platform,Outbound,closed_won
AMER,76,R041,2023-08-12,373872.46,USD,24,Analytics Add-on,Partner Referral,prospecting
EMEA,56,R134,2023-09-29,41888.4,USD,24,Enterprise Suite,Outbound,closed_won
EMEA,57,R107,2023-08-11,62121.55,GBP,24,Core Platform,Partner Referral,closed_won
EMEA,58,R156,2023-10-31,37591.37,EUR,12,Enterprise Suite,Inbound,closed_lost
EMEA,59,R118,2023-09-13,224383.68,GBP,24,Analytics Add-on,Inbound,closed_won
EMEA,60,R144,2023-10-21,235370.99,GBP,36,Core Platform,Partner Referral,closed_lost
APAC,31,R198,2023-08-13,18919137.39,JPY,36,Enterprise Suite,Outbound,closed_won
EMEA,61,R108,2023-10-13,528917.86,USD,36,Core Platform,Inbound,closed_won
AMER,77,R030,2023-08-19,79669.69,USD,24,Core Platform,Inbound,closed_lost
AMER,78,R030,2023-10-13,118035.99,CAD,36,Analytics Add-on,Partner Referral,closed_won
EMEA,62,R109,2023-08-15,83019.35,EUR,24,Core Platform,Outbound,closed_won
APAC,32,R187,2023-09-16,402726.1,USD,36,Enterprise Suite,Outbound,closed_won
APAC,33,R176,2023-10-08,18778142.65,JPY,12,Enterprise Suite,Inbound,closed_lost
APAC,34,R187,2023-08-15,739681.73,AUD,36,Enterprise Suite,Partner Referral,closed_won
EMEA,63,R110,2023-10-15,92438.06,EUR,24,Enterprise Suite,Inbound,closed_won
EMEA,64,R129,2023-09-24,140442.82,EUR,12,Core Platform,Outbound,closed_won
AMER,79,R016,2023-08-24,178967.35,USD,12,Analytics Add-on,Partner Referral,closed_won
APAC,35,R176,2023-10-05,54792.74,USD,24,Core Platform,Outbound,closed_won
AMER,80,R079,2023-08-11,139378.86,USD,24,Analytics Add-on,Inbound,prospecting
AMER,81,R001,2023-09-25,320164.27,USD,24,Core Platform,Outbound,closed_won
AMER,82,R047,2023-10-06,21894.29,USD,24,Analytics Add-on,Outbound,prospecting
AMER,83,R048,2023-10-25,190005.95,USD,24,Enterprise Suite,Inbound,closed_won
EMEA,65,R093,2023-10-12,178446.0,USD,12,Enterprise Suite,Outbound,closed_lost
EMEA,66,R122,2023-09-26,117866.62,EUR,12,Core Platform,Outbound,prospecting
AMER,84,R054,2023-08-13,177733.77,USD,12,Core Platform,Outbound,closed_won
EMEA,67,R131,2023-08-17,74966.2,GBP,12,Core Platform,Inbound,closed_won
APAC,36,R164,2023-08-02,222369.13,USD,36,Core Platform,Outbound,closed_won
AMER,85,R048,2023-08-21,135269.7,USD,12,Enterprise Suite,Outbound,closed_won
AMER,86,R064,2023-10-08,369253.11,USD,24,Core Platform,Partner Referral,closed_won
AMER,87,R079,2023-10-28,19019.96,USD,12,Core Platform,Outbound,closed_won
APAC,37,R191,2023-08-05,69551720.85,JPY,36,Core Platform,Partner Referral,closed_won
EMEA,68,R143,2023-09-29,174225.96,EUR,12,Core Platform,Outbound,closed_won
EMEA,69,R143,2023-09-13,74636.45,EUR,24,Enterprise Suite,Inbound,closed_won
EMEA,70,R131,2023-08-15,202604.73,EUR,36,Analytics Add-on,Partner Referral,prospecting
AMER,88,R039,2023-09-27,568049.86,USD,36,Core Platform,Partner Referral,closed_won
AMER,89,R055,2023-10-06,340362.13,USD,24,Core Platform,Inbound,closed_won
AMER,90,R076,2023-09-12,66288.25,USD,36,Analytics Add-on,Outbound,closed_won
AMER,91,R014,2023-10-05,89840.99,USD,24,Core Platform,Inbound,closed_won
AMER,92,R038,2023-08-05,20813.51,USD,12,Analytics Add-on,Inbound,closed_won
AMER,93,R025,2023-10-28,145835.62,USD,12,Analytics Add-on,Inbound,closed_won
AMER,94,R016,2023-08-28,413031.19,USD,36,Analytics Add-on,Partner Referral,closed_won
AMER,95,R069,2023-08-04,237866.63,USD,36,Core Platform,Outbound,closed_won
APAC,38,R188,2023-10-15,32248.63,AUD,12,Enterprise Suite,Partner Referral,closed_lost
AMER,96,R029,2023-08-14,94111.2,USD,24,Core Platform,Outbound,closed_won
EMEA,71,R140,2023-08-24,51627.53,EUR,24,Analytics Add-on,Partner Referral,prospecting
AMER,97,R062,2023-10-24,360138.41,CAD,24,Enterprise Suite,Inbound,closed_won
AMER,98,R022,2023-09-27,286482.91,USD,24,Enterprise Suite,Outbound,closed_won
AMER,99,R051,2023-09-02,63311.84,USD,12,Core Platform,Outbound,closed_won
APAC,39,R163,2023-08-18,251520.68,AUD,12,Analytics Add-on,Inbound,closed_won
AMER,100,R070,2023-09-14,31303.4,USD,12,Analytics Add-on,Outbound,closed_lost
APAC,40,R191,2023-08-23,21358594.56,JPY,24,Enterprise Suite,Outbound,closed_won
EMEA,72,R158,2023-08-28,107112.51,EUR,12,Analytics Add-on,Outbound,closed_won
APAC,41,R176,2023-09-17,122949.75,USD,24,Enterprise Suite,Inbound,closed_won
AMER,101,R018,2023-08-10,117410.14,USD,12,Core Platform,Inbound,closed_lost
EMEA,73,R096,2023-08-06,42470.36,EUR,12,Analytics Add-on,Partner Referral,closed_won
AMER,102,R063,2023-09-24,289772.02,USD,24,Enterprise Suite,Inbound,closed_won
EMEA,74,R097,2023-10-27,126186.7,EUR,12,Core Platform,Inbound,closed_lost
APAC,42,R168,2023-09-28,138462.21,AUD,12,Core Platform,Outbound,closed_won
AMER,103,R071,2023-09-20,205053.19,USD,24,Analytics Add-on,Partner Referral,closed_won
APAC,43,R173,2023-09-14,56723028.01,JPY,24,Core Platform,Partner Referral,closed_won
APAC,44,R200,2023-10-24,2226794.57,JPY,12,Core Platform,Inbound,closed_won
APAC,45,R162,2023-10-26,391265.84,AUD,24,Core Platform,Inbound,closed_lost
AMER,104,R018,2023-08-31,92466.77,USD,12,Core Platform,Partner Referral,closed_won
AMER,105,R041,2023-10-17,513800.09,USD,36,Analytics Add-on,Inbound,closed_won
APAC,46,R189,2023-08-08,11950595.5,JPY,12,Analytics Add-on,Outbound,closed_won
APAC,47,R162,2023-08-27,344429.54,AUD,36,Enterprise Suite,Inbound,prospecting
AMER,106,R021,2023-10-16,366086.17,USD,36,Core Platform,Outbound,closed_won
APAC,48,R179,2023-08-04,15621503.23,JPY,12,Analytics Add-on,Partner Referral,closed_won
EMEA,75,R097,2023-10-19,59669.88,GBP,12,Enterprise Suite,Outbound,closed_won
EMEA,76,R138,2023-08-31,209461.51,GBP,24,Core Platform,Inbound,closed_won
APAC,49,R172,2023-09-03,27187176.45,JPY,24,Analytics Add-on,Partner Referral,closed_lost
AMER,107,R060,2023-10-27,349184.79,USD,24,Enterprise Suite,Outbound,closed_won
AMER,108,R041,2023-10-26,280385.08,USD,36,Enterprise Suite,Inbound,closed_won
AMER,109,R049,2023-10-29,452053.85,USD,36,Enterprise Suite,Partner Referral,closed_lost
AMER,110,R023,2023-10-18,168540.32,USD,12,Analytics Add-on,Partner Referral,closed_won
APAC,50,R164,2023-10-14,266884.72,AUD,36,Analytics Add-on,Partner Referral,closed_lost
EMEA,77,R103,2023-09-13,50088.23,EUR,12,Core Platform,Partner Referral,closed_won
AMER,111,R057,2023-10-19,135210.77,USD,12,Analytics Add-on,Outbound,prospecting
APAC,51,R176,2023-09-09,350641.03,USD,36,Enterprise Suite,Partner Referral,closed_won
EMEA,78,R150,2023-08-07,114124.82,GBP,24,Core Platform,Outbound,closed_lost
EMEA,79,R120,2023-08-05,73359.91,EUR,12,Core Platform,Outbound,closed_won
EMEA,80,R140,2023-10-09,153807.17,EUR,12,Enterprise Suite,Outbound,closed_won
APAC,52,R199,2023-08-28,837404.35,AUD,36,Core Platform,Partner Referral,closed_lost
EMEA,81,R095,2023-10-12,179882.96,EUR,36,Enterprise Suite,Inbound,closed_won
EMEA,82,R124,2023-10-13,259584.21,EUR,36,Enterprise Suite,Outbound,closed_won
AMER,112,R076,2023-09-20,334151.67,USD,24,Enterprise Suite,Inbound,closed_won
EMEA,83,R113,2023-08-08,276299.12,GBP,36,Core Platform,Partner Referral,closed_won
AMER,113,R062,2023-10-08,104691.16,USD,12,Analytics Add-on,Partner Referral,closed_lost
APAC,53,R172,2023-09-22,65808370.63,JPY,36,Analytics Add-on,Outbound,closed_won
APAC,54,R181,2023-09-08,31144.73,AUD,24,Analytics Add-on,Inbound,closed_won
EMEA,84,R114,2023-09-26,188502.2,USD,36,Analytics Add-on,Partner Referral,closed_won
AMER,114,R049,2023-10-29,621758.4,CAD,36,Analytics Add-on,Inbound,prospecting
EMEA,85,R109,2023-09-26,72837.69,GBP,36,Enterprise Suite,Outbound,closed_won
EMEA,86,R136,2023-08-10,469853.57,EUR,36,Analytics Add-on,Partner Referral,closed_lost
AMER,115,R004,2023-09-27,483334.37,USD,36,Enterprise Suite,Outbound,closed_won
AMER,116,R069,2023-10-21,356637.7,USD,24,Core Platform,Outbound,closed_won
EMEA,87,R095,2023-08-15,171873.36,USD,12,Analytics Add-on,Outbound,closed_won
AMER,117,R030,2023-09-17,485491.25,USD,36,Analytics Add-on,Outbound,closed_won
EMEA,88,R125,2023-09-25,286387.73,GBP,24,Core Platform,Partner Referral,prospecting
EMEA,89,R158,2023-10-19,156544.72,EUR,12,Core Platform,Partner Referral,closed_won
AMER,118,R029,2023-08-26,83533.25,USD,12,Analytics Add-on,Inbound,closed_won
AMER,119,R032,2023-08-07,320968.83,USD,24,Analytics Add-on,Outbound,closed_won
APAC,55,R184,2023-08-11,47423380.05,JPY,24,Analytics Add-on,Partner Referral,closed_won
AMER,120,R046,2023-10-14,36870.97,USD,24,Enterprise Suite,Partner Referral,closed_won
APAC,56,R177,2023-10-02,53391.92,AUD,12,Enterprise Suite,Inbound,closed_won
EMEA,90,R155,2023-08-01,105241.5,EUR,24,Core Platform,Outbound,closed_won
EMEA,91,R132,2023-08-02,294060.91,GBP,36,Analytics Add-on,Outbound,closed_won
AMER,121,R057,2023-10-28,188181.34,USD,36,Analytics Add-on,Outbound,closed_won
EMEA,92,R134,2023-08-20,396355.95,USD,36,Core Platform,Inbound,prospecting
EMEA,93,R104,2023-09-25,112883.29,EUR,12,Core Platform,Inbound,closed_won
AMER,122,R044,2023-09-29,15739.89,USD,12,Analytics Add-on,Inbound,closed_won
AMER,123,R056,2023-09-02,113885.68,USD,24,Enterprise Suite,Partner Referral,closed_won
AMER,124,R043,2023-10-10,25757.88,USD,12,Enterprise Suite,Outbound,prospecting
EMEA,94,R108,2023-08-06,338121.63,EUR,24,Enterprise Suite,Outbound,closed_won
AMER,125,R049,2023-08-31,82199.69,USD,12,Enterprise Suite,Outbound,closed_won
EMEA,95,R148,2023-08-28,445077.73,EUR,36,Enterprise Suite,Partner Referral,closed_won
EMEA,96,R115,2023-08-06,118029.62,EUR,36,Enterprise Suite,Outbound,closed_won
EMEA,97,R119,2023-09-02,253751.52,USD,24,Analytics Add-on,Inbound,closed_lost
EMEA,98,R109,2023-10-31,105335.72,GBP,24,Analytics Add-on,Inbound,closed_lost
EMEA,99,R150,2023-10-21,330751.52,EUR,36,Enterprise Suite,Inbound,closed_lost
AMER,126,R031,2023-10-15,298994.13,USD,24,Core Platform,Partner Referral,closed_won
EMEA,100,R116,2023-10-09,336299.22,USD,24,Enterprise Suite,Partner Referral,closed_won
APAC,57,R187,2023-09-22,528298.55,AUD,24,Enterprise Suite,Partner Referral,closed_won
APAC,58,R172,2023-10-28,21724156.03,JPY,12,Enterprise Suite,Inbound,closed_won
APAC,59,R182,2023-10-23,300373.71,AUD,12,Analytics Add-on,Partner Referral,closed_won
EMEA,101,R159,2023-09-10,42502.29,EUR,12,Enterprise Suite,Inbound,closed_won
AMER,127,R019,2023-10-19,206455.92,USD,36,Enterprise Suite,Inbound,prospecting
EMEA,102,R152,2023-09-11,154762.98,GBP,24,Analytics Add-on,Inbound,closed_won
AMER,128,R056,2023-08-14,216344.09,USD,36,Core Platform,Inbound,closed_lost
APAC,60,R167,2023-09-17,20368413.73,JPY,12,Analytics Add-on,Outbound,closed_won
APAC,61,R193,2023-09-13,310043.01,USD,36,Analytics Add-on,Inbound,closed_won
AMER,129,R021,2023-10-28,168862.0,USD,12,Enterprise Suite,Outbound,closed_won
EMEA,103,R105,2023-09-18,76310.8,USD,12,Core Platform,Inbound,closed_won
AMER,130,R002,2023-08-03,116842.6,USD,12,Analytics Add-on,Outbound,closed_won
EMEA,104,R156,2023-08-13,45610.8,EUR,12,Analytics Add-on,Inbound,closed_won
EMEA,105,R091,2023-10-01,147858.18,GBP,12,Enterprise Suite,Partner Referral,closed_won
AMER,131,R028,2023-10-06,168298.28,USD,24,Core Platform,Inbound,closed_won
APAC,62,R161,2023-10-17,198881.38,AUD,12,Analytics Add-on,Outbound,closed_lost
EMEA,106,R145,2023-08-12,173856.75,EUR,12,Analytics Add-on,Outbound,closed_won
EMEA,107,R157,2023-09-08,60332.18,EUR,12,Analytics Add-on,Partner Referral,closed_won
AMER,132,R008,2023-09-02,396353.43,USD,36,Core Platform,Outbound,closed_won
APAC,63,R178,2023-09-16,443185.76,AUD,24,Core Platform,Outbound,closed_won
EMEA,108,R085,2023-10-17,230989.38,EUR,24,Analytics Add-on,Partner Referral,prospecting
EMEA,109,R135,2023-10-04,275815.07,EUR,36,Core Platform,Inbound,closed_won
