region,deal_id,filed_date,cancelled_date,status
AMER,1342,2024-05-14,2024-05-16,approved
AMER,1342,2024-04-10,2024-04-12,approved
EMEA,611,2024-04-06,2024-04-08,approved
EMEA,611,2024-04-10,2024-04-12,approved
EMEA,636,2024-05-27,2024-05-29,approved
AMER,1469,2024-04-29,2024-05-01,approved
EMEA,1355,2024-02-28,2024-03-01,approved
EMEA,1582,2024-04-24,2024-04-26,approved
APAC,577,2024-03-28,2024-03-30,approved
AMER,1418,2024-03-22,2024-03-24,approved
AMER,1494,2024-04-13,2024-04-15,approved
APAC,750,2024-05-05,2024-05-07,approved
APAC,750,2024-04-10,2024-04-12,approved
EMEA,1626,2024-03-18,2024-03-20,approved
AMER,1669,2024-05-19,2024-05-21,approved
AMER,1420,2024-02-22,2024-02-24,approved
EMEA,1653,2024-03-17,2024-03-19,approved
EMEA,1653,2024-04-10,2024-04-12,approved
APAC,567,2024-06-02,2024-06-04,approved
AMER,1301,2024-05-09,2024-05-11,approved
EMEA,535,2024-03-01,2024-03-03,approved
EMEA,1699,2024-03-24,2024-03-26,approved
EMEA,1699,2024-04-10,2024-04-12,approved
AMER,811,2024-02-29,2024-03-02,approved
AMER,737,2024-04-08,2024-04-10,approved
EMEA,767,2024-05-05,2024-05-07,approved
APAC,519,2024-03-08,2024-03-10,approved
EMEA,944,2024-04-25,2024-04-27,approved
AMER,1629,2024-04-28,2024-04-30,approved
AMER,1655,2024-04-21,2024-04-23,approved
AMER,739,2024-03-16,2024-03-18,approved
EMEA,910,2024-03-22,2024-03-24,approved
APAC,801,2024-04-11,2024-04-13,approved
AMER,1395,2024-04-17,2024-04-19,approved
EMEA,594,2024-04-21,2024-04-23,approved
EMEA,1507,2024-04-29,2024-05-01,approved
EMEA,1507,2024-05-04,2024-05-01,rejected
APAC,430,2024-03-18,2024-03-20,approved
EMEA,1573,2024-03-18,2024-03-20,approved
EMEA,989,2024-04-27,2024-04-29,approved
EMEA,531,2024-04-07,2024-04-09,approved
EMEA,531,2024-04-10,2024-04-12,approved
EMEA,1481,2024-05-04,2024-05-06,approved
EMEA,698,2024-05-03,2024-05-05,approved
EMEA,776,2024-02-18,2024-02-20,approved
EMEA,972,2024-03-02,2024-03-04,approved
APAC,372,2024-03-06,2024-03-08,approved
APAC,372,2024-03-11,2024-03-08,rejected
APAC,521,2024-05-10,2024-05-12,approved
EMEA,793,2024-03-04,2024-03-06,approved
AMER,1520,2024-05-26,2024-05-28,approved
APAC,303,2024-04-18,2024-04-20,approved
EMEA,1520,2024-06-07,2024-06-09,approved
AMER,1580,2024-04-30,2024-05-02,approved
AMER,641,2024-06-11,2024-06-13,approved
AMER,641,2024-04-10,2024-04-12,approved
AMER,1080,2024-03-30,2024-04-01,approved
EMEA,1465,2024-04-13,2024-04-15,approved
APAC,310,2024-04-12,2024-04-14,approved
AMER,1374,2024-03-07,2024-03-09,approved
AMER,1134,2024-03-31,2024-04-02,approved
APAC,620,2024-04-20,2024-04-22,approved
APAC,620,2024-04-25,2024-04-22,rejected
EMEA,1269,2024-05-07,2024-05-09,approved
EMEA,1269,2024-04-10,2024-04-12,approved
EMEA,750,2024-03-27,2024-03-29,approved
APAC,287,2024-04-07,2024-04-09,approved
APAC,466,2024-03-20,2024-03-22,approved
AMER,924,2024-04-17,2024-04-19,approved
AMER,924,2024-04-10,2024-04-12,approved
APAC,336,2024-05-05,2024-05-07,approved
APAC,336,2024-05-10,2024-05-07,rejected
AMER,1618,2024-04-17,2024-04-19,approved
AMER,1144,2024-03-23,2024-03-25,approved
APAC,404,2024-03-02,2024-03-04,approved
APAC,404,2024-03-07,2024-03-04,rejected
AMER,783,2024-05-02,2024-05-04,approved
AMER,783,2024-05-07,2024-05-04,rejected
EMEA,1073,2024-03-27,2024-03-29,approved
AMER,557,2024-04-09,2024-04-11,approved
AMER,1628,2024-03-20,2024-03-22,approved
AMER,1628,2024-03-25,2024-03-22,rejected
EMEA,984,2024-03-23,2024-03-25,approved
EMEA,984,2024-04-10,2024-04-12,approved
EMEA,1159,2024-02-16,2024-02-18,approved
APAC,495,2024-05-16,2024-05-18,approved
AMER,728,2024-06-06,2024-06-08,approved
AMER,728,2024-04-10,2024-04-12,approved
EMEA,1592,2024-04-02,2024-04-04,approved
EMEA,1590,2024-03-15,2024-03-17,approved
EMEA,1590,2024-03-20,2024-03-17,rejected
EMEA,1358,2024-03-30,2024-04-01,approved
APAC,365,2024-04-17,2024-04-19,approved
APAC,365,2024-04-10,2024-04-12,approved
AMER,881,2024-03-28,2024-03-30,approved
AMER,881,2024-04-10,2024-04-12,approved
AMER,1614,2024-05-28,2024-05-30,approved
APAC,277,2024-04-26,2024-04-28,approved
EMEA,720,2024-04-13,2024-04-15,approved
EMEA,720,2024-04-10,2024-04-12,approved
APAC,453,2024-04-07,2024-04-09,approved
APAC,453,2024-04-10,2024-04-12,approved
AMER,639,2024-04-15,2024-04-17,approved
AMER,639,2024-04-10,2024-04-12,approved
AMER,934,2024-02-14,2024-02-16,approved
AMER,934,2024-02-19,2024-02-16,rejected
EMEA,1063,2024-03-15,2024-03-17,approved
AMER,834,2024-02-29,2024-03-02,approved
APAC,258,2024-03-03,2024-03-05,approved
EMEA,872,2024-05-01,2024-05-03,approved
AMER,1304,2024-03-10,2024-03-12,approved
EMEA,614,2024-04-03,2024-04-05,approved
EMEA,1345,2024-05-07,2024-05-09,approved
EMEA,779,2024-04-28,2024-04-30,approved
AMER,1138,2024-03-08,2024-03-10,approved
EMEA,512,2024-03-09,2024-03-11,approved
EMEA,512,2024-04-10,2024-04-12,approved
EMEA,1315,2024-04-20,2024-04-22,approved
EMEA,1315,2024-04-25,2024-04-22,rejected
EMEA,1376,2024-03-31,2024-04-02,approved
EMEA,1376,2024-04-10,2024-04-12,approved
AMER,1518,2024-04-06,2024-04-08,approved
EMEA,1349,2024-02-27,2024-02-29,approved
AMER,1553,2024-05-22,2024-05-24,approved
AMER,1553,2024-04-10,2024-04-12,approved
AMER,1250,2024-03-22,2024-03-24,approved
EMEA,1757,2024-05-01,2024-05-03,approved
EMEA,671,2024-05-16,2024-05-18,approved
AMER,1174,2024-02-27,2024-02-29,approved
AMER,1174,2024-03-03,2024-02-29,rejected
EMEA,925,2024-03-19,2024-03-21,approved
EMEA,925,2024-04-10,2024-04-12,approved
EMEA,1007,2024-05-30,2024-06-01,approved
EMEA,1007,2024-06-04,2024-06-01,rejected
EMEA,1440,2024-05-05,2024-05-07,approved
AMER,553,2024-04-08,2024-04-10,approved
AMER,553,2024-04-13,2024-04-10,rejected
EMEA,554,2024-04-11,2024-04-13,approved
EMEA,999,2024-04-18,2024-04-20,approved
EMEA,999,2024-04-23,2024-04-20,rejected
APAC,740,2024-04-15,2024-04-17,approved
APAC,740,2024-04-20,2024-04-17,rejected
EMEA,1254,2024-04-25,2024-04-27,approved
AMER,1293,2024-04-23,2024-04-25,approved
AMER,1293,2024-04-28,2024-04-25,rejected
APAC,586,2024-05-08,2024-05-10,approved
EMEA,846,2024-05-10,2024-05-12,approved
EMEA,846,2024-05-15,2024-05-12,rejected
EMEA,1766,2024-03-31,2024-04-02,approved
EMEA,1766,2024-04-05,2024-04-02,rejected
EMEA,1696,2024-02-29,2024-03-02,approved
APAC,790,2024-04-21,2024-04-23,approved
APAC,790,2024-04-10,2024-04-12,approved
EMEA,951,2024-05-15,2024-05-17,approved
EMEA,951,2024-04-10,2024-04-12,approved
EMEA,1733,2024-04-04,2024-04-06,approved
AMER,1286,2024-06-04,2024-06-06,approved
EMEA,1246,2024-05-04,2024-05-06,approved
AMER,640,2024-04-23,2024-04-25,approved
AMER,640,2024-04-10,2024-04-12,approved
EMEA,1221,2024-05-05,2024-05-07,approved
EMEA,1126,2024-05-20,2024-05-22,approved
AMER,1640,2024-03-29,2024-03-31,approved
EMEA,928,2024-04-24,2024-04-26,approved
EMEA,1024,2024-05-16,2024-05-18,approved
AMER,1672,2024-04-28,2024-04-30,approved
AMER,1672,2024-04-10,2024-04-12,approved
EMEA,1644,2024-05-04,2024-05-06,approved
EMEA,1644,2024-04-10,2024-04-12,approved
AMER,1213,2024-05-14,2024-05-16,approved
AMER,1062,2024-04-15,2024-04-17,approved
AMER,1310,2024-04-18,2024-04-20,approved
EMEA,1384,2024-03-06,2024-03-08,approved
EMEA,1384,2024-04-10,2024-04-12,approved
EMEA,508,2024-03-02,2024-03-04,approved
EMEA,837,2024-05-19,2024-05-21,approved
EMEA,837,2024-05-24,2024-05-21,rejected
EMEA,1259,2024-05-23,2024-05-25,approved
EMEA,1259,2024-04-10,2024-04-12,approved
EMEA,727,2024-06-06,2024-06-08,approved
EMEA,1192,2024-03-01,2024-03-03,approved
EMEA,1632,2024-05-31,2024-06-02,approved
AMER,1238,2024-04-16,2024-04-18,approved
AMER,866,2024-03-16,2024-03-18,approved
AMER,791,2024-02-26,2024-02-28,approved
EMEA,596,2024-05-08,2024-05-10,approved
AMER,1187,2024-04-22,2024-04-24,approved
EMEA,823,2024-03-22,2024-03-24,approved
EMEA,823,2024-04-10,2024-04-12,approved
AMER,999,2024-03-23,2024-03-25,approved
AMER,1358,2024-04-01,2024-04-03,approved
EMEA,689,2024-05-01,2024-05-03,approved
EMEA,689,2024-05-06,2024-05-03,rejected
APAC,412,2024-02-08,2024-02-10,approved
EMEA,1016,2024-03-19,2024-03-21,approved
EMEA,566,2024-05-13,2024-05-15,approved
EMEA,566,2024-04-10,2024-04-12,approved
EMEA,1618,2024-03-18,2024-03-20,approved
EMEA,1724,2024-04-20,2024-04-22,approved
EMEA,1724,2024-04-10,2024-04-12,approved
APAC,276,2024-06-04,2024-06-06,approved
AMER,638,2024-03-16,2024-03-18,approved
EMEA,1779,2024-04-02,2024-04-04,approved
EMEA,1206,2024-04-22,2024-04-24,approved
EMEA,1206,2024-04-10,2024-04-12,approved
AMER,1352,2024-04-30,2024-05-02,approved
EMEA,1217,2024-04-01,2024-04-03,approved
EMEA,1289,2024-04-17,2024-04-19,approved
APAC,552,2024-04-14,2024-04-16,approved
APAC,552,2024-04-10,2024-04-12,approved
AMER,585,2024-03-15,2024-03-17,approved
AMER,585,2024-04-10,2024-04-12,approved
EMEA,1252,2024-03-22,2024-03-24,approved
AMER,984,2024-03-06,2024-03-08,approved
AMER,984,2024-04-10,2024-04-12,approved
AMER,1292,2024-04-14,2024-04-16,approved
EMEA,1324,2024-04-09,2024-04-11,approved
EMEA,865,2024-03-29,2024-03-31,approved
EMEA,865,2024-04-03,2024-03-31,rejected
