region,deal_id,rep_id,credit_pct
APAC,57,R168,1.0
NA,116,R060,1.0
NA,117,R061,1.0
EMEA,128,R085,1.0
APAC,58,R173,1.0
EMEA,129,R108,1.0
EMEA,130,R101,1.0
EMEA,131,R114,1.0
NA,118,R062,1.0
NA,119,R032,1.0
EMEA,132,R145,1.0
EMEA,133,R090,1.0
NA,120,R009,1.0
NA,121,R053,0.4
NA,121,R001,0.6
NA,122,R050,1.0
NA,123,R004,1.0
NA,124,R032,1.0
EMEA,134,R081,0.4
EMEA,134,R132,0.6
NA,125,R022,0.6
NA,125,R046,0.4
NA,126,R015,1.0
NA,127,R007,1.0
NA,128,R055,1.0
NA,129,R062,1.0
EMEA,135,R108,1.0
EMEA,136,R136,1.0
APAC,59,R177,1.0
EMEA,137,R159,1.0
NA,130,R001,1.0
NA,131,R019,1.0
EMEA,138,R125,0.5
EMEA,138,R104,0.5
NA,132,R005,1.0
EMEA,139,R108,1.0
EMEA,140,R088,1.0
APAC,60,R180,1.0
EMEA,141,R096,1.0
APAC,61,R172,1.0
APAC,62,R188,1.0
EMEA,142,R096,1.0
NA,133,R038,1.0
EMEA,143,R153,1.0
EMEA,144,R091,1.0
NA,134,R048,0.5
NA,134,R020,0.5
EMEA,145,R159,1.0
NA,135,R075,1.0
EMEA,146,R099,1.0
NA,136,R056,0.6
NA,136,R077,0.4
NA,137,R070,0.5
NA,137,R008,0.5
NA,138,R024,0.4
NA,138,R022,0.6
NA,139,R042,1.0
EMEA,147,R158,1.0
NA,140,R028,1.0
NA,141,R030,0.5
NA,141,R044,0.5
EMEA,148,R145,1.0
EMEA,149,R123,1.0
NA,142,R059,1.0
APAC,63,R173,1.0
EMEA,150,R102,1.0
APAC,64,R188,1.0
APAC,65,R161,1.0
NA,143,R002,1.0
NA,144,R052,0.6
NA,144,R046,0.4
EMEA,151,R129,1.0
EMEA,152,R084,0.6
EMEA,152,R127,0.4
NA,145,R018,1.0
EMEA,153,R133,1.0
APAC,66,R175,1.0
EMEA,154,R141,1.0
EMEA,155,R139,1.0
NA,146,R078,1.0
EMEA,156,R098,1.0
NA,147,R042,1.0
EMEA,157,R159,1.0
NA,148,R053,0.4
NA,148,R066,0.6
NA,149,R065,1.0
NA,150,R019,1.0
NA,151,R023,1.0
NA,152,R022,1.0
NA,153,R068,1.0
NA,154,R029,1.0
APAC,67,R182,1.0
NA,155,R018,1.0
NA,156,R027,0.6
NA,156,R035,0.4
NA,157,R065,1.0
NA,158,R027,1.0
NA,159,R049,1.0
NA,160,R058,1.0
EMEA,158,R114,1.0
APAC,68,R197,1.0
APAC,69,R190,1.0
EMEA,159,R155,1.0
NA,161,R063,0.6
NA,161,R054,0.4
EMEA,160,R151,1.0
NA,162,R074,1.0
NA,163,R064,1.0
APAC,70,R161,1.0
EMEA,161,R132,1.0
NA,164,R079,1.0
EMEA,162,R088,1.0
NA,165,R055,1.0
NA,166,R031,0.4
NA,166,R068,0.6
NA,167,R044,1.0
EMEA,163,R088,0.6
EMEA,163,R153,0.4
EMEA,164,R143,1.0
APAC,71,R179,1.0
EMEA,165,R118,1.0
EMEA,166,R081,1.0
EMEA,167,R096,1.0
NA,168,R029,1.0
EMEA,168,R142,1.0
EMEA,169,R086,1.0
EMEA,170,R084,0.6
EMEA,170,R114,0.4
NA,169,R008,1.0
NA,170,R057,1.0
NA,171,R080,1.0
APAC,72,R200,1.0
EMEA,171,R136,1.0
EMEA,172,R097,1.0
NA,172,R048,1.0
NA,173,R056,1.0
NA,174,R015,0.6
NA,174,R061,0.4
NA,175,R013,1.0
NA,176,R053,1.0
NA,177,R015,0.4
NA,177,R067,0.6
EMEA,173,R114,1.0
NA,178,R052,0.5
NA,178,R039,0.5
APAC,73,R162,1.0
APAC,74,R166,0.4
APAC,74,R200,0.6
EMEA,174,R121,1.0
EMEA,175,R107,1.0
EMEA,176,R116,1.0
EMEA,177,R138,1.0
EMEA,178,R095,1.0
NA,179,R009,1.0
NA,180,R026,1.0
APAC,75,R182,0.5
APAC,75,R191,0.5
EMEA,179,R104,1.0
EMEA,180,R107,0.4
EMEA,180,R097,0.6
NA,181,R079,1.0
EMEA,181,R105,1.0
APAC,76,R163,1.0
EMEA,182,R111,1.0
NA,182,R076,1.0
NA,183,R014,1.0
EMEA,183,R117,1.0
NA,184,R047,1.0
EMEA,184,R112,1.0
APAC,77,R179,1.0
EMEA,185,R152,1.0
NA,185,R024,0.5
NA,185,R034,0.5
NA,186,R017,1.0
NA,187,R040,1.0
NA,188,R022,1.0
EMEA,186,R145,1.0
EMEA,187,R110,1.0
EMEA,188,R156,1.0
EMEA,189,R111,0.6
EMEA,189,R110,0.4
EMEA,190,R149,0.4
EMEA,190,R103,0.6
EMEA,191,R136,1.0
NA,189,R046,0.4
NA,189,R077,0.6
APAC,78,R161,1.0
EMEA,192,R114,1.0
NA,190,R031,1.0
NA,191,R077,1.0
APAC,79,R180,0.6
APAC,79,R184,0.4
APAC,80,R165,0.4
APAC,80,R195,0.6
EMEA,193,R119,1.0
APAC,81,R182,1.0
APAC,82,R180,1.0
EMEA,194,R128,0.4
EMEA,194,R142,0.6
EMEA,195,R154,1.0
NA,192,R022,1.0
EMEA,196,R090,1.0
NA,193,R027,1.0
EMEA,197,R156,1.0
NA,194,R061,1.0
APAC,83,R192,1.0
EMEA,198,R145,1.0
APAC,84,R172,0.4
APAC,84,R195,0.6
NA,195,R074,1.0
EMEA,199,R105,0.5
EMEA,199,R103,0.5
EMEA,200,R137,1.0
EMEA,201,R104,1.0
NA,196,R049,0.5
NA,196,R052,0.5
APAC,85,R185,1.0
NA,197,R073,0.6
NA,197,R054,0.4
EMEA,202,R133,1.0
EMEA,203,R154,1.0
APAC,86,R195,0.6
APAC,86,R177,0.4
NA,198,R067,1.0
NA,199,R074,1.0
NA,200,R022,1.0
EMEA,204,R111,1.0
EMEA,205,R103,1.0
NA,201,R056,1.0
NA,202,R055,1.0
NA,203,R014,1.0
NA,204,R001,1.0
EMEA,206,R151,0.5
EMEA,206,R090,0.5
EMEA,207,R084,0.6
EMEA,207,R104,0.4
APAC,87,R165,1.0
EMEA,208,R082,1.0
APAC,88,R199,0.6
APAC,88,R165,0.4
NA,205,R016,1.0
EMEA,209,R155,1.0
APAC,89,R172,1.0
NA,206,R077,1.0
EMEA,210,R156,1.0
APAC,90,R163,1.0
EMEA,211,R159,1.0
EMEA,212,R085,1.0
EMEA,213,R109,1.0
NA,207,R012,1.0
NA,208,R069,0.5
NA,208,R024,0.5
EMEA,214,R118,0.5
EMEA,214,R086,0.5
EMEA,215,R089,1.0
NA,209,R006,1.0
EMEA,216,R084,1.0
APAC,91,R166,1.0
EMEA,217,R114,1.0
APAC,92,R190,1.0
NA,210,R056,1.0
APAC,93,R191,1.0
EMEA,218,R137,0.4
EMEA,218,R160,0.6
EMEA,219,R090,0.4
EMEA,219,R098,0.6
EMEA,220,R093,1.0
EMEA,221,R082,1.0
APAC,94,R189,1.0
NA,211,R072,1.0
EMEA,222,R083,1.0
NA,212,R020,0.5
NA,212,R067,0.5
NA,213,R003,1.0
EMEA,223,R139,0.6
EMEA,223,R132,0.4
EMEA,224,R156,0.6
EMEA,224,R091,0.4
EMEA,225,R104,1.0
EMEA,226,R102,1.0
NA,214,R080,1.0
NA,215,R049,1.0
NA,216,R065,1.0
EMEA,227,R121,1.0
EMEA,228,R129,1.0
NA,217,R054,1.0
EMEA,229,R143,1.0
EMEA,230,R143,0.5
EMEA,230,R098,0.5
NA,218,R008,1.0
EMEA,231,R150,1.0
EMEA,232,R115,1.0
EMEA,233,R097,1.0
EMEA,234,R097,0.5
EMEA,234,R131,0.5
APAC,95,R172,1.0
NA,219,R010,1.0
NA,220,R046,1.0
EMEA,235,R105,1.0
NA,221,R032,1.0
EMEA,236,R117,1.0
NA,222,R064,1.0
NA,223,R061,1.0
NA,224,R033,0.4
NA,224,R037,0.6
NA,225,R069,0.6
NA,225,R018,0.4
EMEA,237,R095,1.0
EMEA,238,R128,1.0
EMEA,239,R131,1.0
EMEA,240,R151,1.0
EMEA,241,R121,1.0
NA,226,R066,0.6
NA,226,R003,0.4
APAC,96,R171,1.0
EMEA,242,R154,1.0
NA,227,R031,1.0
APAC,97,R194,0.5
APAC,97,R182,0.5
APAC,98,R164,0.4
APAC,98,R183,0.6
EMEA,243,R145,1.0
EMEA,244,R103,1.0
NA,228,R046,0.4
NA,228,R039,0.6
NA,229,R070,0.6
NA,229,R068,0.4
NA,230,R017,1.0
NA,231,R059,1.0
NA,232,R003,1.0
EMEA,245,R113,0.4
EMEA,245,R146,0.6
EMEA,246,R116,1.0
EMEA,247,R151,0.5
EMEA,247,R113,0.5
EMEA,248,R140,0.5
EMEA,248,R124,0.5
EMEA,249,R088,0.4
EMEA,249,R134,0.6
NA,233,R067,1.0
NA,234,R008,1.0
NA,235,R052,1.0
APAC,99,R179,0.4
APAC,99,R174,0.6
EMEA,250,R085,1.0
APAC,100,R199,1.0
NA,236,R060,1.0
EMEA,251,R126,0.5
EMEA,251,R082,0.5
APAC,101,R195,0.4
APAC,101,R187,0.6
APAC,102,R174,1.0
NA,237,R042,1.0
APAC,103,R195,0.4
APAC,103,R193,0.6
NA,238,R060,0.6
NA,238,R075,0.4
NA,239,R015,1.0
EMEA,252,R116,0.5
EMEA,252,R090,0.5
EMEA,253,R113,0.4
EMEA,253,R085,0.6
NA,240,R072,1.0
EMEA,254,R082,1.0
EMEA,255,R128,1.0
NA,241,R053,1.0
NA,242,R019,1.0
EMEA,256,R151,1.0
NA,243,R067,1.0
NA,244,R010,1.0
EMEA,257,R120,1.0
EMEA,258,R116,1.0
NA,245,R036,1.0
EMEA,259,R111,1.0
APAC,104,R189,0.6
APAC,104,R171,0.4
EMEA,260,R111,1.0
NA,246,R008,1.0
EMEA,261,R086,0.6
EMEA,261,R088,0.4
NA,247,R008,0.5
NA,247,R070,0.5
NA,248,R030,1.0
EMEA,262,R117,1.0
NA,249,R072,1.0
EMEA,263,R140,1.0
NA,250,R014,1.0
EMEA,264,R107,1.0
EMEA,265,R120,0.6
EMEA,265,R144,0.4
EMEA,266,R097,1.0
APAC,105,R166,1.0
EMEA,267,R105,1.0
APAC,106,R166,1.0
EMEA,268,R133,1.0
EMEA,269,R113,1.0
NA,251,R060,1.0
NA,252,R041,0.4
NA,252,R061,0.6
EMEA,270,R101,1.0
NA,253,R038,1.0
APAC,107,R197,1.0
APAC,108,R187,1.0
NA,254,R003,1.0
NA,255,R019,1.0
NA,256,R032,1.0
APAC,109,R166,1.0
APAC,110,R179,0.4
APAC,110,R187,0.6
NA,257,R013,0.6
NA,257,R027,0.4
NA,258,R029,0.5
NA,258,R051,0.5
APAC,111,R189,1.0
EMEA,271,R106,1.0
NA,259,R071,1.0
EMEA,272,R126,1.0
NA,260,R065,1.0
APAC,112,R170,1.0
APAC,113,R175,0.5
APAC,113,R187,0.5
NA,261,R018,0.5
NA,261,R014,0.5
NA,262,R030,1.0
NA,263,R011,1.0
APAC,114,R191,1.0
NA,264,R076,1.0
NA,265,R001,1.0
NA,266,R011,0.4
NA,266,R024,0.6
NA,267,R071,1.0
NA,268,R069,0.6
NA,268,R008,0.4
APAC,115,R187,1.0
NA,269,R013,0.4
NA,269,R027,0.6
APAC,116,R197,1.0
EMEA,273,R119,1.0
EMEA,274,R114,1.0
EMEA,275,R115,1.0
EMEA,276,R083,1.0
EMEA,277,R107,1.0
EMEA,278,R086,1.0
APAC,117,R175,1.0
NA,270,R014,1.0
NA,271,R069,0.6
NA,271,R034,0.4
EMEA,279,R085,1.0
EMEA,280,R099,1.0
EMEA,281,R157,1.0
NA,272,R057,1.0
NA,273,R073,1.0
EMEA,282,R149,1.0
NA,274,R042,1.0
EMEA,283,R117,0.6
EMEA,283,R153,0.4
EMEA,284,R116,0.5
EMEA,284,R141,0.5
APAC,118,R171,1.0
EMEA,285,R154,1.0
NA,275,R002,1.0
NA,276,R011,1.0
APAC,119,R162,1.0
EMEA,286,R155,1.0
NA,277,R045,0.6
NA,277,R006,0.4
APAC,120,R178,1.0
NA,278,R063,0.5
NA,278,R072,0.5
APAC,121,R191,1.0
NA,279,R006,0.6
NA,279,R007,0.4
APAC,122,R191,1.0
NA,280,R067,1.0
EMEA,287,R099,1.0
APAC,123,R165,1.0
NA,281,R071,1.0
NA,282,R073,1.0
NA,283,R018,1.0
APAC,124,R163,1.0
APAC,125,R164,1.0
EMEA,288,R122,1.0
EMEA,289,R122,1.0
NA,284,R074,1.0
EMEA,290,R136,1.0
NA,285,R063,1.0
NA,286,R035,1.0
NA,287,R079,0.6
NA,287,R044,0.4
APAC,126,R175,1.0
EMEA,291,R123,1.0
APAC,127,R189,0.4
APAC,127,R199,0.6
EMEA,292,R086,1.0
EMEA,293,R111,1.0
EMEA,294,R116,1.0
NA,288,R040,1.0
EMEA,295,R110,1.0
NA,289,R063,1.0
EMEA,296,R096,1.0
EMEA,297,R118,1.0
EMEA,298,R090,1.0
NA,290,R028,1.0
EMEA,299,R154,1.0
NA,291,R055,1.0
EMEA,300,R107,0.5
EMEA,300,R126,0.5
APAC,128,R164,1.0
APAC,129,R171,1.0
NA,292,R048,0.6
NA,292,R030,0.4
APAC,130,R179,1.0
NA,293,R074,1.0
NA,294,R043,0.4
NA,294,R025,0.6
NA,295,R032,1.0
NA,296,R028,1.0
NA,297,R010,1.0
APAC,131,R168,1.0
APAC,132,R166,1.0
APAC,133,R191,1.0
APAC,134,R182,1.0
EMEA,301,R102,1.0
NA,298,R013,1.0
APAC,135,R195,0.5
APAC,135,R163,0.5
APAC,136,R165,0.6
APAC,136,R187,0.4
NA,299,R026,0.5
NA,299,R074,0.5
NA,300,R074,1.0
EMEA,302,R093,0.6
EMEA,302,R117,0.4
EMEA,303,R156,0.4
EMEA,303,R106,0.6
EMEA,304,R088,0.5
EMEA,304,R099,0.5
NA,301,R008,1.0
APAC,137,R176,1.0
APAC,138,R175,0.4
APAC,138,R178,0.6
NA,302,R006,0.4
NA,302,R030,0.6
APAC,139,R172,0.6
APAC,139,R188,0.4
EMEA,305,R105,0.4
EMEA,305,R086,0.6
EMEA,306,R124,1.0
NA,303,R005,1.0
APAC,140,R169,1.0
APAC,141,R188,1.0
APAC,142,R191,0.4
APAC,142,R169,0.6
EMEA,307,R101,1.0
NA,304,R064,1.0
NA,305,R063,0.6
NA,305,R077,0.4
NA,306,R037,1.0
NA,307,R054,1.0
APAC,143,R184,1.0
NA,308,R042,1.0
APAC,144,R187,1.0
EMEA,308,R128,1.0
APAC,145,R197,1.0
EMEA,309,R119,1.0
EMEA,310,R106,1.0
EMEA,311,R142,1.0
NA,309,R039,1.0
APAC,146,R193,0.6
APAC,146,R168,0.4
EMEA,312,R136,0.6
EMEA,312,R119,0.4
NA,310,R070,1.0
EMEA,313,R107,1.0
NA,311,R010,1.0
NA,312,R063,1.0
EMEA,314,R088,1.0
APAC,147,R168,0.4
APAC,147,R181,0.6
NA,313,R052,1.0
APAC,148,R167,1.0
APAC,149,R166,0.5
APAC,149,R167,0.5
EMEA,315,R141,0.4
EMEA,315,R094,0.6
APAC,150,R163,1.0
NA,314,R008,1.0
EMEA,316,R140,1.0
EMEA,317,R113,1.0
APAC,151,R172,1.0
APAC,152,R161,1.0
EMEA,318,R121,1.0
APAC,153,R170,0.6
APAC,153,R166,0.4
NA,315,R003,1.0
EMEA,319,R121,0.6
EMEA,319,R149,0.4
EMEA,320,R150,1.0
APAC,154,R192,1.0
EMEA,321,R093,1.0
APAC,155,R177,1.0
EMEA,322,R148,1.0
EMEA,323,R087,1.0
EMEA,324,R114,1.0
APAC,156,R174,1.0
NA,316,R056,1.0
NA,317,R041,1.0
NA,318,R074,0.6
NA,318,R022,0.4
APAC,157,R196,0.5
APAC,157,R175,0.5
NA,319,R014,0.4
NA,319,R066,0.6
NA,320,R042,1.0
NA,321,R023,1.0
EMEA,325,R152,1.0
NA,322,R024,1.0
EMEA,326,R134,1.0
APAC,158,R186,1.0
APAC,159,R184,1.0
EMEA,327,R150,0.4
EMEA,327,R098,0.6
EMEA,328,R139,1.0
APAC,160,R185,1.0
EMEA,329,R095,1.0
EMEA,330,R141,1.0
EMEA,331,R148,1.0
EMEA,332,R116,1.0
NA,323,R050,1.0
EMEA,333,R148,1.0
APAC,161,R199,0.5
APAC,161,R186,0.5
NA,324,R051,1.0
NA,325,R066,0.5
NA,325,R054,0.5
APAC,162,R178,0.4
APAC,162,R191,0.6
EMEA,334,R094,1.0
NA,326,R049,1.0
APAC,163,R200,1.0
NA,327,R062,1.0
NA,328,R025,1.0
EMEA,335,R144,1.0
EMEA,336,R112,0.4
EMEA,336,R145,0.6
NA,329,R028,1.0
NA,330,R046,1.0
EMEA,337,R144,1.0
EMEA,338,R140,1.0
APAC,164,R188,1.0
EMEA,339,R121,1.0
APAC,165,R171,1.0
EMEA,340,R087,0.5
EMEA,340,R088,0.5
EMEA,341,R111,0.5
EMEA,341,R139,0.5
APAC,166,R174,1.0
EMEA,342,R085,1.0
EMEA,343,R083,0.5
EMEA,343,R082,0.5
EMEA,344,R124,1.0
NA,331,R041,1.0
EMEA,345,R091,0.6
EMEA,345,R112,0.4
APAC,167,R164,0.4
APAC,167,R173,0.6
APAC,168,R188,1.0
EMEA,346,R134,1.0
NA,332,R051,1.0
APAC,169,R170,1.0
NA,333,R003,0.5
NA,333,R055,0.5
EMEA,347,R088,1.0
EMEA,348,R099,1.0
APAC,170,R189,1.0
APAC,171,R177,1.0
NA,334,R025,0.5
NA,334,R029,0.5
APAC,172,R179,0.5
APAC,172,R167,0.5
APAC,173,R172,1.0
EMEA,349,R082,1.0
NA,335,R076,1.0
NA,336,R029,1.0
APAC,174,R171,1.0
NA,337,R079,0.5
NA,337,R001,0.5
NA,338,R020,0.4
NA,338,R036,0.6
NA,339,R006,1.0
EMEA,350,R160,1.0
APAC,175,R192,1.0
EMEA,351,R096,1.0
NA,340,R011,1.0
NA,341,R071,1.0
NA,342,R018,1.0
APAC,176,R170,1.0
EMEA,352,R102,1.0
EMEA,353,R082,1.0
NA,343,R018,1.0
NA,344,R058,0.4
NA,344,R010,0.6
NA,345,R006,1.0
NA,346,R007,1.0
EMEA,354,R151,0.4
EMEA,354,R112,0.6
NA,347,R012,1.0
NA,348,R020,1.0
NA,349,R045,1.0
EMEA,355,R093,1.0
NA,350,R066,1.0
EMEA,356,R093,1.0
EMEA,357,R130,1.0
EMEA,358,R084,0.6
EMEA,358,R090,0.4
