account_id,rep_id,role,effective_from
ACC0038,R163,SDR,2023-01-01
ACC0038,R194,Overlay_Specialist,2023-01-01
ACC0039,R150,Primary_AE,2023-01-01
ACC0040,R036,Primary_AE,2023-01-01
ACC0040,R023,SDR,2023-01-01
ACC0041,R063,Primary_AE,2023-01-01
ACC0042,R087,Primary_AE,2023-01-01
ACC0042,R093,SDR,2023-01-01
ACC0043,R056,Primary_AE,2023-01-01
ACC0043,R011,Overlay_Specialist,2023-01-01
ACC0044,R060,Primary_AE,2023-01-01
ACC0045,R102,Primary_AE,2023-01-01
ACC0045,R150,SDR,2023-01-01
ACC0046,R161,Primary_AE,2023-01-01
ACC0046,R178,Overlay_Specialist,2023-01-01
ACC0047,R025,Primary_AE,2023-01-01
ACC0048,R195,Primary_AE,2023-01-01
ACC0049,R061,Primary_AE,2023-01-01
ACC0050,R193,Primary_AE,2023-01-01
ACC0050,R198,SDR,2023-01-01
ACC0051,R030,Primary_AE,2023-01-01
ACC0051,R052,SDR,2023-01-01
ACC0051,R061,Overlay_Specialist,2023-01-01
ACC0052,R084,Primary_AE,2023-01-01
ACC0053,R037,Primary_AE,2023-01-01
ACC0054,R187,Primary_AE,2023-01-01
ACC0054,R186,Overlay_Specialist,2023-01-01
ACC0055,R022,Primary_AE,2023-01-01
ACC0056,R093,Primary_AE,2023-01-01
ACC0057,R047,Primary_AE,2023-01-01
ACC0058,R058,Primary_AE,2023-01-01
ACC0059,R083,Primary_AE,2023-01-01
ACC0060,R055,Primary_AE,2023-01-01
ACC0060,R036,SDR,2023-01-01
ACC0061,R199,Primary_AE,2023-01-01
ACC0061,R190,Overlay_Specialist,2023-01-01
ACC0062,R177,Primary_AE,2023-01-01
ACC0062,R163,Overlay_Specialist,2023-01-01
ACC0063,R039,Primary_AE,2023-01-01
ACC0063,R067,Overlay_Specialist,2023-01-01
ACC0064,R184,Primary_AE,2023-01-01
ACC0064,R197,SDR,2024-03-01
ACC0065,R116,Primary_AE,2023-01-01
ACC0065,R093,SDR,2023-01-01
ACC0065,R138,Overlay_Specialist,2023-01-01
ACC0066,R012,Primary_AE,2023-01-01
ACC0066,R067,SDR,2023-01-01
ACC0067,R011,Primary_AE,2023-01-01
ACC0068,R166,Primary_AE,2023-01-01
ACC0069,R064,Primary_AE,2023-01-01
ACC0069,R039,Overlay_Specialist,2023-01-01
ACC0070,R037,Primary_AE,2023-01-01
ACC0070,R019,SDR,2023-01-01
ACC0071,R050,Primary_AE,2023-01-01
ACC0071,R001,Overlay_Specialist,2023-01-01
ACC0072,R075,Primary_AE,2023-01-01
ACC0072,R008,Overlay_Specialist,2023-01-01
ACC0073,R167,Primary_AE,2023-01-01
ACC0073,R177,SDR,2023-01-01
ACC0073,R198,Overlay_Specialist,2023-01-01
ACC0074,R168,Primary_AE,2023-01-01
ACC0075,R169,Primary_AE,2023-01-01
ACC0076,R126,Primary_AE,2023-01-01
ACC0076,R132,Overlay_Specialist,2023-01-01
ACC0077,R166,Primary_AE,2023-01-01
ACC0078,R108,Primary_AE,2023-01-01
ACC0079,R138,Primary_AE,2023-01-01
ACC0079,R131,SDR,2023-01-01
ACC0079,R115,Overlay_Specialist,2023-01-01
ACC0080,R096,Primary_AE,2023-01-01
ACC0081,R068,Primary_AE,2023-01-01
ACC0082,R074,Primary_AE,2023-01-01
ACC0083,R048,Primary_AE,2023-01-01
ACC0084,R060,Primary_AE,2023-01-01
ACC0085,R093,Primary_AE,2023-01-01
ACC0086,R108,Primary_AE,2023-01-01
ACC0087,R154,Primary_AE,2023-01-01
ACC0087,R131,SDR,2023-01-01
ACC0088,R008,Primary_AE,2023-01-01
ACC0089,R041,Primary_AE,2023-01-01
ACC0089,R077,SDR,2023-01-01
ACC0089,R050,Overlay_Specialist,2023-01-01
ACC0090,R125,Primary_AE,2023-01-01
ACC0090,R139,SDR,2023-01-01
ACC0091,R145,Primary_AE,2023-01-01
ACC0092,R028,Primary_AE,2023-01-01
ACC0093,R200,Primary_AE,2023-01-01
ACC0094,R160,Primary_AE,2023-01-01
ACC0094,R122,Overlay_Specialist,2023-01-01
ACC0095,R124,Primary_AE,2023-01-01
ACC0095,R091,SDR,2023-01-01
ACC0096,R113,Primary_AE,2023-01-01
ACC0097,R146,Primary_AE,2023-01-01
ACC0098,R153,Primary_AE,2023-01-01
ACC0099,R170,Primary_AE,2023-01-01
ACC0099,R165,SDR,2023-01-01
ACC0099,R181,Overlay_Specialist,2023-01-01
ACC0100,R132,Primary_AE,2023-01-01
ACC0101,R042,Primary_AE,2023-01-01
ACC0102,R135,Primary_AE,2023-01-01
ACC0103,R160,Primary_AE,2023-01-01
ACC0103,R109,Overlay_Specialist,2023-01-01
ACC0104,R193,Primary_AE,2023-01-01
ACC0105,R030,Primary_AE,2023-01-01
ACC0106,R036,Primary_AE,2023-01-01
ACC0107,R111,Primary_AE,2023-01-01
ACC0108,R131,Primary_AE,2023-01-01
ACC0109,R198,Primary_AE,2023-01-01
ACC0109,R171,SDR,2023-01-01
ACC0110,R171,Primary_AE,2023-01-01
ACC0110,R180,SDR,2024-03-01
ACC0111,R118,Primary_AE,2023-01-01
ACC0111,R088,SDR,2023-01-01
ACC0112,R091,Primary_AE,2023-01-01
ACC0112,R158,SDR,2023-01-01
ACC0113,R092,Primary_AE,2023-01-01
ACC0114,R148,Primary_AE,2023-01-01
ACC0114,R142,SDR,2023-01-01
ACC0115,R009,Primary_AE,2023-01-01
ACC0115,R071,SDR,2023-01-01
ACC0116,R009,Primary_AE,2023-01-01
ACC0117,R022,Primary_AE,2023-01-01
ACC0117,R055,Overlay_Specialist,2023-01-01
ACC0118,R180,Primary_AE,2023-01-01
ACC0118,R170,SDR,2023-01-01
ACC0118,R170,Overlay_Specialist,2023-01-01
ACC0119,R171,Primary_AE,2023-01-01
ACC0119,R192,SDR,2024-03-01
ACC0120,R058,Primary_AE,2023-01-01
ACC0120,R052,SDR,2023-01-01
ACC0120,R013,Overlay_Specialist,2023-01-01
ACC0121,R011,Primary_AE,2023-01-01
ACC0122,R193,Primary_AE,2023-01-01
ACC0122,R170,Overlay_Specialist,2023-01-01
ACC0123,R134,Primary_AE,2023-01-01
ACC0124,R161,Primary_AE,2023-01-01
ACC0125,R090,Primary_AE,2023-01-01
ACC0125,R084,SDR,2023-01-01
ACC0125,R137,Overlay_Specialist,2023-01-01
ACC0126,R101,Primary_AE,2023-01-01
ACC0127,R018,Primary_AE,2023-01-01
ACC0127,R069,SDR,2023-01-01
ACC0128,R011,Primary_AE,2023-01-01
ACC0128,R017,SDR,2023-01-01
ACC0129,R105,Primary_AE,2023-01-01
ACC0129,R159,Overlay_Specialist,2023-01-01
ACC0130,R015,Primary_AE,2023-01-01
ACC0130,R050,SDR,2023-01-01
ACC0131,R092,Primary_AE,2023-01-01
ACC0131,R138,SDR,2023-01-01
ACC0131,R142,Overlay_Specialist,2023-01-01
ACC0132,R037,Primary_AE,2023-01-01
ACC0133,R109,Primary_AE,2023-01-01
ACC0134,R157,Primary_AE,2023-01-01
ACC0134,R100,SDR,2023-01-01
ACC0135,R190,Primary_AE,2023-01-01
ACC0136,R052,Primary_AE,2023-01-01
ACC0136,R053,Overlay_Specialist,2023-01-01
ACC0137,R093,Primary_AE,2023-01-01
ACC0138,R102,Primary_AE,2023-01-01
ACC0138,R158,SDR,2023-01-01
ACC0139,R027,Primary_AE,2023-01-01
ACC0140,R158,Primary_AE,2023-01-01
ACC0141,R123,Primary_AE,2023-01-01
ACC0142,R190,Primary_AE,2023-01-01
ACC0142,R183,Overlay_Specialist,2023-01-01
ACC0143,R060,Primary_AE,2023-01-01
ACC0144,R084,Primary_AE,2023-01-01
ACC0145,R118,Primary_AE,2023-01-01
ACC0146,R141,Primary_AE,2023-01-01
ACC0147,R069,Primary_AE,2023-01-01
ACC0148,R110,Primary_AE,2023-01-01
ACC0149,R162,Primary_AE,2023-01-01
ACC0150,R148,Primary_AE,2023-01-01
ACC0151,R054,Primary_AE,2023-01-01
ACC0152,R160,Primary_AE,2023-01-01
ACC0152,R085,Overlay_Specialist,2023-01-01
ACC0153,R015,Primary_AE,2023-01-01
ACC0153,R007,Overlay_Specialist,2023-01-01
ACC0154,R057,Primary_AE,2023-01-01
ACC0154,R059,Overlay_Specialist,2023-01-01
ACC0155,R063,Primary_AE,2023-01-01
ACC0155,R035,Overlay_Specialist,2023-01-01
ACC0156,R166,Primary_AE,2023-01-01
ACC0157,R142,Primary_AE,2023-01-01
ACC0157,R093,Overlay_Specialist,2023-01-01
ACC0158,R102,Primary_AE,2023-01-01
ACC0159,R073,Primary_AE,2023-01-01
ACC0160,R155,Primary_AE,2023-01-01
ACC0161,R138,Primary_AE,2023-01-01
ACC0161,R134,Overlay_Specialist,2023-01-01
ACC0162,R042,Primary_AE,2023-01-01
ACC0162,R058,Overlay_Specialist,2023-01-01
ACC0163,R034,Primary_AE,2023-01-01
ACC0164,R192,Primary_AE,2023-01-01
ACC0165,R112,Primary_AE,2023-01-01
ACC0165,R121,SDR,2023-01-01
ACC0166,R090,Primary_AE,2023-01-01
ACC0166,R148,SDR,2023-01-01
ACC0167,R152,Primary_AE,2023-01-01
ACC0167,R105,Overlay_Specialist,2023-01-01
ACC0168,R037,Primary_AE,2023-01-01
ACC0168,R051,Overlay_Specialist,2023-01-01
ACC0169,R047,Primary_AE,2023-01-01
ACC0169,R016,SDR,2023-01-01
ACC0170,R099,Primary_AE,2023-01-01
ACC0170,R103,Overlay_Specialist,2023-01-01
ACC0171,R049,Primary_AE,2023-01-01
ACC0172,R112,Primary_AE,2023-01-01
ACC0173,R130,Primary_AE,2023-01-01
ACC0173,R139,SDR,2023-01-01
ACC0174,R074,Primary_AE,2023-01-01
ACC0175,R067,Primary_AE,2023-01-01
ACC0176,R097,Primary_AE,2023-01-01
ACC0177,R061,Primary_AE,2023-01-01
ACC0178,R118,Primary_AE,2023-01-01
ACC0179,R104,Primary_AE,2023-01-01
ACC0180,R021,Primary_AE,2023-01-01
ACC0180,R001,Overlay_Specialist,2023-01-01
ACC0181,R068,Primary_AE,2023-01-01
ACC0181,R021,SDR,2023-01-01
ACC0182,R005,Primary_AE,2023-01-01
ACC0183,R029,Primary_AE,2023-01-01
ACC0183,R049,SDR,2023-01-01
ACC0184,R035,Primary_AE,2023-01-01
ACC0185,R141,Primary_AE,2023-01-01
ACC0186,R197,Primary_AE,2023-01-01
ACC0187,R153,Primary_AE,2023-01-01
ACC0188,R093,Primary_AE,2023-01-01
ACC0188,R150,SDR,2023-01-01
ACC0189,R162,Primary_AE,2023-01-01
ACC0190,R089,Primary_AE,2023-01-01
ACC0191,R031,Primary_AE,2023-01-01
ACC0192,R058,Primary_AE,2023-01-01
ACC0192,R024,Overlay_Specialist,2023-01-01
ACC0193,R009,Primary_AE,2023-01-01
ACC0194,R176,Primary_AE,2023-01-01
ACC0195,R198,Primary_AE,2023-01-01
ACC0196,R130,Primary_AE,2023-01-01
ACC0197,R017,Primary_AE,2023-01-01
ACC0198,R048,Primary_AE,2023-01-01
ACC0198,R003,Overlay_Specialist,2023-01-01
ACC0199,R074,Primary_AE,2023-01-01
ACC0200,R022,Primary_AE,2023-01-01
ACC0201,R148,Primary_AE,2023-01-01
ACC0201,R139,Overlay_Specialist,2023-01-01
ACC0202,R182,Primary_AE,2023-01-01
ACC0203,R047,Primary_AE,2023-01-01
ACC0203,R077,SDR,2023-01-01
ACC0204,R103,Primary_AE,2023-01-01
ACC0204,R142,SDR,2023-01-01
ACC0205,R081,Primary_AE,2023-01-01
ACC0206,R084,Primary_AE,2023-01-01
ACC0207,R171,Primary_AE,2023-01-01
ACC0207,R189,SDR,2023-01-01
ACC0208,R119,Primary_AE,2023-01-01
ACC0208,R125,SDR,2023-01-01
ACC0208,R152,Overlay_Specialist,2023-01-01
ACC0209,R136,Primary_AE,2023-01-01
ACC0210,R017,Primary_AE,2023-01-01
ACC0211,R128,Primary_AE,2023-01-01
ACC0211,R104,Overlay_Specialist,2023-01-01
ACC0212,R024,Primary_AE,2023-01-01
ACC0213,R115,Primary_AE,2023-01-01
ACC0214,R100,Primary_AE,2023-01-01
ACC0214,R154,Overlay_Specialist,2023-01-01
ACC0215,R021,Primary_AE,2023-01-01
ACC0215,R030,SDR,2023-01-01
ACC0216,R111,Primary_AE,2023-01-01
ACC0217,R004,Primary_AE,2023-01-01
ACC0218,R178,Primary_AE,2023-01-01
ACC0219,R192,Primary_AE,2023-01-01
ACC0219,R174,SDR,2023-01-01
ACC0220,R180,Primary_AE,2023-01-01
ACC0221,R062,Primary_AE,2023-01-01
ACC0222,R106,Primary_AE,2023-01-01
ACC0223,R171,Primary_AE,2023-01-01
ACC0223,R170,Overlay_Specialist,2023-01-01
ACC0224,R070,Primary_AE,2023-01-01
ACC0224,R071,SDR,2023-01-01
ACC0225,R051,Primary_AE,2023-01-01
ACC0226,R159,Primary_AE,2023-01-01
ACC0227,R118,Primary_AE,2023-01-01
ACC0228,R135,Primary_AE,2023-01-01
ACC0228,R094,Overlay_Specialist,2023-01-01
ACC0229,R113,Primary_AE,2023-01-01
ACC0229,R115,SDR,2023-01-01
ACC0230,R131,Primary_AE,2023-01-01
ACC0231,R028,Primary_AE,2023-01-01
ACC0231,R003,Overlay_Specialist,2023-01-01
ACC0232,R059,Primary_AE,2023-01-01
ACC0232,R004,SDR,2023-01-01
ACC0232,R079,Overlay_Specialist,2023-01-01
ACC0233,R092,Primary_AE,2023-01-01
ACC0234,R010,Primary_AE,2023-01-01
ACC0234,R005,SDR,2023-01-01
ACC0235,R156,Primary_AE,2023-01-01
ACC0236,R013,Primary_AE,2023-01-01
ACC0237,R047,Primary_AE,2023-01-01
ACC0237,R033,SDR,2023-01-01
ACC0237,R033,Overlay_Specialist,2023-01-01
ACC0238,R173,Primary_AE,2023-01-01
ACC0238,R165,SDR,2024-03-01
ACC0239,R102,Primary_AE,2023-01-01
ACC0240,R111,Primary_AE,2023-01-01
ACC0241,R157,Primary_AE,2023-01-01
ACC0242,R183,Primary_AE,2023-01-01
ACC0243,R096,Primary_AE,2023-01-01
ACC0244,R097,Primary_AE,2023-01-01
ACC0245,R010,Primary_AE,2023-01-01
ACC0245,R049,SDR,2023-01-01
ACC0245,R004,Overlay_Specialist,2023-01-01
ACC0246,R005,Primary_AE,2023-01-01
ACC0246,R074,SDR,2023-01-01
ACC0246,R066,Overlay_Specialist,2023-01-01
ACC0247,R007,Primary_AE,2023-01-01
ACC0247,R057,SDR,2023-01-01
ACC0248,R125,Primary_AE,2023-01-01
ACC0249,R138,Primary_AE,2023-01-01
ACC0249,R149,SDR,2023-01-01
ACC0250,R107,Primary_AE,2023-01-01
ACC0250,R130,SDR,2023-01-01
ACC0251,R200,Primary_AE,2023-01-01
ACC0251,R194,SDR,2023-01-01
ACC0252,R112,Primary_AE,2023-01-01
ACC0253,R091,Primary_AE,2023-01-01
ACC0254,R030,Primary_AE,2023-01-01
ACC0255,R064,Primary_AE,2023-01-01
ACC0255,R041,SDR,2023-01-01
ACC0256,R083,Primary_AE,2023-01-01
ACC0256,R150,SDR,2023-01-01
ACC0257,R006,Primary_AE,2023-01-01
ACC0257,R057,SDR,2023-01-01
ACC0258,R034,Primary_AE,2023-01-01
ACC0259,R166,Primary_AE,2023-01-01
ACC0260,R064,Primary_AE,2023-01-01
ACC0260,R062,SDR,2023-01-01
ACC0261,R029,Primary_AE,2023-01-01
ACC0261,R064,SDR,2023-01-01
ACC0262,R102,Primary_AE,2023-01-01
ACC0262,R155,SDR,2023-01-01
ACC0263,R004,Primary_AE,2023-01-01
ACC0263,R047,Overlay_Specialist,2023-01-01
ACC0264,R180,Primary_AE,2023-01-01
ACC0265,R034,Primary_AE,2023-01-01
ACC0265,R051,SDR,2023-01-01
ACC0265,R037,Overlay_Specialist,2023-01-01
ACC0266,R119,Primary_AE,2023-01-01
ACC0266,R108,SDR,2023-01-01
ACC0267,R133,Primary_AE,2023-01-01
ACC0267,R085,SDR,2023-01-01
ACC0268,R120,Primary_AE,2023-01-01
ACC0269,R124,Primary_AE,2023-01-01
ACC0270,R123,Primary_AE,2023-01-01
ACC0271,R153,Primary_AE,2023-01-01
ACC0272,R114,Primary_AE,2023-01-01
ACC0273,R189,Primary_AE,2023-01-01
ACC0274,R003,Primary_AE,2023-01-01
ACC0274,R063,Overlay_Specialist,2023-01-01
ACC0275,R178,Primary_AE,2023-01-01
ACC0276,R094,Primary_AE,2023-01-01
ACC0276,R092,Overlay_Specialist,2023-01-01
ACC0277,R137,Primary_AE,2023-01-01
ACC0278,R040,Primary_AE,2023-01-01
ACC0278,R028,SDR,2023-01-01
ACC0279,R094,Primary_AE,2023-01-01
ACC0280,R083,Primary_AE,2023-01-01
ACC0281,R104,Primary_AE,2023-01-01
ACC0282,R089,Primary_AE,2023-01-01
ACC0283,R021,Primary_AE,2023-01-01
ACC0283,R001,Overlay_Specialist,2023-01-01
ACC0284,R041,Primary_AE,2023-01-01
ACC0284,R017,Overlay_Specialist,2023-01-01
ACC0285,R196,Primary_AE,2023-01-01
ACC0286,R187,Primary_AE,2023-01-01
ACC0287,R178,Primary_AE,2023-01-01
ACC0288,R077,Primary_AE,2023-01-01
ACC0289,R082,Primary_AE,2023-01-01
ACC0289,R108,Overlay_Specialist,2023-01-01
ACC0290,R076,Primary_AE,2023-01-01
ACC0290,R027,Overlay_Specialist,2023-01-01
ACC0291,R033,Primary_AE,2023-01-01
ACC0292,R005,Primary_AE,2023-01-01
ACC0292,R077,SDR,2023-01-01
ACC0292,R039,Overlay_Specialist,2023-01-01
ACC0293,R151,Primary_AE,2023-01-01
ACC0294,R096,Primary_AE,2023-01-01
ACC0294,R097,SDR,2023-01-01
ACC0295,R012,Primary_AE,2023-01-01
ACC0295,R039,SDR,2023-01-01
ACC0295,R001,Overlay_Specialist,2023-01-01
ACC0296,R097,Primary_AE,2023-01-01
ACC0297,R135,Primary_AE,2023-01-01
ACC0297,R120,SDR,2023-01-01
ACC0298,R028,Primary_AE,2023-01-01
ACC0299,R059,Primary_AE,2023-01-01
ACC0300,R123,Primary_AE,2023-01-01
ACC0300,R159,Overlay_Specialist,2023-01-01
ACC0301,R083,Primary_AE,2023-01-01
ACC0302,R028,Primary_AE,2023-01-01
ACC0302,R066,SDR,2023-01-01
ACC0303,R170,Primary_AE,2023-01-01
ACC0303,R164,Overlay_Specialist,2023-01-01
ACC0304,R051,Primary_AE,2023-01-01
ACC0304,R009,SDR,2023-01-01
ACC0305,R171,Primary_AE,2023-01-01
ACC0306,R170,Primary_AE,2023-01-01
ACC0307,R075,Primary_AE,2023-01-01
ACC0308,R121,Primary_AE,2023-01-01
ACC0308,R156,SDR,2023-01-01
ACC0309,R146,Primary_AE,2023-01-01
ACC0309,R088,SDR,2023-01-01
ACC0310,R124,Primary_AE,2023-01-01
ACC0311,R036,Primary_AE,2023-01-01
ACC0311,R071,SDR,2023-01-01
ACC0312,R143,Primary_AE,2023-01-01
ACC0313,R107,Primary_AE,2023-01-01
ACC0313,R123,SDR,2023-01-01
ACC0314,R060,Primary_AE,2023-01-01
ACC0315,R033,Primary_AE,2023-01-01
ACC0316,R057,Primary_AE,2023-01-01
ACC0317,R099,Primary_AE,2023-01-01
ACC0317,R110,Overlay_Specialist,2023-01-01
ACC0318,R026,Primary_AE,2023-01-01
ACC0319,R167,Primary_AE,2023-01-01
ACC0319,R199,SDR,2024-03-01
ACC0320,R192,Primary_AE,2023-01-01
ACC0320,R169,SDR,2023-01-01
ACC0320,R175,Overlay_Specialist,2023-01-01
ACC0321,R024,Primary_AE,2023-01-01
ACC0322,R184,Primary_AE,2023-01-01
ACC0323,R122,Primary_AE,2023-01-01
ACC0323,R148,Overlay_Specialist,2023-01-01
ACC0324,R198,Primary_AE,2023-01-01
ACC0325,R075,Primary_AE,2023-01-01
ACC0325,R038,SDR,2023-01-01
ACC0326,R137,Primary_AE,2023-01-01
ACC0326,R107,SDR,2023-01-01
ACC0327,R012,Primary_AE,2023-01-01
ACC0328,R159,Primary_AE,2023-01-01
ACC0329,R043,Primary_AE,2023-01-01
ACC0330,R185,Primary_AE,2023-01-01
ACC0330,R182,SDR,2024-03-01
ACC0331,R199,Primary_AE,2023-01-01
ACC0331,R176,SDR,2023-01-01
ACC0331,R178,Overlay_Specialist,2023-01-01
ACC0332,R087,Primary_AE,2023-01-01
ACC0333,R031,Primary_AE,2023-01-01
ACC0334,R083,Primary_AE,2023-01-01
ACC0335,R146,Primary_AE,2023-01-01
ACC0336,R123,Primary_AE,2023-01-01
ACC0336,R157,Overlay_Specialist,2023-01-01
ACC0337,R019,Primary_AE,2023-01-01
ACC0337,R055,Overlay_Specialist,2023-01-01
ACC0338,R198,Primary_AE,2023-01-01
ACC0339,R090,Primary_AE,2023-01-01
ACC0340,R151,Primary_AE,2023-01-01
ACC0341,R132,Primary_AE,2023-01-01
ACC0342,R079,Primary_AE,2023-01-01
ACC0343,R081,Primary_AE,2023-01-01
ACC0344,R067,Primary_AE,2023-01-01
ACC0345,R084,Primary_AE,2023-01-01
ACC0346,R052,Primary_AE,2023-01-01
ACC0346,R010,SDR,2023-01-01
ACC0347,R027,Primary_AE,2023-01-01
ACC0347,R053,Overlay_Specialist,2023-01-01
ACC0348,R178,Primary_AE,2023-01-01
ACC0348,R173,SDR,2023-01-01
ACC0349,R188,Primary_AE,2023-01-01
ACC0349,R195,SDR,2024-03-01
ACC0350,R035,Primary_AE,2023-01-01
ACC0350,R011,SDR,2023-01-01
ACC0350,R023,Overlay_Specialist,2023-01-01
ACC0351,R057,Primary_AE,2023-01-01
ACC0352,R149,Primary_AE,2023-01-01
ACC0353,R041,Primary_AE,2023-01-01
ACC0354,R150,Primary_AE,2023-01-01
ACC0355,R052,Primary_AE,2023-01-01
ACC0356,R089,Primary_AE,2023-01-01
ACC0356,R136,SDR,2023-01-01
ACC0357,R141,Primary_AE,2023-01-01
ACC0358,R176,Primary_AE,2023-01-01
ACC0359,R066,Primary_AE,2023-01-01
ACC0360,R065,Primary_AE,2023-01-01
ACC0361,R162,Primary_AE,2023-01-01
ACC0362,R049,Primary_AE,2023-01-01
ACC0363,R005,Primary_AE,2023-01-01
ACC0364,R149,Primary_AE,2023-01-01
ACC0365,R140,Primary_AE,2023-01-01
ACC0366,R049,Primary_AE,2023-01-01
ACC0366,R037,SDR,2023-01-01
ACC0367,R118,Primary_AE,2023-01-01
ACC0367,R133,SDR,2023-01-01
ACC0368,R164,Primary_AE,2023-01-01
ACC0368,R176,SDR,2023-01-01
ACC0369,R002,Primary_AE,2023-01-01
ACC0370,R047,Primary_AE,2023-01-01
ACC0370,R011,Overlay_Specialist,2023-01-01
ACC0371,R024,Primary_AE,2023-01-01
ACC0371,R032,Overlay_Specialist,2023-01-01
ACC0372,R190,Primary_AE,2023-01-01
ACC0373,R031,Primary_AE,2023-01-01
ACC0374,R127,Primary_AE,2023-01-01
ACC0374,R086,SDR,2023-01-01
ACC0375,R050,Primary_AE,2023-01-01
ACC0376,R055,Primary_AE,2023-01-01
ACC0376,R058,SDR,2023-01-01
ACC0376,R067,Overlay_Specialist,2023-01-01
ACC0377,R032,Primary_AE,2023-01-01
ACC0378,R085,Primary_AE,2023-01-01
ACC0379,R001,Primary_AE,2023-01-01
ACC0380,R199,Primary_AE,2023-01-01
ACC0380,R187,SDR,2024-03-01
ACC0381,R146,Primary_AE,2023-01-01
ACC0382,R036,Primary_AE,2023-01-01
ACC0382,R034,SDR,2023-01-01
ACC0383,R153,Primary_AE,2023-01-01
ACC0384,R071,Primary_AE,2023-01-01
ACC0385,R079,Primary_AE,2023-01-01
ACC0386,R065,Primary_AE,2023-01-01
ACC0387,R054,Primary_AE,2023-01-01
ACC0387,R012,Overlay_Specialist,2023-01-01
ACC0388,R066,Primary_AE,2023-01-01
ACC0388,R013,Overlay_Specialist,2023-01-01
ACC0389,R103,Primary_AE,2023-01-01
ACC0389,R085,SDR,2023-01-01
ACC0390,R171,Primary_AE,2023-01-01
ACC0390,R192,SDR,2023-01-01
ACC0391,R150,Primary_AE,2023-01-01
ACC0391,R146,SDR,2023-01-01
ACC0391,R086,Overlay_Specialist,2023-01-01
ACC0392,R173,Primary_AE,2023-01-01
ACC0393,R091,Primary_AE,2023-01-01
ACC0393,R146,SDR,2023-01-01
ACC0394,R110,Primary_AE,2023-01-01
ACC0394,R140,SDR,2023-01-01
ACC0395,R041,Primary_AE,2023-01-01
ACC0396,R101,Primary_AE,2023-01-01
ACC0397,R126,Primary_AE,2023-01-01
ACC0397,R097,Overlay_Specialist,2023-01-01
ACC0398,R152,Primary_AE,2023-01-01
ACC0398,R087,SDR,2023-01-01
ACC0398,R084,Overlay_Specialist,2023-01-01
ACC0399,R165,Primary_AE,2023-01-01
ACC0400,R171,Primary_AE,2023-01-01
ACC0401,R028,Primary_AE,2023-01-01
ACC0402,R191,Primary_AE,2023-01-01
ACC0402,R200,Overlay_Specialist,2023-01-01
ACC0403,R124,Primary_AE,2023-01-01
ACC0404,R045,Primary_AE,2023-01-01
ACC0405,R150,Primary_AE,2023-01-01
ACC0406,R111,Primary_AE,2023-01-01
ACC0406,R123,SDR,2023-01-01
ACC0407,R010,Primary_AE,2023-01-01
ACC0408,R058,Primary_AE,2023-01-01
