rep_id,period_start,period_end,quota_usd
R052,2023-11-01,2024-01-31,2983192.95
R052,2024-02-01,2024-04-30,1551507.59
R052,2024-05-01,2024-07-31,1930280.52
R053,2023-08-01,2023-10-31,1560549.93
R053,2023-11-01,2024-01-31,1617080.35
R053,2024-02-01,2024-04-30,2559468.69
R053,2024-05-01,2024-07-31,2234044.81
R054,2023-08-01,2023-10-31,2391037.03
R054,2023-11-01,2024-01-31,1467455.57
R054,2024-02-01,2024-04-30,1294879.31
R054,2024-05-01,2024-07-31,1872418.04
R055,2023-08-01,2023-10-31,1064090.76
R055,2023-11-01,2024-01-31,2198912.61
R055,2024-02-01,2024-04-30,2198415.75
R055,2024-05-01,2024-07-31,1636680.61
R056,2023-08-01,2023-10-31,1639444.5
R056,2023-11-01,2024-01-31,2387584.85
R056,2024-02-01,2024-04-30,1119166.22
R056,2024-05-01,2024-07-31,1905143.28
R057,2023-08-01,2023-10-31,1105049.68
R057,2023-11-01,2024-01-31,2130705.0
R057,2024-02-01,2024-04-30,1219418.85
R057,2024-05-01,2024-07-31,2536288.94
R058,2023-08-01,2023-10-31,2773566.97
R058,2023-11-01,2024-01-31,2923927.61
R058,2024-02-01,2024-04-30,2708845.84
R058,2024-05-01,2024-07-31,1714505.52
R059,2023-08-01,2023-10-31,2431800.64
R059,2023-11-01,2024-01-31,2268396.88
R059,2024-02-01,2024-04-30,1833141.46
R059,2024-05-01,2024-07-31,1174292.08
R060,2023-08-01,2023-10-31,1520266.93
R060,2023-11-01,2024-01-31,1470630.42
R060,2024-02-01,2024-04-30,2246353.97
R060,2024-05-01,2024-07-31,2531333.25
R061,2023-08-01,2023-10-31,2226178.21
R061,2023-11-01,2024-01-31,1057111.72
R061,2024-02-01,2024-04-30,2566504.12
R061,2024-05-01,2024-07-31,1570036.17
R062,2023-08-01,2023-10-31,1857107.35
R062,2023-11-01,2024-01-31,1513535.38
R062,2024-02-01,2024-04-30,2579217.5
R062,2024-05-01,2024-07-31,1465271.14
R063,2023-08-01,2023-10-31,2043056.9
R063,2023-11-01,2024-01-31,2589058.65
R063,2024-02-01,2024-04-30,2487861.87
R063,2024-05-01,2024-07-31,2649570.08
R064,2023-08-01,2023-10-31,2336867.36
R064,2023-11-01,2024-01-31,2222475.74
R064,2024-02-01,2024-04-30,1868613.39
R064,2024-05-01,2024-07-31,1937318.93
R065,2023-08-01,2023-10-31,2603730.56
R065,2023-11-01,2024-01-31,2477870.45
R065,2024-02-01,2024-04-30,1268717.17
R065,2024-05-01,2024-07-31,2995452.4
R066,2023-08-01,2023-10-31,1438119.91
R066,2023-11-01,2024-01-31,2832965.61
R066,2024-02-01,2024-04-30,1544865.7
R066,2024-05-01,2024-07-31,1014366.25
R067,2023-08-01,2023-10-31,2012693.44
R067,2023-11-01,2024-01-31,1756103.48
R067,2024-02-01,2024-04-30,2550316.47
R067,2024-05-01,2024-07-31,1161319.73
R068,2023-08-01,2023-10-31,1534847.76
R068,2023-11-01,2024-01-31,1133823.04
R068,2024-02-01,2024-04-30,1622612.08
R068,2024-05-01,2024-07-31,1489507.29
R069,2023-08-01,2023-10-31,1664491.04
R069,2023-11-01,2024-01-31,1214835.62
R069,2024-02-01,2024-04-30,2564390.28
R069,2024-05-01,2024-07-31,2865778.93
R070,2023-08-01,2023-10-31,2458139.58
R070,2023-11-01,2024-01-31,1492200.65
R070,2024-02-01,2024-04-30,2981133.13
R070,2024-05-01,2024-07-31,2670064.43
R071,2023-08-01,2023-10-31,1830050.62
R071,2023-11-01,2024-01-31,2222987.29
R071,2024-02-01,2024-04-30,1163807.26
R071,2024-05-01,2024-07-31,2934124.52
R072,2023-08-01,2023-10-31,2972219.92
R072,2023-11-01,2024-01-31,1763516.44
R072,2024-02-01,2024-04-30,2991497.13
R072,2024-05-01,2024-07-31,1540511.53
R073,2023-08-01,2023-10-31,1864563.54
R073,2023-11-01,2024-01-31,2163185.79
R073,2024-02-01,2024-04-30,1913753.31
R073,2024-05-01,2024-07-31,1300208.97
R074,2023-08-01,2023-10-31,2584360.09
R074,2023-11-01,2024-01-31,2767526.37
R074,2024-02-01,2024-04-30,2635200.25
R074,2024-05-01,2024-07-31,1844549.57
R075,2023-08-01,2023-10-31,1905478.16
R075,2023-11-01,2024-01-31,1859350.91
R075,2024-02-01,2024-04-30,2044515.28
R075,2024-05-01,2024-07-31,1309127.9
R076,2023-08-01,2023-10-31,1170878.04
R076,2023-11-01,2024-01-31,2300857.72
R076,2024-02-01,2024-04-30,2426652.39
R076,2024-05-01,2024-07-31,1563982.0
R077,2023-08-01,2023-10-31,2686187.59
R077,2023-11-01,2024-01-31,1200842.41
R077,2024-02-01,2024-04-30,2046938.79
R077,2024-05-01,2024-07-31,1179725.13
R078,2023-08-01,2023-10-31,1948941.73
R078,2023-11-01,2024-01-31,2660169.58
R078,2024-02-01,2024-04-30,1717039.53
R078,2024-05-01,2024-07-31,1460839.48
R079,2023-08-01,2023-10-31,2786791.73
R079,2023-11-01,2024-01-31,2260984.5
R079,2024-02-01,2024-04-30,2924797.81
R079,2024-05-01,2024-07-31,1672426.84
R080,2023-08-01,2023-10-31,2499647.29
R080,2023-11-01,2024-01-31,2821381.65
R080,2024-02-01,2024-04-30,2342278.65
R080,2024-05-01,2024-07-31,1846313.19
R081,2023-08-01,2023-10-31,1614416.72
R081,2023-11-01,2024-01-31,2998550.79
R081,2024-02-01,2024-04-30,2909964.23
R081,2024-05-01,2024-07-31,1972312.28
R082,2023-08-01,2023-10-31,2234140.73
R082,2023-11-01,2024-01-31,2124758.6
R082,2024-02-01,2024-04-30,1721547.35
R082,2024-05-01,2024-07-31,2429626.83
R083,2023-08-01,2023-10-31,2618558.27
R083,2023-11-01,2024-01-31,1337833.42
R083,2024-02-01,2024-04-30,2051409.35
R083,2024-05-01,2024-07-31,2523293.9
R084,2023-08-01,2023-10-31,1841231.67
R084,2023-11-01,2024-01-31,1322351.73
R084,2024-02-01,2024-04-30,2110953.27
R084,2024-05-01,2024-07-31,2255694.44
R085,2023-08-01,2023-10-31,2997693.28
R085,2023-11-01,2024-01-31,1501318.8
R085,2024-02-01,2024-04-30,1005639.04
R085,2024-05-01,2024-07-31,2841033.37
R086,2023-08-01,2023-10-31,2790878.27
R086,2023-11-01,2024-01-31,2651705.52
R086,2024-02-01,2024-04-30,1148780.14
R086,2024-05-01,2024-07-31,1835778.13
R087,2023-08-01,2023-10-31,2345271.23
R087,2023-11-01,2024-01-31,1704422.88
R087,2024-02-01,2024-04-30,1900661.97
R087,2024-05-01,2024-07-31,2787079.87
R088,2023-08-01,2023-10-31,2651279.19
R088,2023-11-01,2024-01-31,2050934.94
R088,2024-02-01,2024-04-30,2178412.68
R088,2024-05-01,2024-07-31,2170317.0
R089,2023-08-01,2023-10-31,1239698.25
R089,2023-11-01,2024-01-31,2116572.15
R089,2024-02-01,2024-04-30,1107449.72
R089,2024-05-01,2024-07-31,2202961.26
R090,2023-08-01,2023-10-31,1474932.98
R090,2023-11-01,2024-01-31,1235514.01
R090,2024-02-01,2024-04-30,1303642.02
R090,2024-05-01,2024-07-31,2877432.33
R091,2023-08-01,2023-10-31,1693421.98
R091,2023-11-01,2024-01-31,1938595.84
R091,2024-02-01,2024-04-30,2461049.77
R091,2024-05-01,2024-07-31,1411426.82
R092,2023-08-01,2023-10-31,1898321.68
R092,2023-11-01,2024-01-31,1589886.45
R092,2024-02-01,2024-04-30,2935411.66
R092,2024-05-01,2024-07-31,2124532.67
R093,2023-08-01,2023-10-31,2380756.72
R093,2023-11-01,2024-01-31,2820478.2
R093,2024-02-01,2024-04-30,1303513.13
R093,2024-05-01,2024-07-31,1108264.62
R094,2023-08-01,2023-10-31,1201070.67
R094,2023-11-01,2024-01-31,2696924.58
R094,2024-02-01,2024-04-30,1339973.65
R094,2024-05-01,2024-07-31,2391926.87
R095,2023-08-01,2023-10-31,1150901.41
R095,2023-11-01,2024-01-31,2993576.84
R095,2024-02-01,2024-04-30,2620703.33
R095,2024-05-01,2024-07-31,2162483.33
R096,2023-08-01,2023-10-31,2261326.06
R096,2023-11-01,2024-01-31,2954443.72
R096,2024-02-01,2024-04-30,2515256.77
R096,2024-05-01,2024-07-31,1806845.44
R097,2023-08-01,2023-10-31,2006909.43
R097,2023-11-01,2024-01-31,2902908.88
R097,2024-02-01,2024-04-30,2830812.04
R097,2024-05-01,2024-07-31,2364268.62
R098,2023-08-01,2023-10-31,1555504.74
R098,2023-11-01,2024-01-31,1476484.79
R098,2024-02-01,2024-04-30,1862804.13
R098,2024-05-01,2024-07-31,2894272.49
R099,2023-08-01,2023-10-31,1423550.44
R099,2023-11-01,2024-01-31,2978325.24
R099,2024-02-01,2024-04-30,1185115.11
R099,2024-05-01,2024-07-31,1060351.28
R100,2023-08-01,2023-10-31,1756149.77
R100,2023-11-01,2024-01-31,2982597.23
R100,2024-02-01,2024-04-30,1708526.4
R100,2024-05-01,2024-07-31,2506273.0
R101,2023-08-01,2023-10-31,2177713.64
R101,2023-11-01,2024-01-31,1597309.89
R101,2024-02-01,2024-04-30,2469473.98
R101,2024-05-01,2024-07-31,2186651.28
R102,2023-08-01,2023-10-31,1086750.8
R102,2023-11-01,2024-01-31,2481999.38
R102,2024-02-01,2024-04-30,1031336.29
R102,2024-05-01,2024-07-31,2121302.27
R103,2023-08-01,2023-10-31,1181245.04
R103,2023-11-01,2024-01-31,1381229.18
R103,2024-02-01,2024-04-30,1997437.42
R103,2024-05-01,2024-07-31,1145863.86
R104,2023-08-01,2023-10-31,1472877.07
R104,2023-11-01,2024-01-31,1616237.58
R104,2024-02-01,2024-04-30,1444213.87
R104,2024-05-01,2024-07-31,2204116.28
R105,2023-08-01,2023-10-31,1905687.25
R105,2023-11-01,2024-01-31,2625486.96
R105,2024-02-01,2024-04-30,2036972.58
R105,2024-05-01,2024-07-31,2249348.87
R106,2023-08-01,2023-10-31,1112220.47
R106,2023-11-01,2024-01-31,1138353.04
R106,2024-02-01,2024-04-30,1442367.34
R106,2024-05-01,2024-07-31,1117331.67
R107,2023-08-01,2023-10-31,2368666.43
R107,2023-11-01,2024-01-31,1008937.7
R107,2024-02-01,2024-04-30,2346121.56
R107,2024-05-01,2024-07-31,1486465.8
R108,2023-08-01,2023-10-31,2313436.47
R108,2023-11-01,2024-01-31,2612538.87
R108,2024-02-01,2024-04-30,1416039.01
R108,2024-05-01,2024-07-31,2413501.67
R109,2023-08-01,2023-10-31,1430928.17
R109,2023-11-01,2024-01-31,1499955.51
R109,2024-02-01,2024-04-30,2997444.32
R109,2024-05-01,2024-07-31,2878903.28
R110,2023-08-01,2023-10-31,1865459.62
R110,2023-11-01,2024-01-31,1600877.84
R110,2024-02-01,2024-04-30,2851556.39
R110,2024-05-01,2024-07-31,1793957.41
R111,2023-08-01,2023-10-31,2260109.13
R111,2023-11-01,2024-01-31,2143390.55
R111,2024-02-01,2024-04-30,1295961.19
R111,2024-05-01,2024-07-31,1339195.55
R112,2023-08-01,2023-10-31,1922170.82
R112,2023-11-01,2024-01-31,1512773.85
R112,2024-02-01,2024-04-30,1972854.45
R112,2024-05-01,2024-07-31,2290300.41
R113,2023-08-01,2023-10-31,2345988.08
R113,2023-11-01,2024-01-31,2669166.46
R113,2024-02-01,2024-04-30,2700592.52
R113,2024-05-01,2024-07-31,2418860.01
R114,2023-08-01,2023-10-31,2019469.24
R114,2023-11-01,2024-01-31,2683696.54
R114,2024-02-01,2024-04-30,2170071.07
R114,2024-05-01,2024-07-31,1841386.98
R115,2023-08-01,2023-10-31,1164448.05
R115,2023-11-01,2024-01-31,1605856.48
R115,2024-02-01,2024-04-30,1839716.62
R115,2024-05-01,2024-07-31,2626141.33
R116,2023-08-01,2023-10-31,1844847.82
R116,2023-11-01,2024-01-31,2652917.05
R116,2024-02-01,2024-04-30,1520459.57
R116,2024-05-01,2024-07-31,1004814.69
R117,2023-08-01,2023-10-31,1508783.63
R117,2023-11-01,2024-01-31,2715019.26
R117,2024-02-01,2024-04-30,2767888.9
R117,2024-05-01,2024-07-31,2975036.33
R118,2023-08-01,2023-10-31,2479511.35
R118,2023-11-01,2024-01-31,2863171.0
R118,2024-02-01,2024-04-30,2749515.44
R118,2024-05-01,2024-07-31,1839844.28
R119,2023-08-01,2023-10-31,2166131.39
R119,2023-11-01,2024-01-31,2044507.16
R119,2024-02-01,2024-04-30,2075080.7
R119,2024-05-01,2024-07-31,1739142.59
R120,2023-08-01,2023-10-31,1740113.2
R120,2023-11-01,2024-01-31,2021730.78
R120,2024-02-01,2024-04-30,2292371.38
R120,2024-05-01,2024-07-31,1835780.26
R121,2023-08-01,2023-10-31,1416589.04
R121,2023-11-01,2024-01-31,1032705.35
R121,2024-02-01,2024-04-30,1424550.0
R121,2024-05-01,2024-07-31,2036872.95
R122,2023-08-01,2023-10-31,1647151.09
R122,2023-11-01,2024-01-31,2421931.91
R122,2024-02-01,2024-04-30,2825808.81
R122,2024-05-01,2024-07-31,2873871.5
R123,2023-08-01,2023-10-31,1887268.62
R123,2023-11-01,2024-01-31,2421827.99
R123,2024-02-01,2024-04-30,1620321.02
R123,2024-05-01,2024-07-31,2412158.87
R124,2023-08-01,2023-10-31,1316060.24
R124,2023-11-01,2024-01-31,1638520.99
R124,2024-02-01,2024-04-30,2629922.01
R124,2024-05-01,2024-07-31,1590866.48
R125,2023-08-01,2023-10-31,2112179.39
R125,2023-11-01,2024-01-31,1883921.53
R125,2024-02-01,2024-04-30,2039153.37
R125,2024-05-01,2024-07-31,2835154.71
R126,2023-08-01,2023-10-31,2607760.18
R126,2023-11-01,2024-01-31,1917008.21
R126,2024-02-01,2024-04-30,1271572.97
R126,2024-05-01,2024-07-31,1495996.18
R127,2023-08-01,2023-10-31,2187696.11
R127,2023-11-01,2024-01-31,2198668.09
R127,2024-02-01,2024-04-30,1213825.47
R127,2024-05-01,2024-07-31,2904301.19
R128,2023-08-01,2023-10-31,2347268.63
R128,2023-11-01,2024-01-31,2302752.01
R128,2024-02-01,2024-04-30,1119972.65
R128,2024-05-01,2024-07-31,1151856.63
R129,2023-08-01,2023-10-31,1391874.98
R129,2023-11-01,2024-01-31,2340177.2
R129,2024-02-01,2024-04-30,1611231.34
R129,2024-05-01,2024-07-31,1804981.98
R130,2023-08-01,2023-10-31,1919525.46
R130,2023-11-01,2024-01-31,1855376.57
R130,2024-02-01,2024-04-30,2912829.07
R130,2024-05-01,2024-07-31,1643445.95
R131,2023-08-01,2023-10-31,2039418.07
R131,2023-11-01,2024-01-31,1980583.03
R131,2024-02-01,2024-04-30,2415639.64
R131,2024-05-01,2024-07-31,1039369.14
R132,2023-08-01,2023-10-31,1600138.6
R132,2023-11-01,2024-01-31,1108871.58
R132,2024-02-01,2024-04-30,1580780.42
R132,2024-05-01,2024-07-31,2919982.79
R133,2023-08-01,2023-10-31,1267055.38
R133,2023-11-01,2024-01-31,2318462.43
R133,2024-02-01,2024-04-30,1195164.22
R133,2024-05-01,2024-07-31,1962668.39
R134,2023-08-01,2023-10-31,2730608.73
R134,2023-11-01,2024-01-31,1271018.43
R134,2024-02-01,2024-04-30,2390699.58
R134,2024-05-01,2024-07-31,1020195.08
R135,2023-08-01,2023-10-31,1982924.61
R135,2023-11-01,2024-01-31,1968526.52
R135,2024-02-01,2024-04-30,1810388.85
R135,2024-05-01,2024-07-31,2110898.36
R136,2023-08-01,2023-10-31,1636954.92
R136,2023-11-01,2024-01-31,2266305.06
R136,2024-02-01,2024-04-30,1872861.68
R136,2024-05-01,2024-07-31,1395895.86
R137,2023-08-01,2023-10-31,2818887.82
R137,2023-11-01,2024-01-31,1555884.96
R137,2024-02-01,2024-04-30,2247348.25
R137,2024-05-01,2024-07-31,2115004.83
R138,2023-08-01,2023-10-31,2063376.19
R138,2023-11-01,2024-01-31,1086421.5
R138,2024-02-01,2024-04-30,2272241.18
R138,2024-05-01,2024-07-31,2471577.34
R139,2023-08-01,2023-10-31,1811018.03
R139,2023-11-01,2024-01-31,1171389.67
R139,2024-02-01,2024-04-30,1582697.14
R139,2024-05-01,2024-07-31,2421505.02
R140,2023-08-01,2023-10-31,1954177.89
R140,2023-11-01,2024-01-31,2141434.53
R140,2024-02-01,2024-04-30,1008296.03
R140,2024-05-01,2024-07-31,2302440.55
R141,2023-08-01,2023-10-31,2747993.91
R141,2023-11-01,2024-01-31,2475700.4
R141,2024-02-01,2024-04-30,1811934.14
R141,2024-05-01,2024-07-31,1717290.09
R142,2023-08-01,2023-10-31,2980075.04
R142,2023-11-01,2024-01-31,1386125.83
R142,2024-02-01,2024-04-30,2398470.62
R142,2024-05-01,2024-07-31,2055857.94
R143,2023-08-01,2023-10-31,2345893.65
R143,2023-11-01,2024-01-31,2698075.04
R143,2024-02-01,2024-04-30,2135613.08
R143,2024-05-01,2024-07-31,1460528.58
R144,2023-08-01,2023-10-31,1857379.79
R144,2023-11-01,2024-01-31,1350410.69
R144,2024-02-01,2024-04-30,1336296.84
R144,2024-05-01,2024-07-31,2503681.11
R145,2023-08-01,2023-10-31,1776552.08
R145,2023-11-01,2024-01-31,1316474.96
R145,2024-02-01,2024-04-30,2842923.89
R145,2024-05-01,2024-07-31,1861322.4
R146,2023-08-01,2023-10-31,2234218.9
R146,2023-11-01,2024-01-31,2956280.89
R146,2024-02-01,2024-04-30,1019883.95
R146,2024-05-01,2024-07-31,1369909.83
R147,2023-08-01,2023-10-31,1450989.18
R147,2023-11-01,2024-01-31,2780818.21
R147,2024-02-01,2024-04-30,1613514.2
R147,2024-05-01,2024-07-31,2453393.88
R148,2023-08-01,2023-10-31,1597472.24
R148,2023-11-01,2024-01-31,2247318.73
R148,2024-02-01,2024-04-30,1674624.63
R148,2024-05-01,2024-07-31,2038550.85
R149,2023-08-01,2023-10-31,2533383.37
R149,2023-11-01,2024-01-31,2187652.2
R149,2024-02-01,2024-04-30,1120443.18
R149,2024-05-01,2024-07-31,1263729.45
R150,2023-08-01,2023-10-31,2573873.69
R150,2023-11-01,2024-01-31,1437486.18
R150,2024-02-01,2024-04-30,2463599.95
R150,2024-05-01,2024-07-31,2853975.46
R151,2023-08-01,2023-10-31,1090189.64
R151,2023-11-01,2024-01-31,2957181.1
R151,2024-02-01,2024-04-30,2724293.74
R151,2024-05-01,2024-07-31,1092126.59
R152,2023-08-01,2023-10-31,2236702.11
R152,2023-11-01,2024-01-31,2809747.92
R152,2024-02-01,2024-04-30,2898102.68
