entry_id,project_id,work_package_id,control_account_id,reporting_period,percent_complete,report_type,completion_status,physical_progress_description,submitted_by,submitted_date,approved_by,approved_date,forecast_completion_date,schedule_risk,cost_risk,notes
PE-000023,P001,WP-008,CA-P001-02,2024-02,0.0,confirmed,not_started,Progress update for 2024-02,ENG-P001-0008,2024-02-28,CAM-P001-01,2024-03-01,2024-07-30,Medium,High,
PE-000024,P001,WP-008,CA-P001-02,2024-03,0.0,confirmed,not_started,Progress update for 2024-03,ENG-P001-0008,2024-03-28,CAM-P001-01,2024-03-30,2024-07-30,Low,None,
PE-000025,P001,WP-009,CA-P001-02,2024-01,16.2,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0009,2024-01-28,CAM-P001-01,2024-01-30,2024-07-28,None,None,
PE-000026,P001,WP-009,CA-P001-02,2024-02,31.6,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0009,2024-02-28,CAM-P001-01,2024-03-01,2024-07-28,None,None,
PE-000027,P001,WP-009,CA-P001-02,2024-03,43.4,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0009,2024-03-28,CAM-P001-01,2024-03-30,2024-07-28,None,None,
PE-000028,P001,WP-010,CA-P001-02,2024-01,13.4,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0010,2024-01-28,CAM-P001-01,2024-01-30,2024-08-19,High,None,
PE-000029,P001,WP-010,CA-P001-02,2024-02,30.1,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0010,2024-02-28,CAM-P001-01,2024-03-01,2024-08-19,None,None,
PE-000030,P001,WP-010,CA-P001-02,2024-03,39.5,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0010,2024-03-28,CAM-P001-01,2024-03-30,2024-08-19,None,None,
PE-000031,P001,WP-011,CA-P001-03,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P001-0011,2024-01-28,CAM-P001-01,2024-01-30,2024-07-12,None,None,
PE-000032,P001,WP-011,CA-P001-03,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P001-0011,2024-02-28,CAM-P001-01,2024-03-01,2024-07-12,Low,None,
PE-000033,P001,WP-011,CA-P001-03,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P001-0011,2024-03-28,CAM-P001-01,2024-03-30,2024-07-12,None,None,
PE-000034,P001,WP-012,CA-P001-03,2024-01,13.2,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0012,2024-01-28,CAM-P001-01,2024-01-30,2024-04-16,None,Low,
PE-000035,P001,WP-012,CA-P001-03,2024-02,24.4,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0012,2024-02-28,CAM-P001-01,2024-03-01,2024-04-16,None,High,
PE-000036,P001,WP-012,CA-P001-03,2024-03,31.9,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0012,2024-03-28,CAM-P001-01,2024-03-30,2024-04-16,None,None,
PE-000037,P001,WP-013,CA-P001-03,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P001-0013,2024-01-28,CAM-P001-01,2024-01-30,2024-02-11,High,Low,
PE-000038,P001,WP-013,CA-P001-03,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P001-0013,2024-02-28,CAM-P001-01,2024-03-01,2024-02-11,Low,High,
PE-000039,P001,WP-013,CA-P001-03,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P001-0013,2024-03-28,CAM-P001-01,2024-03-30,2024-02-11,None,High,
PE-000040,P001,WP-014,CA-P001-03,2024-01,8.1,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0014,2024-01-28,CAM-P001-01,2024-01-30,2024-08-05,Low,None,
PE-000041,P001,WP-014,CA-P001-03,2024-02,21.4,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0014,2024-02-28,CAM-P001-01,2024-03-01,2024-08-05,High,None,
PE-000042,P001,WP-014,CA-P001-03,2024-03,41.4,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0014,2024-03-28,CAM-P001-01,2024-03-30,2024-08-05,None,Low,
PE-000043,P001,WP-015,CA-P001-03,2024-01,19.5,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0015,2024-01-28,CAM-P001-01,2024-01-30,2024-02-06,None,Medium,
PE-000044,P001,WP-015,CA-P001-03,2024-02,35.5,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0015,2024-02-28,CAM-P001-01,2024-03-01,2024-02-06,Low,None,
PE-000045,P001,WP-015,CA-P001-03,2024-03,48.9,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0015,2024-03-28,CAM-P001-01,2024-03-30,2024-02-06,Low,None,
PE-000046,P001,WP-016,CA-P001-04,2024-01,7.3,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0016,2024-01-28,CAM-P001-01,2024-01-30,2024-08-12,None,Medium,
PE-000047,P001,WP-016,CA-P001-04,2024-02,15.8,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0016,2024-02-28,CAM-P001-01,2024-03-01,2024-08-12,Low,High,
PE-000048,P001,WP-016,CA-P001-04,2024-03,15.3,preliminary,in_progress,Preliminary progress update for 2024-03,ENG-P001-0016,2024-03-23,,,2024-08-12,Low,None,Preliminary estimate pending field verification
PE-000049,P001,WP-016,CA-P001-04,2024-03,21.9,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0016,2024-03-28,CAM-P001-01,2024-03-30,2024-08-12,Low,Low,
PE-000050,P001,WP-017,CA-P001-04,2024-01,13.8,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0017,2024-01-28,CAM-P001-01,2024-01-30,2024-07-03,None,Low,
PE-000051,P001,WP-017,CA-P001-04,2024-02,30.1,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0017,2024-02-28,CAM-P001-01,2024-03-01,2024-07-03,None,Low,
PE-000052,P001,WP-017,CA-P001-04,2024-03,48.5,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0017,2024-03-28,CAM-P001-01,2024-03-30,2024-07-03,Low,None,
PE-000053,P001,WP-018,CA-P001-04,2024-01,9.8,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0018,2024-01-28,CAM-P001-01,2024-01-30,2024-02-15,None,None,
PE-000054,P001,WP-018,CA-P001-04,2024-02,18.0,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0018,2024-02-28,CAM-P001-01,2024-03-01,2024-02-15,High,None,
PE-000055,P001,WP-018,CA-P001-04,2024-03,35.4,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0018,2024-03-28,CAM-P001-01,2024-03-30,2024-02-15,None,None,
PE-000056,P001,WP-019,CA-P001-04,2024-01,11.3,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0019,2024-01-28,CAM-P001-01,2024-01-30,2024-05-29,None,Medium,
PE-000057,P001,WP-019,CA-P001-04,2024-02,32.7,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0019,2024-02-28,CAM-P001-01,2024-03-01,2024-05-29,Medium,None,
PE-000058,P001,WP-019,CA-P001-04,2024-03,49.6,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0019,2024-03-28,CAM-P001-01,2024-03-30,2024-05-29,None,Medium,
PE-000059,P001,WP-020,CA-P001-04,2024-01,12.8,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0020,2024-01-28,CAM-P001-01,2024-01-30,2024-05-30,None,None,
PE-000060,P001,WP-020,CA-P001-04,2024-02,20.9,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0020,2024-02-28,CAM-P001-01,2024-03-01,2024-05-30,None,Medium,
PE-000061,P001,WP-020,CA-P001-04,2024-03,38.1,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0020,2024-03-28,CAM-P001-01,2024-03-30,2024-05-30,High,None,
PE-000062,P001,WP-021,CA-P001-05,2024-01,13.9,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0021,2024-01-28,CAM-P001-01,2024-01-30,2024-06-27,None,Low,
PE-000063,P001,WP-021,CA-P001-05,2024-02,26.4,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0021,2024-02-28,CAM-P001-01,2024-03-01,2024-06-27,None,Low,
PE-000064,P001,WP-021,CA-P001-05,2024-03,34.9,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0021,2024-03-28,CAM-P001-01,2024-03-30,2024-06-27,None,Low,
PE-000065,P001,WP-022,CA-P001-05,2024-01,6.9,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0022,2024-01-28,CAM-P001-01,2024-01-30,2024-01-05,High,Low,
PE-000066,P001,WP-022,CA-P001-05,2024-02,26.4,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0022,2024-02-28,CAM-P001-01,2024-03-01,2024-01-05,Low,Low,
PE-000067,P001,WP-022,CA-P001-05,2024-03,42.4,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0022,2024-03-28,CAM-P001-01,2024-03-30,2024-01-05,Medium,Low,
PE-000068,P001,WP-023,CA-P001-05,2024-01,9.2,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0023,2024-01-28,CAM-P001-01,2024-01-30,2024-08-16,None,Low,
PE-000069,P001,WP-023,CA-P001-05,2024-02,18.1,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0023,2024-02-28,CAM-P001-01,2024-03-01,2024-08-16,None,None,
PE-000070,P001,WP-023,CA-P001-05,2024-03,31.8,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0023,2024-03-28,CAM-P001-01,2024-03-30,2024-08-16,None,Low,
PE-000071,P001,WP-024,CA-P001-05,2024-01,16.9,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0024,2024-01-28,CAM-P001-01,2024-01-30,2024-01-19,Medium,None,
PE-000072,P001,WP-024,CA-P001-05,2024-02,32.5,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0024,2024-02-28,CAM-P001-01,2024-03-01,2024-01-19,Low,None,
PE-000073,P001,WP-024,CA-P001-05,2024-03,47.7,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0024,2024-03-28,CAM-P001-01,2024-03-30,2024-01-19,None,High,
PE-000074,P001,WP-025,CA-P001-05,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P001-0025,2024-01-28,CAM-P001-01,2024-01-30,2024-06-20,None,Medium,
PE-000075,P001,WP-025,CA-P001-05,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P001-0025,2024-02-28,CAM-P001-01,2024-03-01,2024-06-20,Low,None,
PE-000076,P001,WP-025,CA-P001-05,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P001-0025,2024-03-28,CAM-P001-01,2024-03-30,2024-06-20,Low,None,
PE-000077,P001,WP-026,CA-P001-06,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P001-0026,2024-01-28,CAM-P001-01,2024-01-30,2024-04-02,Medium,Low,
PE-000078,P001,WP-026,CA-P001-06,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P001-0026,2024-02-28,CAM-P001-01,2024-03-01,2024-04-02,None,None,
PE-000079,P001,WP-026,CA-P001-06,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P001-0026,2024-03-28,CAM-P001-01,2024-03-30,2024-04-02,Medium,None,
PE-000080,P001,WP-027,CA-P001-06,2024-01,18.3,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0027,2024-01-28,CAM-P001-01,2024-01-30,2024-08-18,Medium,Low,
PE-000081,P001,WP-027,CA-P001-06,2024-02,30.2,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0027,2024-02-28,CAM-P001-01,2024-03-01,2024-08-18,Low,High,
PE-000082,P001,WP-027,CA-P001-06,2024-03,37.5,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0027,2024-03-28,CAM-P001-01,2024-03-30,2024-08-18,None,None,
PE-000083,P001,WP-028,CA-P001-06,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P001-0028,2024-01-28,CAM-P001-01,2024-01-30,2024-04-20,None,Low,
PE-000084,P001,WP-028,CA-P001-06,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P001-0028,2024-02-28,CAM-P001-01,2024-03-01,2024-04-20,None,Low,
PE-000085,P001,WP-028,CA-P001-06,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P001-0028,2024-03-28,CAM-P001-01,2024-03-30,2024-04-20,None,None,
PE-000086,P001,WP-029,CA-P001-06,2024-01,9.0,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0029,2024-01-28,CAM-P001-01,2024-01-30,2024-01-22,Medium,Low,
PE-000087,P001,WP-029,CA-P001-06,2024-02,22.3,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0029,2024-02-28,CAM-P001-01,2024-03-01,2024-01-22,Medium,None,
PE-000088,P001,WP-029,CA-P001-06,2024-03,31.9,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0029,2024-03-28,CAM-P001-01,2024-03-30,2024-01-22,None,High,
PE-000089,P001,WP-030,CA-P001-06,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P001-0030,2024-01-28,CAM-P001-01,2024-01-30,2024-04-03,Low,Low,
PE-000090,P001,WP-030,CA-P001-06,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P001-0030,2024-02-28,CAM-P001-01,2024-03-01,2024-04-03,None,None,
PE-000091,P001,WP-030,CA-P001-06,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P001-0030,2024-03-28,CAM-P001-01,2024-03-30,2024-04-03,Low,None,
PE-000092,P001,WP-031,CA-P001-07,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P001-0031,2024-01-28,CAM-P001-01,2024-01-30,2024-01-07,Medium,Medium,
PE-000093,P001,WP-031,CA-P001-07,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P001-0031,2024-02-28,CAM-P001-01,2024-03-01,2024-01-07,None,Low,
PE-000094,P001,WP-031,CA-P001-07,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P001-0031,2024-03-28,CAM-P001-01,2024-03-30,2024-01-07,High,None,
PE-000095,P001,WP-032,CA-P001-07,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P001-0032,2024-01-28,CAM-P001-01,2024-01-30,2024-01-25,Low,Medium,
PE-000096,P001,WP-032,CA-P001-07,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P001-0032,2024-02-28,CAM-P001-01,2024-03-01,2024-01-25,None,Medium,
PE-000097,P001,WP-032,CA-P001-07,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P001-0032,2024-03-28,CAM-P001-01,2024-03-30,2024-01-25,None,Low,
PE-000098,P001,WP-033,CA-P001-07,2024-01,16.7,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0033,2024-01-28,CAM-P001-01,2024-01-30,2024-08-09,Low,None,
PE-000099,P001,WP-033,CA-P001-07,2024-02,33.4,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0033,2024-02-28,CAM-P001-01,2024-03-01,2024-08-09,None,None,
PE-000100,P001,WP-033,CA-P001-07,2024-03,43.2,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0033,2024-03-28,CAM-P001-01,2024-03-30,2024-08-09,Low,None,
PE-000101,P001,WP-034,CA-P001-07,2024-01,0.0,confirmed,not_started,Progress update for 2024-01,ENG-P001-0034,2024-01-28,CAM-P001-01,2024-01-30,2024-01-16,None,Medium,
PE-000102,P001,WP-034,CA-P001-07,2024-02,0.0,confirmed,not_started,Progress update for 2024-02,ENG-P001-0034,2024-02-28,CAM-P001-01,2024-03-01,2024-01-16,None,None,
PE-000103,P001,WP-034,CA-P001-07,2024-03,0.0,confirmed,not_started,Progress update for 2024-03,ENG-P001-0034,2024-03-28,CAM-P001-01,2024-03-30,2024-01-16,None,None,
PE-000104,P001,WP-035,CA-P001-07,2024-01,16.0,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0035,2024-01-28,CAM-P001-01,2024-01-30,2024-01-13,None,None,
PE-000105,P001,WP-035,CA-P001-07,2024-02,37.5,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0035,2024-02-28,CAM-P001-01,2024-03-01,2024-01-13,Medium,Low,
PE-000106,P001,WP-035,CA-P001-07,2024-03,55.6,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0035,2024-03-28,CAM-P001-01,2024-03-30,2024-01-13,Medium,None,
PE-000107,P001,WP-036,CA-P001-08,2024-01,14.2,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0036,2024-01-28,CAM-P001-01,2024-01-30,2024-06-17,Low,None,
PE-000108,P001,WP-036,CA-P001-08,2024-02,25.3,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0036,2024-02-28,CAM-P001-01,2024-03-01,2024-06-17,None,Low,
PE-000109,P001,WP-036,CA-P001-08,2024-03,42.2,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0036,2024-03-28,CAM-P001-01,2024-03-30,2024-06-17,Medium,None,
PE-000110,P001,WP-037,CA-P001-08,2024-01,8.1,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0037,2024-01-28,CAM-P001-01,2024-01-30,2024-04-18,None,Low,
PE-000111,P001,WP-037,CA-P001-08,2024-02,28.9,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0037,2024-02-28,CAM-P001-01,2024-03-01,2024-04-18,Medium,Medium,
PE-000112,P001,WP-037,CA-P001-08,2024-03,46.8,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0037,2024-03-28,CAM-P001-01,2024-03-30,2024-04-18,High,None,
PE-000113,P001,WP-038,CA-P001-08,2024-01,5.7,confirmed,in_progress,Progress update for 2024-01,ENG-P001-0038,2024-01-28,CAM-P001-01,2024-01-30,2024-01-06,None,None,
PE-000114,P001,WP-038,CA-P001-08,2024-02,17.3,confirmed,in_progress,Progress update for 2024-02,ENG-P001-0038,2024-02-28,CAM-P001-01,2024-03-01,2024-01-06,None,High,
PE-000115,P001,WP-038,CA-P001-08,2024-03,26.1,confirmed,in_progress,Progress update for 2024-03,ENG-P001-0038,2024-03-28,CAM-P001-01,2024-03-30,2024-01-06,High,Medium,
PE-000116,P001,WP-039,CA-P001-08,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P001-0039,2024-01-28,CAM-P001-01,2024-01-30,2024-05-30,Low,Low,
PE-000117,P001,WP-039,CA-P001-08,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P001-0039,2024-02-28,CAM-P001-01,2024-03-01,2024-05-30,None,Low,
PE-000118,P001,WP-039,CA-P001-08,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P001-0039,2024-03-28,CAM-P001-01,2024-03-30,2024-05-30,None,High,
PE-000119,P001,WP-040,CA-P001-08,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P001-0040,2024-01-28,CAM-P001-01,2024-01-30,2023-12-29,None,None,
PE-000120,P001,WP-040,CA-P001-08,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P001-0040,2024-02-28,CAM-P001-01,2024-03-01,2023-12-29,Low,Low,
PE-000121,P001,WP-040,CA-P001-08,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P001-0040,2024-03-28,CAM-P001-01,2024-03-30,2023-12-29,None,Low,
PE-000122,P002,WP-001,CA-P002-01,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P002-0041,2024-01-28,CAM-P002-01,2024-01-30,2024-08-05,None,Low,
PE-000123,P002,WP-001,CA-P002-01,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P002-0041,2024-02-28,CAM-P002-01,2024-03-01,2024-08-05,None,None,
PE-000124,P002,WP-001,CA-P002-01,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P002-0041,2024-03-28,CAM-P002-01,2024-03-30,2024-08-05,None,None,
PE-000125,P002,WP-002,CA-P002-01,2024-01,10.0,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0042,2024-01-28,CAM-P002-01,2024-01-30,2024-06-16,None,None,
PE-000126,P002,WP-002,CA-P002-01,2024-02,20.7,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0042,2024-02-28,CAM-P002-01,2024-03-01,2024-06-16,Low,None,
PE-000127,P002,WP-002,CA-P002-01,2024-03,21.9,preliminary,in_progress,Preliminary progress update for 2024-03,ENG-P002-0042,2024-03-23,,,2024-06-16,None,Medium,Preliminary estimate pending field verification
PE-000128,P002,WP-002,CA-P002-01,2024-03,36.3,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0042,2024-03-28,CAM-P002-01,2024-03-30,2024-06-16,None,None,
PE-000129,P002,WP-003,CA-P002-01,2024-01,15.8,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0043,2024-01-28,CAM-P002-01,2024-01-30,2024-07-01,Medium,Medium,
PE-000130,P002,WP-003,CA-P002-01,2024-02,24.6,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0043,2024-02-28,CAM-P002-01,2024-03-01,2024-07-01,Medium,None,
PE-000131,P002,WP-003,CA-P002-01,2024-03,34.9,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0043,2024-03-28,CAM-P002-01,2024-03-30,2024-07-01,None,High,
PE-000132,P002,WP-004,CA-P002-01,2024-01,6.0,confirmed,in_progress,Progress update for 2024-01,ENG-P002-0044,2024-01-28,CAM-P002-01,2024-01-30,2024-07-19,Medium,Low,
PE-000133,P002,WP-004,CA-P002-01,2024-02,24.2,confirmed,in_progress,Progress update for 2024-02,ENG-P002-0044,2024-02-28,CAM-P002-01,2024-03-01,2024-07-19,Low,Medium,
PE-000134,P002,WP-004,CA-P002-01,2024-03,27.8,preliminary,in_progress,Preliminary progress update for 2024-03,ENG-P002-0044,2024-03-23,,,2024-07-19,Low,None,Preliminary estimate pending field verification
PE-000135,P002,WP-004,CA-P002-01,2024-03,32.8,confirmed,in_progress,Progress update for 2024-03,ENG-P002-0044,2024-03-28,CAM-P002-01,2024-03-30,2024-07-19,None,None,
PE-000136,P002,WP-005,CA-P002-01,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P002-0045,2024-01-28,CAM-P002-01,2024-01-30,2024-04-26,None,None,
PE-000137,P002,WP-005,CA-P002-01,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P002-0045,2024-02-28,CAM-P002-01,2024-03-01,2024-04-26,None,Medium,
PE-000138,P002,WP-005,CA-P002-01,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P002-0045,2024-03-28,CAM-P002-01,2024-03-30,2024-04-26,None,High,
PE-000139,P002,WP-006,CA-P002-02,2024-01,100.0,confirmed,complete,Progress update for 2024-01,ENG-P002-0046,2024-01-28,CAM-P002-01,2024-01-30,2024-04-21,High,None,
PE-000140,P002,WP-006,CA-P002-02,2024-02,100.0,confirmed,complete,Progress update for 2024-02,ENG-P002-0046,2024-02-28,CAM-P002-01,2024-03-01,2024-04-21,Low,Low,
PE-000141,P002,WP-006,CA-P002-02,2024-03,100.0,confirmed,complete,Progress update for 2024-03,ENG-P002-0046,2024-03-28,CAM-P002-01,2024-03-30,2024-04-21,Low,None,
