pv_entry_id,project_id,work_package_id,control_account_id,reporting_period,cumulative_pv_usd,bac_usd,schedule_revision,schedule_effective_from,pv_calculation_method
PV-000030,P001,WP-008,CA-P001-02,2024-03,406751.87,705036.57,original,2023-10-01,Linear interpolation
PV-000031,P001,WP-009,CA-P001-02,2024-01,894136.61,2349140.73,original,2023-10-01,Linear interpolation
PV-000032,P001,WP-009,CA-P001-02,2024-02,1129863.53,2349140.73,original,2023-10-01,Linear interpolation
PV-000033,P001,WP-009,CA-P001-02,2024-03,1381847.49,2349140.73,original,2023-10-01,Linear interpolation
PV-000034,P001,WP-010,CA-P001-02,2024-01,201868.42,856312.81,original,2023-10-01,Linear interpolation
PV-000035,P001,WP-010,CA-P001-02,2024-02,296290.74,856312.81,original,2023-10-01,Linear interpolation
PV-000036,P001,WP-010,CA-P001-02,2024-03,397224.95,856312.81,original,2023-10-01,Linear interpolation
PV-000037,P001,WP-011,CA-P001-03,2024-01,157360.46,367604.36,original,2023-10-01,Linear interpolation
PV-000038,P001,WP-011,CA-P001-03,2024-02,194765.82,367604.36,original,2023-10-01,Linear interpolation
PV-000039,P001,WP-011,CA-P001-03,2024-03,234750.85,367604.36,original,2023-10-01,Linear interpolation
PV-000040,P001,WP-012,CA-P001-03,2024-01,107704.53,186411.69,original,2023-10-01,Linear interpolation
PV-000041,P001,WP-012,CA-P001-03,2024-02,137737.53,186411.69,original,2023-10-01,Linear interpolation
PV-000042,P001,WP-012,CA-P001-03,2024-03,169841.76,186411.69,original,2023-10-01,Linear interpolation
PV-000043,P001,WP-013,CA-P001-03,2024-01,771965.54,859508.02,original,2023-10-01,Linear interpolation
PV-000044,P001,WP-013,CA-P001-03,2024-02,859508.02,859508.02,original,2023-10-01,Linear interpolation
PV-000045,P001,WP-013,CA-P001-03,2024-03,859508.02,859508.02,original,2023-10-01,Linear interpolation
PV-000046,P001,WP-014,CA-P001-03,2024-01,470126.18,1323656.23,original,2023-10-01,Linear interpolation
PV-000047,P001,WP-014,CA-P001-03,2024-02,602491.8,1323656.23,original,2023-10-01,Linear interpolation
PV-000048,P001,WP-014,CA-P001-03,2024-03,743986.09,1323656.23,original,2023-10-01,Linear interpolation
PV-000049,P001,WP-015,CA-P001-03,2024-01,327929.86,348214.18,original,2023-10-01,Linear interpolation
PV-000050,P001,WP-015,CA-P001-03,2024-02,348214.18,348214.18,original,2023-10-01,Linear interpolation
PV-000051,P001,WP-015,CA-P001-03,2024-03,348214.18,348214.18,original,2023-10-01,Linear interpolation
PV-000052,P001,WP-016,CA-P001-04,2024-01,484790.8,1529784.3,original,2023-10-01,Linear interpolation
PV-000053,P001,WP-016,CA-P001-04,2024-02,641001.17,1529784.3,original,2023-10-01,Linear interpolation
PV-000054,P001,WP-016,CA-P001-04,2024-03,807984.67,1529784.3,original,2023-10-01,Linear interpolation
PV-000055,P001,WP-017,CA-P001-04,2024-01,896047.46,2173744.76,original,2023-10-01,Linear interpolation
PV-000056,P001,WP-017,CA-P001-04,2024-02,1136652.79,2173744.76,original,2023-10-01,Linear interpolation
PV-000057,P001,WP-017,CA-P001-04,2024-03,1393851.6,2173744.76,original,2023-10-01,Linear interpolation
PV-000058,P001,WP-018,CA-P001-04,2024-01,262745.2,297622.88,original,2023-10-01,Linear interpolation
PV-000059,P001,WP-018,CA-P001-04,2024-02,297622.88,297622.88,original,2023-10-01,Linear interpolation
PV-000060,P001,WP-018,CA-P001-04,2024-03,297622.88,297622.88,original,2023-10-01,Linear interpolation
PV-000061,P001,WP-019,CA-P001-04,2024-01,192704.4,562572.52,original,2023-10-01,Linear interpolation
PV-000062,P001,WP-019,CA-P001-04,2024-02,282840.33,562572.52,original,2023-10-01,Linear interpolation
PV-000063,P001,WP-019,CA-P001-04,2024-03,379192.53,562572.52,original,2023-10-01,Linear interpolation
PV-000064,P001,WP-020,CA-P001-04,2024-01,306203.75,862937.85,original,2023-10-01,Linear interpolation
PV-000065,P001,WP-020,CA-P001-04,2024-02,440747.83,862937.85,original,2023-10-01,Linear interpolation
PV-000066,P001,WP-020,CA-P001-04,2024-03,584570.8,862937.85,original,2023-10-01,Linear interpolation
PV-000067,P001,WP-021,CA-P001-05,2024-01,78057.71,261431.37,original,2023-10-01,Linear interpolation
PV-000068,P001,WP-021,CA-P001-05,2024-02,113989.03,261431.37,original,2023-10-01,Linear interpolation
PV-000069,P001,WP-021,CA-P001-05,2024-03,152398.38,261431.37,original,2023-10-01,Linear interpolation
PV-000070,P001,WP-022,CA-P001-05,2024-01,147749.13,147749.13,original,2023-10-01,Linear interpolation
PV-000071,P001,WP-022,CA-P001-05,2024-02,147749.13,147749.13,original,2023-10-01,Linear interpolation
PV-000072,P001,WP-022,CA-P001-05,2024-03,147749.13,147749.13,original,2023-10-01,Linear interpolation
PV-000073,P001,WP-023,CA-P001-05,2024-01,674932.55,2304647.74,original,2023-10-01,Linear interpolation
PV-000074,P001,WP-023,CA-P001-05,2024-02,913628.21,2304647.74,original,2023-10-01,Linear interpolation
PV-000075,P001,WP-023,CA-P001-05,2024-03,1168785.64,2304647.74,original,2023-10-01,Linear interpolation
PV-000076,P001,WP-024,CA-P001-05,2024-01,562323.41,562323.41,original,2023-10-01,Linear interpolation
PV-000077,P001,WP-024,CA-P001-05,2024-02,562323.41,562323.41,original,2023-10-01,Linear interpolation
PV-000078,P001,WP-024,CA-P001-05,2024-03,562323.41,562323.41,original,2023-10-01,Linear interpolation
PV-000079,P001,WP-025,CA-P001-05,2024-01,588733.32,1329906.52,original,2023-10-01,Linear interpolation
PV-000080,P001,WP-025,CA-P001-05,2024-02,741173.2,1329906.52,original,2023-10-01,Linear interpolation
PV-000081,P001,WP-025,CA-P001-05,2024-03,904126.17,1329906.52,original,2023-10-01,Linear interpolation
PV-000082,P001,WP-026,CA-P001-06,2024-01,225820.82,350828.78,original,2023-10-01,Linear interpolation
PV-000083,P001,WP-026,CA-P001-06,2024-02,284292.29,350828.78,original,2023-10-01,Linear interpolation
PV-000084,P001,WP-026,CA-P001-06,2024-03,346796.27,350828.78,original,2023-10-01,Linear interpolation
PV-000085,P001,WP-027,CA-P001-06,2024-01,496776.79,1708427.5,original,2023-10-01,Linear interpolation
PV-000086,P001,WP-027,CA-P001-06,2024-02,672466.14,1708427.5,original,2023-10-01,Linear interpolation
PV-000087,P001,WP-027,CA-P001-06,2024-03,860272.0,1708427.5,original,2023-10-01,Linear interpolation
PV-000088,P001,WP-028,CA-P001-06,2024-01,583471.85,996549.27,original,2023-10-01,Linear interpolation
PV-000089,P001,WP-028,CA-P001-06,2024-02,733212.42,996549.27,original,2023-10-01,Linear interpolation
PV-000090,P001,WP-028,CA-P001-06,2024-03,893279.92,996549.27,original,2023-10-01,Linear interpolation
PV-000091,P001,WP-029,CA-P001-06,2024-01,197912.58,197912.58,original,2023-10-01,Linear interpolation
PV-000092,P001,WP-029,CA-P001-06,2024-02,197912.58,197912.58,original,2023-10-01,Linear interpolation
PV-000093,P001,WP-029,CA-P001-06,2024-03,197912.58,197912.58,original,2023-10-01,Linear interpolation
PV-000094,P001,WP-030,CA-P001-06,2024-01,320581.3,516665.0,original,2023-10-01,Linear interpolation
PV-000095,P001,WP-030,CA-P001-06,2024-02,410842.05,516665.0,original,2023-10-01,Linear interpolation
PV-000096,P001,WP-030,CA-P001-06,2024-03,507327.68,516665.0,original,2023-10-01,Linear interpolation
PV-000097,P001,WP-031,CA-P001-07,2024-01,136796.71,136796.71,original,2023-10-01,Linear interpolation
PV-000098,P001,WP-031,CA-P001-07,2024-02,136796.71,136796.71,original,2023-10-01,Linear interpolation
PV-000099,P001,WP-031,CA-P001-07,2024-03,136796.71,136796.71,original,2023-10-01,Linear interpolation
PV-000100,P001,WP-032,CA-P001-07,2024-01,100780.79,100780.79,original,2023-10-01,Linear interpolation
PV-000101,P001,WP-032,CA-P001-07,2024-02,100780.79,100780.79,original,2023-10-01,Linear interpolation
PV-000102,P001,WP-032,CA-P001-07,2024-03,100780.79,100780.79,original,2023-10-01,Linear interpolation
PV-000103,P001,WP-033,CA-P001-07,2024-01,93243.79,363085.65,original,2023-10-01,Linear interpolation
PV-000104,P001,WP-033,CA-P001-07,2024-02,134214.54,363085.65,original,2023-10-01,Linear interpolation
PV-000105,P001,WP-033,CA-P001-07,2024-03,178010.86,363085.65,original,2023-10-01,Linear interpolation
PV-000106,P001,WP-034,CA-P001-07,2024-01,316302.27,316302.27,original,2023-10-01,Linear interpolation
PV-000107,P001,WP-034,CA-P001-07,2024-02,316302.27,316302.27,original,2023-10-01,Linear interpolation
PV-000108,P001,WP-034,CA-P001-07,2024-03,316302.27,316302.27,original,2023-10-01,Linear interpolation
PV-000109,P001,WP-035,CA-P001-07,2024-01,560376.02,560376.02,original,2023-10-01,Linear interpolation
PV-000110,P001,WP-035,CA-P001-07,2024-02,560376.02,560376.02,original,2023-10-01,Linear interpolation
PV-000111,P001,WP-035,CA-P001-07,2024-03,560376.02,560376.02,original,2023-10-01,Linear interpolation
PV-000112,P001,WP-036,CA-P001-08,2024-01,742800.68,1881761.72,original,2023-10-01,Linear interpolation
PV-000113,P001,WP-036,CA-P001-08,2024-02,982147.56,1881761.72,original,2023-10-01,Linear interpolation
PV-000114,P001,WP-036,CA-P001-08,2024-03,1238001.13,1881761.72,original,2023-10-01,Linear interpolation
PV-000115,P001,WP-037,CA-P001-08,2024-01,602805.46,1155968.11,original,2023-10-01,Linear interpolation
PV-000116,P001,WP-037,CA-P001-08,2024-02,808468.49,1155968.11,original,2023-10-01,Linear interpolation
PV-000117,P001,WP-037,CA-P001-08,2024-03,1028315.19,1155968.11,original,2023-10-01,Linear interpolation
PV-000118,P001,WP-038,CA-P001-08,2024-01,712479.93,712479.93,original,2023-10-01,Linear interpolation
PV-000119,P001,WP-038,CA-P001-08,2024-02,712479.93,712479.93,original,2023-10-01,Linear interpolation
PV-000120,P001,WP-038,CA-P001-08,2024-03,712479.93,712479.93,original,2023-10-01,Linear interpolation
PV-000121,P001,WP-039,CA-P001-08,2024-01,542241.65,1265230.51,original,2023-10-01,Linear interpolation
PV-000122,P001,WP-039,CA-P001-08,2024-02,716963.96,1265230.51,original,2023-10-01,Linear interpolation
PV-000123,P001,WP-039,CA-P001-08,2024-03,903736.08,1265230.51,original,2023-10-01,Linear interpolation
PV-000124,P001,WP-040,CA-P001-08,2024-01,258178.28,258178.28,original,2023-10-01,Linear interpolation
PV-000125,P001,WP-040,CA-P001-08,2024-02,258178.28,258178.28,original,2023-10-01,Linear interpolation
PV-000126,P001,WP-040,CA-P001-08,2024-03,258178.28,258178.28,original,2023-10-01,Linear interpolation
PV-000127,P002,WP-001,CA-P002-01,2024-01,346784.05,1167652.62,original,2023-10-01,Linear interpolation
PV-000128,P002,WP-001,CA-P002-01,2024-02,474084.52,1167652.62,original,2023-10-01,Linear interpolation
PV-000129,P002,WP-001,CA-P002-01,2024-03,610164.34,1167652.62,original,2023-10-01,Linear interpolation
PV-000130,P002,WP-001,CA-P002-01,2024-01,437807.85,1474137.81,revised,2024-01-15,Linear interpolation
PV-000131,P002,WP-001,CA-P002-01,2024-02,598522.12,1474137.81,revised,2024-01-15,Linear interpolation
PV-000132,P002,WP-001,CA-P002-01,2024-03,770320.13,1474137.81,revised,2024-01-15,Linear interpolation
PV-000133,P002,WP-002,CA-P002-01,2024-01,218355.37,505996.57,original,2023-10-01,Linear interpolation
PV-000134,P002,WP-002,CA-P002-01,2024-02,279242.92,505996.57,original,2023-10-01,Linear interpolation
PV-000135,P002,WP-002,CA-P002-01,2024-03,344329.62,505996.57,original,2023-10-01,Linear interpolation
PV-000136,P002,WP-002,CA-P002-01,2024-01,309075.07,716222.03,revised,2024-01-15,Linear interpolation
PV-000137,P002,WP-002,CA-P002-01,2024-02,395259.46,716222.03,revised,2024-01-15,Linear interpolation
PV-000138,P002,WP-002,CA-P002-01,2024-03,487387.61,716222.03,revised,2024-01-15,Linear interpolation
PV-000139,P002,WP-003,CA-P002-01,2024-01,669713.2,1595135.07,original,2023-10-01,Linear interpolation
PV-000140,P002,WP-003,CA-P002-01,2024-02,846273.95,1595135.07,original,2023-10-01,Linear interpolation
PV-000141,P002,WP-003,CA-P002-01,2024-03,1035011.3,1595135.07,original,2023-10-01,Linear interpolation
PV-000142,P002,WP-004,CA-P002-01,2024-01,227275.67,585024.41,original,2023-10-01,Linear interpolation
PV-000143,P002,WP-004,CA-P002-01,2024-02,288303.4,585024.41,original,2023-10-01,Linear interpolation
PV-000144,P002,WP-004,CA-P002-01,2024-03,353539.93,585024.41,original,2023-10-01,Linear interpolation
PV-000145,P002,WP-005,CA-P002-01,2024-01,145422.27,261221.48,original,2023-10-01,Linear interpolation
PV-000146,P002,WP-005,CA-P002-01,2024-02,184470.84,261221.48,original,2023-10-01,Linear interpolation
PV-000147,P002,WP-005,CA-P002-01,2024-03,226212.42,261221.48,original,2023-10-01,Linear interpolation
PV-000148,P002,WP-006,CA-P002-02,2024-01,132912.24,240571.15,original,2023-10-01,Linear interpolation
PV-000149,P002,WP-006,CA-P002-02,2024-02,171456.79,240571.15,original,2023-10-01,Linear interpolation
PV-000150,P002,WP-006,CA-P002-02,2024-03,212659.58,240571.15,original,2023-10-01,Linear interpolation
PV-000151,P002,WP-007,CA-P002-02,2024-01,94673.33,94673.33,original,2023-10-01,Linear interpolation
PV-000152,P002,WP-007,CA-P002-02,2024-02,94673.33,94673.33,original,2023-10-01,Linear interpolation
PV-000153,P002,WP-007,CA-P002-02,2024-03,94673.33,94673.33,original,2023-10-01,Linear interpolation
PV-000154,P002,WP-008,CA-P002-02,2024-01,290733.25,839492.25,original,2023-10-01,Linear interpolation
PV-000155,P002,WP-008,CA-P002-02,2024-02,396124.05,839492.25,original,2023-10-01,Linear interpolation
PV-000156,P002,WP-008,CA-P002-02,2024-03,508783.18,839492.25,original,2023-10-01,Linear interpolation
PV-000157,P002,WP-009,CA-P002-02,2024-01,493554.42,1266074.37,original,2023-10-01,Linear interpolation
PV-000158,P002,WP-009,CA-P002-02,2024-02,649131.35,1266074.37,original,2023-10-01,Linear interpolation
PV-000159,P002,WP-009,CA-P002-02,2024-03,815437.73,1266074.37,original,2023-10-01,Linear interpolation
PV-000160,P002,WP-010,CA-P002-02,2024-01,219843.45,590231.87,original,2023-10-01,Linear interpolation
PV-000161,P002,WP-010,CA-P002-02,2024-02,289141.93,590231.87,original,2023-10-01,Linear interpolation
PV-000162,P002,WP-010,CA-P002-02,2024-03,363219.61,590231.87,original,2023-10-01,Linear interpolation
PV-000163,P002,WP-011,CA-P002-03,2024-01,451396.84,847003.05,original,2023-10-01,Linear interpolation
PV-000164,P002,WP-011,CA-P002-03,2024-02,598481.2,847003.05,original,2023-10-01,Linear interpolation
PV-000165,P002,WP-011,CA-P002-03,2024-03,755709.31,847003.05,original,2023-10-01,Linear interpolation
PV-000166,P002,WP-012,CA-P002-03,2024-01,645731.2,1650201.95,original,2023-10-01,Linear interpolation
PV-000167,P002,WP-012,CA-P002-03,2024-02,834884.78,1650201.95,original,2023-10-01,Linear interpolation
PV-000168,P002,WP-012,CA-P002-03,2024-03,1037083.44,1650201.95,original,2023-10-01,Linear interpolation
PV-000169,P002,WP-013,CA-P002-03,2024-01,677081.98,835988.97,original,2023-10-01,Linear interpolation
PV-000170,P002,WP-013,CA-P002-03,2024-02,835988.97,835988.97,original,2023-10-01,Linear interpolation
PV-000171,P002,WP-013,CA-P002-03,2024-03,835988.97,835988.97,original,2023-10-01,Linear interpolation
PV-000172,P002,WP-014,CA-P002-03,2024-01,254481.68,254481.68,original,2023-10-01,Linear interpolation
PV-000173,P002,WP-014,CA-P002-03,2024-02,254481.68,254481.68,original,2023-10-01,Linear interpolation
PV-000174,P002,WP-014,CA-P002-03,2024-03,254481.68,254481.68,original,2023-10-01,Linear interpolation
PV-000175,P002,WP-015,CA-P002-03,2024-01,611072.18,1590354.52,original,2023-10-01,Linear interpolation
PV-000176,P002,WP-015,CA-P002-03,2024-02,838265.68,1590354.52,original,2023-10-01,Linear interpolation
PV-000177,P002,WP-015,CA-P002-03,2024-03,1081127.7,1590354.52,original,2023-10-01,Linear interpolation
PV-000178,P002,WP-016,CA-P002-04,2024-01,490940.39,1103601.54,original,2023-10-01,Linear interpolation
PV-000179,P002,WP-016,CA-P002-04,2024-02,608603.79,1103601.54,original,2023-10-01,Linear interpolation
PV-000180,P002,WP-016,CA-P002-04,2024-03,734381.91,1103601.54,original,2023-10-01,Linear interpolation
PV-000181,P002,WP-017,CA-P002-04,2024-01,306336.04,1357937.38,original,2023-10-01,Linear interpolation
PV-000182,P002,WP-017,CA-P002-04,2024-02,438929.25,1357937.38,original,2023-10-01,Linear interpolation
PV-000183,P002,WP-017,CA-P002-04,2024-03,580666.83,1357937.38,original,2023-10-01,Linear interpolation
PV-000184,P002,WP-018,CA-P002-04,2024-01,423632.0,1207594.66,original,2023-10-01,Linear interpolation
PV-000185,P002,WP-018,CA-P002-04,2024-02,564842.66,1207594.66,original,2023-10-01,Linear interpolation
PV-000186,P002,WP-018,CA-P002-04,2024-03,715792.0,1207594.66,original,2023-10-01,Linear interpolation
PV-000187,P002,WP-019,CA-P002-04,2024-01,869210.01,1268576.77,original,2023-10-01,Linear interpolation
PV-000188,P002,WP-019,CA-P002-04,2024-02,1096300.91,1268576.77,original,2023-10-01,Linear interpolation
PV-000189,P002,WP-019,CA-P002-04,2024-03,1268576.77,1268576.77,original,2023-10-01,Linear interpolation
PV-000190,P002,WP-020,CA-P002-04,2024-01,786870.32,813319.74,original,2023-10-01,Linear interpolation
PV-000191,P002,WP-020,CA-P002-04,2024-02,813319.74,813319.74,original,2023-10-01,Linear interpolation
PV-000192,P002,WP-020,CA-P002-04,2024-03,813319.74,813319.74,original,2023-10-01,Linear interpolation
PV-000193,P002,WP-021,CA-P002-05,2024-01,729795.78,729795.78,original,2023-10-01,Linear interpolation
PV-000194,P002,WP-021,CA-P002-05,2024-02,729795.78,729795.78,original,2023-10-01,Linear interpolation
PV-000195,P002,WP-021,CA-P002-05,2024-03,729795.78,729795.78,original,2023-10-01,Linear interpolation
PV-000196,P002,WP-022,CA-P002-05,2024-01,455515.88,698457.69,original,2023-10-01,Linear interpolation
PV-000197,P002,WP-022,CA-P002-05,2024-02,631648.69,698457.69,original,2023-10-01,Linear interpolation
PV-000198,P002,WP-022,CA-P002-05,2024-03,698457.69,698457.69,original,2023-10-01,Linear interpolation
PV-000199,P002,WP-023,CA-P002-05,2024-01,629174.0,629174.0,original,2023-10-01,Linear interpolation
PV-000200,P002,WP-023,CA-P002-05,2024-02,629174.0,629174.0,original,2023-10-01,Linear interpolation
PV-000201,P002,WP-023,CA-P002-05,2024-03,629174.0,629174.0,original,2023-10-01,Linear interpolation
PV-000202,P002,WP-024,CA-P002-05,2024-01,572251.63,1070322.49,original,2023-10-01,Linear interpolation
PV-000203,P002,WP-024,CA-P002-05,2024-02,725911.79,1070322.49,original,2023-10-01,Linear interpolation
PV-000204,P002,WP-024,CA-P002-05,2024-03,890169.2,1070322.49,original,2023-10-01,Linear interpolation
PV-000205,P002,WP-025,CA-P002-05,2024-01,403480.45,1705621.91,original,2023-10-01,Linear interpolation
PV-000206,P002,WP-025,CA-P002-05,2024-02,580767.32,1705621.91,original,2023-10-01,Linear interpolation
PV-000207,P002,WP-025,CA-P002-05,2024-03,770280.86,1705621.91,original,2023-10-01,Linear interpolation
PV-000208,P002,WP-026,CA-P002-06,2024-01,710495.35,892523.08,original,2023-10-01,Linear interpolation
PV-000209,P002,WP-026,CA-P002-06,2024-02,880779.36,892523.08,original,2023-10-01,Linear interpolation
PV-000210,P002,WP-026,CA-P002-06,2024-03,892523.08,892523.08,original,2023-10-01,Linear interpolation
PV-000211,P002,WP-027,CA-P002-06,2024-01,661033.48,661033.48,original,2023-10-01,Linear interpolation
PV-000212,P002,WP-027,CA-P002-06,2024-02,661033.48,661033.48,original,2023-10-01,Linear interpolation
PV-000213,P002,WP-027,CA-P002-06,2024-03,661033.48,661033.48,original,2023-10-01,Linear interpolation
PV-000214,P002,WP-028,CA-P002-06,2024-01,168932.76,245946.23,original,2023-10-01,Linear interpolation
PV-000215,P002,WP-028,CA-P002-06,2024-02,240977.62,245946.23,original,2023-10-01,Linear interpolation
PV-000216,P002,WP-028,CA-P002-06,2024-03,245946.23,245946.23,original,2023-10-01,Linear interpolation
PV-000217,P002,WP-029,CA-P002-06,2024-01,321636.12,1223123.29,original,2023-10-01,Linear interpolation
PV-000218,P002,WP-029,CA-P002-06,2024-02,453008.63,1223123.29,original,2023-10-01,Linear interpolation
PV-000219,P002,WP-029,CA-P002-06,2024-03,593441.3,1223123.29,original,2023-10-01,Linear interpolation
PV-000220,P002,WP-030,CA-P002-06,2024-01,301316.74,1118043.71,original,2023-10-01,Linear interpolation
PV-000221,P002,WP-030,CA-P002-06,2024-02,416292.87,1118043.71,original,2023-10-01,Linear interpolation
PV-000222,P002,WP-030,CA-P002-06,2024-03,539198.38,1118043.71,original,2023-10-01,Linear interpolation
PV-000223,P002,WP-031,CA-P002-07,2024-01,338649.81,1185274.33,original,2023-10-01,Linear interpolation
PV-000224,P002,WP-031,CA-P002-07,2024-02,492100.5,1185274.33,original,2023-10-01,Linear interpolation
PV-000225,P002,WP-031,CA-P002-07,2024-03,656134.0,1185274.33,original,2023-10-01,Linear interpolation
PV-000226,P002,WP-032,CA-P002-07,2024-01,473488.4,1346304.36,original,2023-10-01,Linear interpolation
PV-000227,P002,WP-032,CA-P002-07,2024-02,638924.1,1346304.36,original,2023-10-01,Linear interpolation
PV-000228,P002,WP-032,CA-P002-07,2024-03,815769.17,1346304.36,original,2023-10-01,Linear interpolation
PV-000229,P002,WP-033,CA-P002-07,2024-01,613973.58,613973.58,original,2023-10-01,Linear interpolation
PV-000230,P002,WP-033,CA-P002-07,2024-02,613973.58,613973.58,original,2023-10-01,Linear interpolation
PV-000231,P002,WP-033,CA-P002-07,2024-03,613973.58,613973.58,original,2023-10-01,Linear interpolation
PV-000232,P002,WP-034,CA-P002-07,2024-01,170724.3,315317.33,original,2023-10-01,Linear interpolation
PV-000233,P002,WP-034,CA-P002-07,2024-02,221244.76,315317.33,original,2023-10-01,Linear interpolation
PV-000234,P002,WP-034,CA-P002-07,2024-03,275249.38,315317.33,original,2023-10-01,Linear interpolation
PV-000235,P002,WP-035,CA-P002-07,2024-01,404010.67,404010.67,original,2023-10-01,Linear interpolation
PV-000236,P002,WP-035,CA-P002-07,2024-02,404010.67,404010.67,original,2023-10-01,Linear interpolation
PV-000237,P002,WP-035,CA-P002-07,2024-03,404010.67,404010.67,original,2023-10-01,Linear interpolation
PV-000238,P002,WP-036,CA-P002-08,2024-01,194570.13,483930.84,original,2023-10-01,Linear interpolation
PV-000239,P002,WP-036,CA-P002-08,2024-02,242796.92,483930.84,original,2023-10-01,Linear interpolation
PV-000240,P002,WP-036,CA-P002-08,2024-03,294349.69,483930.84,original,2023-10-01,Linear interpolation
PV-000241,P002,WP-037,CA-P002-08,2024-01,175947.26,380781.39,original,2023-10-01,Linear interpolation
PV-000242,P002,WP-037,CA-P002-08,2024-02,252103.54,380781.39,original,2023-10-01,Linear interpolation
PV-000243,P002,WP-037,CA-P002-08,2024-03,333511.98,380781.39,original,2023-10-01,Linear interpolation
PV-000244,P002,WP-038,CA-P002-08,2024-01,631537.49,647593.53,original,2023-10-01,Linear interpolation
PV-000245,P002,WP-038,CA-P002-08,2024-02,647593.53,647593.53,original,2023-10-01,Linear interpolation
PV-000246,P002,WP-038,CA-P002-08,2024-03,647593.53,647593.53,original,2023-10-01,Linear interpolation
PV-000247,P002,WP-039,CA-P002-08,2024-01,264708.3,714015.8,original,2023-10-01,Linear interpolation
PV-000248,P002,WP-039,CA-P002-08,2024-02,365715.41,714015.8,original,2023-10-01,Linear interpolation
PV-000249,P002,WP-039,CA-P002-08,2024-03,473688.53,714015.8,original,2023-10-01,Linear interpolation
PV-000250,P002,WP-040,CA-P002-08,2024-01,498043.58,1248261.12,original,2023-10-01,Linear interpolation
PV-000251,P002,WP-040,CA-P002-08,2024-02,680869.7,1248261.12,original,2023-10-01,Linear interpolation
PV-000252,P002,WP-040,CA-P002-08,2024-03,876304.52,1248261.12,original,2023-10-01,Linear interpolation
PV-000253,P003,WP-001,CA-P003-01,2024-01,388538.94,658666.01,original,2023-10-01,Linear interpolation
PV-000254,P003,WP-001,CA-P003-01,2024-02,495849.69,658666.01,original,2023-10-01,Linear interpolation
