change_order_id,project_id,description,submitted_date,approved_date,status,cost_impact_usd,schedule_impact_days,approved_by,contract_value_change,notes
BCR-2024-024,P005,Scope change 24: Design modification,2023-11-11,2023-11-16,approved,213911.56,6,Change Control Board,True,
BCR-2024-025,P005,Scope change 25: Client requested addition,2023-12-15,2023-12-26,approved,57644.62,1,Change Control Board,False,
BCR-2024-026,P002,Scope change 26: Client requested addition,2023-11-21,2023-12-05,pending,189672.78,12,Change Control Board,False,
BCR-2024-027,P004,Scope change 27: Material substitution,2023-12-05,2023-12-25,approved,497865.36,13,Change Control Board,False,
BCR-2024-028,P001,Scope change 28: Regulatory compliance update,2023-11-24,2023-11-29,approved,279795.85,30,Change Control Board,True,
BCR-2024-029,P004,Scope change 29: Material substitution,2024-01-20,2024-01-26,approved,102953.83,10,Change Control Board,True,
BCR-2024-030,P001,Scope change 30: Regulatory compliance update,2024-01-16,2024-01-30,approved,357779.11,28,Change Control Board,True,
BCR-2024-031,P005,Scope change 31: Client requested addition,2023-12-02,2023-12-08,approved,165979.37,16,Change Control Board,True,
BCR-2024-032,P003,Scope change 32: Client requested addition,2023-12-19,2023-12-28,approved,443195.99,-2,Change Control Board,False,
BCR-2024-033,P003,Scope change 33: Design modification,2024-01-22,2024-02-10,approved,86941.31,2,Change Control Board,True,
BCR-2024-034,P004,Scope change 34: Material substitution,2024-01-23,2024-01-28,approved,483331.78,22,Change Control Board,False,
BCR-2024-035,P005,Scope change 35: Additional survey requirements,2023-11-02,2023-11-17,approved,-21975.89,5,Change Control Board,False,
BCR-2024-036,P003,Scope change 36: Geotechnical condition change,2023-11-02,2023-11-11,approved,63377.91,0,Change Control Board,True,
BCR-2024-037,P004,Scope change 37: Material substitution,2023-11-24,2023-12-10,approved,226013.3,8,Change Control Board,False,
BCR-2024-038,P005,Scope change 38: Regulatory compliance update,2024-01-17,2024-01-23,approved,272765.75,4,Change Control Board,False,
BCR-2024-039,P001,Scope change 39: Regulatory compliance update,2023-11-11,2023-11-22,pending,397586.63,0,Change Control Board,False,
BCR-2024-040,P005,Scope change 40: Design modification,2023-12-20,2024-01-07,approved,77804.06,24,Change Control Board,True,
BCR-2024-041,P005,Scope change 41: Client requested addition,2023-12-08,2023-12-26,approved,-32878.73,-3,Change Control Board,True,
BCR-2024-042,P004,Scope change 42: Design modification,2023-11-02,2023-11-11,pending,157451.7,-2,Change Control Board,True,
BCR-2024-043,P005,Scope change 43: Client requested addition,2024-01-05,2024-01-24,approved,121840.85,30,Change Control Board,True,
BCR-2024-044,P002,Scope change 44: Client requested addition,2023-11-22,2023-12-12,approved,-30070.89,2,Change Control Board,False,
BCR-2024-045,P003,Scope change 45: Material substitution,2024-01-18,2024-01-25,approved,349318.17,13,Change Control Board,False,
BCR-2024-046,P003,Scope change 46: Additional survey requirements,2024-01-14,2024-01-30,approved,340629.03,20,Change Control Board,False,
BCR-2024-047,P005,Scope change 47: Design modification,2024-01-17,2024-01-24,rejected,272923.29,18,Change Control Board,True,
BCR-2024-048,P002,Scope change 48: Material substitution,2024-01-10,2024-01-17,approved,195338.17,12,Change Control Board,False,
BCR-2024-049,P003,Scope change 49: Material substitution,2024-01-18,2024-01-25,pending,188213.82,-3,Change Control Board,True,
BCR-2024-050,P003,Scope change 50: Additional survey requirements,2024-01-15,2024-01-30,approved,130211.51,5,Change Control Board,True,
BCR-2024-051,P001,Scope change 51: Geotechnical condition change,2023-12-02,2023-12-19,approved,57582.68,20,Change Control Board,False,
BCR-2024-052,P003,Scope change 52: Regulatory compliance update,2023-12-31,2024-01-20,approved,301449.71,25,Change Control Board,True,
BCR-2024-053,P004,Scope change 53: Geotechnical condition change,2024-01-28,2024-02-09,approved,350278.31,14,Change Control Board,False,
BCR-2024-054,P005,Scope change 54: Material substitution,2023-11-20,2023-12-02,rejected,479753.66,25,Change Control Board,True,
BCR-2024-055,P002,Scope change 55: Additional survey requirements,2023-12-23,2023-12-29,approved,42570.89,7,Change Control Board,True,
BCR-2024-056,P003,Scope change 56: Material substitution,2024-01-16,2024-01-27,approved,378302.98,-2,Change Control Board,True,
BCR-2024-057,P003,Scope change 57: Material substitution,2023-12-11,2023-12-29,approved,321660.16,0,Change Control Board,False,
BCR-2024-058,P001,Scope change 58: Geotechnical condition change,2023-11-29,2023-12-12,approved,433488.1,30,Change Control Board,True,
BCR-2024-059,P001,Scope change 59: Geotechnical condition change,2023-12-28,2024-01-12,approved,232445.01,25,Change Control Board,True,
BCR-2024-060,P005,Scope change 60: Regulatory compliance update,2023-12-20,2024-01-09,approved,333968.01,12,Change Control Board,True,
BCR-2024-061,P003,Scope change 61: Material substitution,2023-12-25,2024-01-11,approved,4538.01,-4,Change Control Board,True,
BCR-2024-062,P004,Scope change 62: Regulatory compliance update,2024-01-10,2024-01-16,approved,173961.37,23,Change Control Board,True,
BCR-2024-063,P005,Scope change 63: Additional survey requirements,2023-12-27,2024-01-02,approved,480749.04,18,Change Control Board,True,
BCR-2024-064,P002,Scope change 64: Material substitution,2024-01-12,2024-01-21,approved,126460.17,22,Change Control Board,True,
BCR-2024-065,P003,Scope change 65: Client requested addition,2023-12-27,2024-01-15,approved,485659.38,7,Change Control Board,True,
BCR-2024-066,P003,Scope change 66: Material substitution,2023-11-08,2023-11-26,approved,-45398.09,15,Change Control Board,True,
BCR-2024-067,P005,Scope change 67: Additional survey requirements,2023-10-31,2023-11-20,approved,423938.25,25,Change Control Board,True,
BCR-2024-068,P004,Scope change 68: Regulatory compliance update,2023-11-24,2023-12-09,rejected,24896.92,6,Change Control Board,False,
BCR-2024-069,P005,Scope change 69: Design modification,2023-12-09,2023-12-28,approved,-42805.57,-1,Change Control Board,True,
BCR-2024-070,P004,Scope change 70: Design modification,2024-01-27,2024-02-12,approved,483655.04,26,Change Control Board,True,
BCR-2024-071,P002,Scope change 71: Design modification,2023-11-02,2023-11-15,approved,78369.83,13,Change Control Board,True,
BCR-2024-072,P005,Scope change 72: Material substitution,2023-11-23,2023-12-13,approved,2288.82,1,Change Control Board,True,
BCR-2024-073,P004,Scope change 73: Regulatory compliance update,2024-01-28,2024-02-15,approved,286636.2,6,Change Control Board,True,
BCR-2024-074,P004,Scope change 74: Regulatory compliance update,2023-11-25,2023-12-06,approved,162711.18,-3,Change Control Board,False,
BCR-2024-075,P002,Scope change 75: Regulatory compliance update,2024-01-20,2024-01-25,approved,480514.87,2,Change Control Board,True,
BCR-2024-076,P004,Scope change 76: Additional survey requirements,2023-12-16,2024-01-04,rejected,319256.0,19,Change Control Board,False,
BCR-2024-077,P004,Scope change 77: Material substitution,2024-01-11,2024-01-19,approved,172696.73,29,Change Control Board,True,
BCR-2024-078,P004,Scope change 78: Regulatory compliance update,2024-01-04,2024-01-24,approved,432744.7,8,Change Control Board,True,
BCR-2024-079,P005,Scope change 79: Geotechnical condition change,2024-01-20,2024-01-27,approved,494081.76,-2,Change Control Board,True,
BCR-2024-080,P003,Scope change 80: Geotechnical condition change,2023-12-18,2023-12-28,rejected,492060.56,13,Change Control Board,True,
