baseline_id,project_id,work_package_id,baseline_revision,scope_revision_reference,bac_usd,baseline_effective_from,baseline_effective_to,approved_date,approved_by,change_reason,contingency_included,currency,baseline_source,notes
BL-00121,P003,WP-035,original,,1058195.08,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00122,P003,WP-036,original,,195378.34,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00123,P003,WP-037,original,,1578498.54,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00124,P003,WP-038,original,,1124656.99,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00125,P003,WP-039,original,,2034148.44,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00126,P003,WP-040,original,,665915.47,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00127,P004,WP-001,original,,166917.51,2023-10-01,2024-01-15,2023-10-01,PMO-Director,,False,USD,Original PMB,Superseded by approved change order BCR-2024-001
BL-00128,P004,WP-001,revised,BCR-2024-001,198135.21,2024-01-15,,2024-01-15,PMO-Director,Scope increase from additional survey requirements,True,USD,Approved Change Order,Current active baseline
BL-00129,P004,WP-002,original,,325254.66,2023-10-01,2024-01-15,2023-10-01,Change-Board,,True,USD,Original PMB,Superseded by approved change order BCR-2024-001
BL-00130,P004,WP-002,revised,BCR-2024-001,384142.48,2024-01-15,,2024-01-15,Change-Board,Scope increase from additional survey requirements,True,USD,Approved Change Order,Current active baseline
BL-00131,P004,WP-003,original,,465629.08,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00132,P004,WP-004,original,,974538.59,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00133,P004,WP-005,original,,1706720.49,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00134,P004,WP-006,original,,2147649.24,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00135,P004,WP-007,original,,657295.57,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00136,P004,WP-008,original,,401549.0,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00137,P004,WP-009,original,,1226549.9,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00138,P004,WP-010,original,,152229.28,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00139,P004,WP-011,original,,787266.53,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00140,P004,WP-012,original,,1800496.18,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00141,P004,WP-013,original,,461414.39,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00142,P004,WP-014,original,,351467.45,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00143,P004,WP-015,original,,1703967.5,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00144,P004,WP-016,original,,1092920.19,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00145,P004,WP-017,original,,460008.1,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00146,P004,WP-018,original,,1106540.27,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00147,P004,WP-019,original,,375828.65,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00148,P004,WP-020,original,,149215.89,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00149,P004,WP-021,original,,1847522.06,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00150,P004,WP-022,original,,1010895.6,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00151,P004,WP-023,original,,750271.36,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00152,P004,WP-024,original,,1069644.94,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00153,P004,WP-025,original,,1481260.59,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00154,P004,WP-026,original,,1970810.94,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00155,P004,WP-027,original,,500597.41,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00156,P004,WP-028,original,,2203204.85,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00157,P004,WP-029,original,,1623710.6,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00158,P004,WP-030,original,,1434763.18,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00159,P004,WP-031,original,,334538.75,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00160,P004,WP-032,original,,515887.58,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00161,P004,WP-033,original,,552372.9,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00162,P004,WP-034,original,,511290.0,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00163,P004,WP-035,original,,228640.05,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00164,P004,WP-036,original,,1018375.71,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00165,P004,WP-037,original,,545351.95,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00166,P004,WP-038,original,,602930.12,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00167,P004,WP-039,original,,1147583.27,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00168,P004,WP-040,original,,1436017.86,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00169,P005,WP-001,original,,412368.24,2023-10-01,2024-01-15,2023-10-01,PMO-Director,,False,USD,Original PMB,Superseded by approved change order BCR-2024-001
BL-00170,P005,WP-001,revised,BCR-2024-001,518361.0,2024-01-15,,2024-01-15,PMO-Director,Scope increase from additional survey requirements,True,USD,Approved Change Order,Current active baseline
BL-00171,P005,WP-002,original,,396882.93,2023-10-01,2024-01-15,2023-10-01,Project-Sponsor,,False,USD,Original PMB,Superseded by approved change order BCR-2024-001
BL-00172,P005,WP-002,revised,BCR-2024-001,495660.61,2024-01-15,,2024-01-15,Project-Sponsor,Scope increase from additional survey requirements,False,USD,Approved Change Order,Current active baseline
BL-00173,P005,WP-003,original,,455550.63,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00174,P005,WP-004,original,,459765.52,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00175,P005,WP-005,original,,1177818.93,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00176,P005,WP-006,original,,1033952.93,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00177,P005,WP-007,original,,500489.84,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00178,P005,WP-008,original,,1377161.08,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00179,P005,WP-009,original,,807302.71,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00180,P005,WP-010,original,,788517.41,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00181,P005,WP-011,original,,557016.54,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00182,P005,WP-012,original,,453269.56,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00183,P005,WP-013,original,,998964.86,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00184,P005,WP-014,original,,751972.9,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00185,P005,WP-015,original,,1398098.71,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00186,P005,WP-016,original,,537802.39,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00187,P005,WP-017,original,,1843987.24,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00188,P005,WP-018,original,,935948.28,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00189,P005,WP-019,original,,481825.88,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00190,P005,WP-020,original,,886519.42,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00191,P005,WP-021,original,,221461.1,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00192,P005,WP-022,original,,574071.26,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00193,P005,WP-023,original,,1301811.7,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00194,P005,WP-024,original,,561198.2,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00195,P005,WP-025,original,,211064.11,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00196,P005,WP-026,original,,162640.53,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00197,P005,WP-027,original,,1059983.09,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00198,P005,WP-028,original,,2083730.99,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00199,P005,WP-029,original,,1335360.96,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
BL-00200,P005,WP-030,original,,397756.06,2023-10-01,,2023-10-01,Change-Board,,False,USD,Original PMB,
BL-00201,P005,WP-031,original,,1865373.15,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00202,P005,WP-032,original,,370583.43,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00203,P005,WP-033,original,,516098.89,2023-10-01,,2023-10-01,PMO-Director,,False,USD,Original PMB,
BL-00204,P005,WP-034,original,,826733.52,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00205,P005,WP-035,original,,1503017.24,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00206,P005,WP-036,original,,1103569.57,2023-10-01,,2023-10-01,Change-Board,,True,USD,Original PMB,
BL-00207,P005,WP-037,original,,921020.24,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00208,P005,WP-038,original,,501889.08,2023-10-01,,2023-10-01,Project-Sponsor,,True,USD,Original PMB,
BL-00209,P005,WP-039,original,,184558.6,2023-10-01,,2023-10-01,PMO-Director,,True,USD,Original PMB,
BL-00210,P005,WP-040,original,,230389.42,2023-10-01,,2023-10-01,Project-Sponsor,,False,USD,Original PMB,
