transaction_id,basket_id,customer_id,transaction_date,store_id,item_id,quantity,unit_price,transaction_type
T0004953,B004564,C03900,2024-12-08,2,1283,1,12.4,regular
T0001511,B001393,C01848,2024-11-18,20,1248,1,3.22,regular
T0004210,B003889,C04958,2024-10-20,15,4228,1,5.56,regular
T0002232,B002055,C04438,2024-03-27,7,1031,1,4.22,regular
T0002288,B002103,C01809,2024-01-17,14,1086,1,4.98,regular
T0005040,B004644,C02519,2024-04-08,18,1035,2,2.5,regular
T0001102,B001017,C03372,2024-09-22,9,1013,1,1.1,regular
T0005342,B004922,C04002,2024-04-13,7,1114,1,2.26,regular
T0002555,B002351,C01015,2024-04-10,18,1227,1,8.47,regular
T0011861,B010921,C03498,2024-12-28,3,4051,1,6.92,regular
T0003077,B002840,C02962,2024-03-28,18,1192,1,9.1,regular
T0004662,B004302,C03394,2024-07-10,10,1036,1,3.2,regular
T0011383,B010484,C03894,2024-03-21,17,1089,2,2.91,regular
T0018435,B017395,C03761,2024-07-28,19,1168,-1,4.0,regular
T0019809,B018769,C04752,2024-09-08,20,4216,-1,2.75,regular
T0001900,B001753,C02620,2024-05-11,19,1030,2,3.4,regular
T0005199,B004791,C03569,2024-07-07,10,1022,1,3.78,regular
T0007045,B006503,C02672,2024-08-16,4,4218,1,6.04,regular
T0000750,B000693,C02198,2024-12-20,16,1189,3,6.32,regular
T0011087,B010214,C04914,2024-10-02,16,4051,1,6.92,regular
T0024532,B000349,C02188,2024-05-18,4,1136,1,5.24,promo_bundle
T0008380,B007715,C00276,2024-02-22,4,1068,2,7.09,regular
T0004353,B004017,C02413,2024-10-26,4,4214,1,5.7,regular
T0003448,B003185,C01319,2024-10-23,14,4136,1,5.24,regular
T0008868,B008170,C01494,2024-01-30,7,1017,3,1.87,regular
T0003233,B002981,C03715,2024-01-18,1,1148,1,6.51,regular
T0012653,B011638,C04791,2024-02-01,20,1236,1,4.73,regular
T0010449,B009629,C00190,2024-03-02,16,1056,1,3.62,regular
T0002023,B001868,C02388,2024-08-25,19,1178,1,5.36,regular
T0010903,B010046,C01879,2024-01-06,16,1225,2,2.7,regular
T0012835,B011808,C00614,2024-02-08,6,1054,1,4.02,regular
T0003415,B003154,C02822,2024-03-24,11,1081,2,5.94,regular
T0000350,B000325,C00300,2024-04-15,15,1138,1,2.96,regular
T0014441,B013401,C04974,2024-07-25,16,1013,-1,1.1,regular
T0006294,B005796,C01065,2024-03-09,1,1175,3,4.92,regular
T0010847,B009994,C02901,2024-09-29,15,4115,1,1.65,regular
T0004357,B004021,C02766,2024-12-20,17,4109,1,13.56,regular
T0003706,B003429,C01154,2024-11-08,8,4136,1,5.24,regular
T0005268,B004855,C01193,2024-09-04,19,1288,1,9.66,regular
T0008755,B008064,C00699,2024-10-10,19,4136,3,5.24,regular
T0000905,B000834,C02420,2024-06-24,15,1054,2,4.02,regular
T0000460,B000425,C01316,2024-05-26,9,1081,1,5.94,regular
T0011616,B010699,C04145,2024-05-03,8,1247,2,4.37,regular
T0005422,B004994,C00009,2024-10-24,7,4209,2,4.49,regular
T0006563,B006048,C03075,2024-03-16,15,1136,1,5.24,regular
T0002195,B002021,C04147,2024-02-12,2,1103,2,7.41,regular
T0002098,B001931,C02927,2024-11-03,10,4136,2,5.24,regular
T0008607,B007929,C03862,2024-12-01,19,4059,1,6.44,regular
T0010466,B009645,C02251,2024-04-09,12,1054,1,4.02,regular
T0000482,B000446,C03121,2024-11-13,10,4118,1,12.08,regular
T0002391,B002197,C01001,2024-04-09,11,1215,1,2.83,regular
T0006052,B005569,C02367,2024-01-01,12,1013,2,1.1,regular
T0007828,B007220,C03282,2024-07-04,12,4116,3,2.53,regular
T0001068,B000986,C00637,2024-05-07,20,1214,1,5.7,regular
T0007357,B006786,C02831,2024-08-13,15,1170,3,4.3,regular
T0007656,B007061,C02828,2024-12-06,20,4118,3,12.08,regular
T0005668,B005218,C04921,2024-11-09,6,4154,1,5.68,regular
T0005535,B005097,C02047,2024-06-13,11,1059,1,6.44,regular
T0000539,B000498,C02807,2024-06-11,9,1011,1,1.86,regular
T0011681,B010760,C01665,2024-08-24,17,4058,2,3.94,regular
T0005057,B004660,C04483,2024-02-20,1,1065,1,6.53,regular
T0011474,B010570,C00531,2024-10-17,14,1008,1,1.34,regular
T0010856,B010001,C02864,2024-12-07,6,1009,1,2.68,regular
T0005621,B005175,C04244,2024-05-30,13,1241,1,4.21,regular
T0005449,B005018,C01166,2024-12-03,9,4051,1,6.92,regular
T0011708,B010785,C00415,2024-07-09,20,4139,1,5.02,regular
T0003379,B003121,C03770,2024-01-05,4,1235,1,4.38,regular
T0011475,B010571,C02720,2024-05-14,1,1225,1,2.7,regular
T0007197,B006641,C02145,2024-06-01,11,1142,2,3.99,regular
T0001018,B000938,C02591,2024-09-06,20,1166,1,16.45,regular
T0010753,B009911,C03185,2024-09-17,5,1031,2,4.22,regular
T0022499,B021459,C02475,2024-10-15,2,4218,-1,6.04,regular
T0011048,B010179,C00556,2024-01-15,12,1081,1,5.94,regular
T0000050,B000045,C02823,2024-09-21,5,4121,2,6.33,regular
T0019338,B018298,C03771,2024-04-05,4,1235,-1,4.38,regular
T0005202,B004794,C01862,2024-11-17,4,4214,2,5.7,regular
T0005036,B004640,C02465,2024-02-16,6,1166,2,16.45,regular
T0001009,B000931,C03169,2024-11-11,15,4115,1,1.65,regular
T0010606,B009772,C01083,2024-02-20,7,1138,3,2.96,regular
T0010925,B010068,C02304,2024-09-26,2,4140,3,2.1,regular
T0013398,B012358,C01221,2024-12-21,7,4103,1,7.41,promo_bundle
T0001209,B001119,C00694,2024-01-12,16,1214,1,5.7,regular
T0009576,B008833,C01812,2024-11-01,18,4113,1,8.12,regular
T0001812,B001670,C01743,2024-09-02,5,1261,1,7.42,regular
T0012657,B011642,C00970,2024-10-02,6,4230,1,7.27,regular
T0006789,B006260,C02341,2024-06-21,2,1052,2,2.31,regular
T0000718,B000663,C02375,2024-01-17,14,1138,1,2.96,regular
T0006560,B006046,C02864,2024-01-19,1,1208,3,6.19,regular
T0011353,B010457,C02027,2024-09-05,10,1240,1,1.78,regular
T0021899,B020859,C04181,2024-07-27,7,4056,-1,3.62,regular
T0008221,B007572,C02551,2024-01-24,19,1022,1,3.78,regular
T0005329,B004911,C01190,2024-04-22,4,1118,1,12.08,regular
T0020663,B019623,C04740,2024-02-17,3,1136,-1,5.24,regular
T0007815,B007208,C03717,2024-01-02,6,1033,1,3.13,regular
T0002248,B002069,C03702,2024-09-13,2,1168,3,4.0,regular
T0010119,B009328,C01486,2024-11-23,18,4138,3,2.96,regular
T0004605,B004249,C02221,2024-10-31,18,4142,2,3.99,regular
T0008561,B007886,C01912,2024-12-04,16,1009,2,2.68,regular
T0020058,B019018,C04884,2024-02-13,16,1031,-1,4.22,regular
T0004969,B004577,C04503,2024-01-07,7,1052,1,2.31,regular
T0006224,B005732,C02339,2024-10-30,3,4227,2,8.47,regular
T0013393,B012353,C04852,2024-05-07,11,1117,1,9.77,promo_bundle
T0006336,B005837,C00085,2024-04-16,2,1233,1,1.77,regular
T0012025,B011065,C00846,2024-12-29,15,1167,2,12.48,regular
T0009003,B008297,C04065,2024-09-01,10,4068,1,7.09,regular
T0000949,B000875,C02693,2024-06-03,15,1239,2,8.86,regular
T0006806,B006276,C01003,2024-09-16,3,4228,1,5.56,regular
T0013074,B012034,C01540,2024-12-26,14,4116,1,2.53,promo_bundle
T0001990,B001837,C02542,2024-09-01,15,1014,1,1.79,regular
T0000687,B000635,C04373,2024-10-02,16,1170,2,4.3,regular
T0001999,B001846,C01834,2024-08-21,18,4054,1,4.02,regular
T0016142,B015102,C02828,2024-05-26,9,1051,-1,6.92,regular
T0006224,B005732,C02339,2024-10-30,3,4224,1,6.34,regular
T0000109,B000100,C04062,2024-11-16,20,1168,2,4.0,regular
T0011457,B010554,C03275,2024-07-10,18,1017,1,1.87,regular
T0007095,B006549,C01902,2024-02-10,16,1196,3,8.1,regular
T0001995,B001842,C04584,2024-06-20,2,1051,1,6.92,regular
T0010855,B010000,C03841,2024-03-22,16,1137,1,4.44,regular
T0006747,B006223,C00499,2024-01-28,10,1014,1,1.79,regular
T0012249,B011269,C01731,2024-04-24,13,1066,2,6.25,regular
T0009767,B009005,C03520,2024-12-15,11,1248,1,3.22,regular
T0010051,B009264,C00201,2024-09-11,4,1030,1,3.4,regular
T0002819,B002591,C04321,2024-05-24,4,1059,1,6.44,regular
T0001772,B001635,C01253,2024-09-02,10,4136,1,5.24,regular
T0000576,B000533,C01653,2024-05-21,1,1226,1,2.05,regular
T0001048,B000967,C02041,2024-05-01,16,1188,2,3.89,regular
T0010206,B009411,C02911,2024-09-08,4,1004,1,1.88,regular
T0006998,B006459,C00738,2024-06-22,3,1051,2,6.92,regular
T0010756,B009914,C03960,2024-04-01,8,1221,1,7.87,regular
T0001056,B000975,C04658,2024-10-16,2,4210,1,5.13,regular
T0011781,B010850,C04215,2024-12-18,15,1170,2,4.3,regular
T0000807,B000745,C00256,2024-05-30,6,1017,3,1.87,regular
T0002120,B001952,C00368,2024-06-17,9,1082,1,4.37,regular
T0004727,B004358,C04032,2024-05-10,4,1209,1,4.49,regular
T0011684,B010763,C04208,2024-04-17,4,1136,1,5.24,regular
T0004619,B004263,C04711,2024-12-24,18,4228,1,5.56,regular
T0004998,B004604,C00573,2024-08-07,19,1081,2,5.94,regular
T0002493,B002292,C01443,2024-02-16,3,1113,1,8.12,regular
T0004064,B003757,C00664,2024-11-26,15,4214,1,5.7,regular
T0008106,B007469,C01555,2024-12-11,13,1089,3,2.91,regular
T0011796,B010863,C00626,2024-03-27,13,1237,2,6.82,regular
T0005213,B004805,C02104,2024-02-19,1,1013,1,1.1,regular
T0003581,B003310,C03541,2024-03-28,3,1084,2,4.57,regular
T0008832,B008136,C00704,2024-09-13,4,4109,1,13.56,regular
T0001640,B001512,C02846,2024-01-10,4,1118,1,12.08,regular
T0010339,B009530,C02390,2024-01-25,17,1109,3,13.56,regular
T0020584,B019544,C01503,2024-09-10,5,4060,-1,4.54,regular
T0008759,B008068,C00964,2024-07-16,3,4056,1,3.62,regular
T0009685,B008930,C04892,2024-06-29,1,1109,1,13.56,regular
T0010094,B009306,C04332,2024-06-13,16,1015,1,3.59,regular
T0006980,B006442,C04664,2024-06-09,19,1017,2,1.87,regular
T0005081,B004682,C02324,2024-05-16,8,1139,2,5.02,regular
T0011874,B010931,C04494,2024-04-09,18,1219,2,2.82,regular
T0011364,B010467,C00742,2024-07-25,6,4123,1,8.4,regular
T0007628,B007035,C02874,2024-06-10,13,1232,1,2.51,regular
T0000279,B000258,C00643,2024-08-16,13,4234,3,4.44,regular
T0002873,B002644,C01614,2024-05-25,13,1216,1,2.75,regular
T0008594,B007917,C01965,2024-12-30,8,1022,2,3.78,regular
T0002638,B002427,C03360,2024-04-16,7,1081,1,5.94,regular
T0007264,B006700,C04792,2024-01-22,4,1064,1,8.55,regular
T0007968,B007344,C01955,2024-03-01,4,1137,1,4.44,regular
T0020952,B019912,C04385,2024-03-07,9,1212,-1,2.79,regular
T0001260,B001163,C02991,2024-01-08,1,1175,1,4.92,regular
T0002001,B001848,C00425,2024-12-13,12,1008,2,1.34,regular
T0020421,B019381,C04560,2024-01-07,6,1188,-1,3.89,regular
T0013498,B012458,C01078,2024-02-20,15,1168,1,4.0,promo_bundle
T0008598,B007921,C01915,2024-09-18,10,1022,1,3.78,regular
T0008003,B007378,C04749,2024-05-07,7,1235,2,4.38,regular
T0010794,B009946,C04089,2024-02-23,17,1241,1,4.21,regular
T0007695,B007098,C00849,2024-05-04,17,1216,1,2.75,regular
T0013090,B012050,C03922,2024-11-11,5,4142,1,3.99,promo_bundle
T0009369,B008641,C02065,2024-08-29,18,1002,1,1.09,regular
T0014582,B013542,C02875,2024-12-30,2,4066,-1,6.25,regular
T0006406,B005902,C02531,2024-10-26,5,1084,2,4.57,regular
T0010675,B009835,C00236,2024-03-04,2,1030,1,3.4,regular
T0009756,B008995,C01569,2024-01-07,10,1207,1,8.95,regular
T0012207,B011234,C04308,2024-02-17,6,1031,3,4.22,regular
T0004197,B003878,C03265,2024-10-09,17,4136,1,5.24,regular
T0010233,B009434,C04973,2024-07-05,17,1009,1,2.68,regular
T0005115,B004713,C04785,2024-11-17,20,1031,1,4.22,regular
T0002124,B001956,C02759,2024-02-22,13,1023,2,2.35,regular
T0005774,B005316,C01447,2024-02-06,1,1115,1,1.65,regular
T0000115,B000106,C01695,2024-08-21,17,4216,1,2.75,regular
T0020767,B019727,C04836,2024-12-31,9,1035,-2,2.5,regular
T0009942,B009162,C01616,2024-05-31,18,1095,1,4.44,regular
T0010431,B009615,C00649,2024-04-06,16,1051,1,6.92,regular
T0004219,B003898,C00927,2024-09-14,3,4051,1,6.92,regular
T0002282,B002097,C00159,2024-03-25,15,1175,1,4.92,regular
T0006822,B006290,C00114,2024-01-27,1,1216,1,2.75,regular
T0006290,B005793,C00684,2024-01-16,18,1223,1,2.89,regular
T0011976,B011022,C03000,2024-12-04,14,4221,1,7.87,regular
T0010906,B010049,C02191,2024-05-21,5,1242,1,3.7,regular
T0023651,B022611,C04878,2024-12-13,15,1011,-1,1.86,regular
T0002423,B002226,C00036,2024-05-07,9,1054,1,4.02,regular
T0005222,B004814,C01350,2024-08-28,13,1014,3,1.79,regular
T0007440,B006864,C04235,2024-06-18,14,1014,1,1.79,regular
T0011274,B010386,C04179,2024-10-11,8,4137,2,4.44,regular
T0009911,B009132,C02565,2024-08-28,17,4116,1,2.53,regular
T0010021,B009238,C02856,2024-07-30,5,1082,2,4.37,regular
T0002684,B002468,C03575,2024-02-24,14,1035,2,2.5,regular
T0002542,B002339,C00010,2024-02-25,1,1031,1,4.22,regular
T0002234,B002057,C02456,2024-12-02,4,4051,1,6.92,regular
T0011339,B010446,C03920,2024-09-02,20,4063,1,3.86,regular
T0000839,B000774,C04734,2024-04-24,1,1242,2,3.7,regular
T0010186,B009392,C04855,2024-06-01,1,1108,2,9.17,regular
T0005718,B005266,C01845,2024-05-07,20,1223,2,2.89,regular
T0002596,B002388,C03459,2024-04-21,1,1212,2,2.79,regular
T0007139,B006589,C03752,2024-09-02,10,1031,3,4.22,regular
T0005005,B004611,C02179,2024-06-21,7,1207,1,8.95,regular
T0010831,B009980,C00554,2024-09-16,9,1175,1,4.92,regular
T0008452,B007780,C00354,2024-06-26,15,1140,1,2.1,regular
T0011325,B010433,C04770,2024-07-25,5,1030,1,3.4,regular
T0023864,B022824,C02921,2024-07-06,15,1166,-1,16.45,regular
T0022823,B021783,C00936,2024-05-14,14,1061,-1,4.58,regular
T0009706,B008949,C03953,2024-03-09,13,1115,1,1.65,regular
T0007787,B007181,C04801,2024-04-07,15,1140,1,2.1,regular
T0012892,B011861,C03899,2024-08-23,13,1175,1,4.92,regular
T0002021,B001866,C03564,2024-08-09,15,4215,2,2.83,regular
T0012333,B011344,C04036,2024-08-25,4,4051,1,6.92,regular
T0013092,B012052,C02540,2024-12-08,4,4058,1,3.94,promo_bundle
T0000193,B000179,C02448,2024-05-13,7,1229,3,4.77,regular
T0002944,B002711,C03829,2024-08-11,19,4232,1,2.51,regular
T0009570,B008827,C04547,2024-10-28,14,4057,1,2.7,regular
T0004480,B004132,C00622,2024-06-28,17,1194,1,4.47,regular
T0000147,B000137,C03384,2024-09-23,12,1020,2,1.02,regular
T0002656,B002442,C02267,2024-12-22,1,4109,3,13.56,regular
T0016148,B015108,C00997,2024-01-13,9,1248,-1,3.22,regular
T0012781,B011759,C02900,2024-03-25,5,1009,1,2.68,regular
T0005604,B005159,C00275,2024-08-27,8,1014,1,1.79,regular
T0008222,B007573,C00373,2024-08-23,6,1171,1,18.86,regular
T0004440,B004097,C00680,2024-09-06,6,4056,2,3.62,regular
T0007684,B007087,C03831,2024-08-30,12,4218,1,6.04,regular
T0009603,B008856,C03625,2024-01-23,17,1170,1,4.3,regular
T0005276,B004862,C03197,2024-07-07,8,4051,1,6.92,regular
T0012523,B011517,C03964,2024-02-29,2,1214,3,5.7,regular
T0006177,B005687,C02848,2024-07-30,7,1013,2,1.1,regular
T0001911,B001764,C00782,2024-01-03,9,1023,1,2.35,regular
T0011689,B010768,C02737,2024-03-08,10,1115,2,1.65,regular
T0012202,B011229,C03430,2024-12-22,19,4103,1,7.41,regular
T0000369,B000342,C04953,2024-08-05,1,4207,1,8.95,regular
T0023972,B022932,C03628,2024-05-06,2,1228,-1,5.56,regular
T0012656,B011641,C01790,2024-01-17,3,1289,1,11.61,regular
T0012881,B011850,C00739,2024-12-26,3,1031,1,4.22,regular
T0003486,B003222,C00727,2024-06-27,4,1121,1,6.33,regular
T0008431,B007760,C00085,2024-12-15,18,4066,2,6.25,regular
T0001100,B001015,C03850,2024-06-06,17,1022,1,3.78,regular
T0002448,B002249,C02839,2024-03-26,5,1235,1,4.38,regular
T0006725,B006202,C03018,2024-12-16,11,4216,1,2.75,regular
T0004847,B004467,C04653,2024-06-10,18,1196,1,8.1,regular
T0009487,B008752,C01734,2024-02-16,13,1226,3,2.05,regular
T0001832,B001689,C02659,2024-12-13,17,1283,1,12.4,regular
T0019651,B018611,C00876,2024-02-01,1,1051,-1,6.92,regular
T0010178,B009384,C04667,2024-12-03,19,4136,2,5.24,regular
T0000466,B000431,C04787,2024-06-17,13,1117,1,9.77,regular
T0008167,B007525,C01474,2024-05-19,16,1115,1,1.65,regular
T0011982,B011027,C04439,2024-10-11,10,4210,1,5.13,regular
T0005602,B005157,C00516,2024-12-26,10,4115,2,1.65,regular
T0001844,B001700,C04695,2024-01-08,11,1235,1,4.38,regular
T0011830,B010891,C04090,2024-02-11,9,1019,3,4.23,regular
T0004795,B004421,C01076,2024-06-16,18,1215,1,2.83,regular
T0011329,B010437,C04143,2024-10-23,11,4229,1,4.77,regular
T0001093,B001008,C01520,2024-12-02,19,4109,1,13.56,regular
T0024836,B002402,C00370,2024-06-04,5,4228,-2,5.56,regular
T0004519,B004168,C01349,2024-10-11,6,1006,2,3.7,regular
T0006883,B006348,C00002,2024-10-21,7,1167,1,12.48,regular
T0011267,B010380,C03991,2024-03-17,4,1224,1,6.34,regular
T0013024,B011985,C04771,2024-06-27,17,1093,1,5.43,regular
T0009232,B008512,C02260,2024-01-20,7,1109,1,13.56,regular
T0007848,B007238,C02816,2024-10-06,18,4232,1,2.51,regular
T0003926,B003630,C02662,2024-07-06,10,4056,1,3.62,regular
T0019581,B018541,C01164,2024-07-19,3,1013,-1,1.1,regular
T0013598,B012558,C04018,2024-01-01,10,1216,1,2.75,promo_bundle
T0009121,B008408,C04868,2024-07-23,10,4138,1,2.96,regular
T0000836,B000771,C00696,2024-05-18,3,1116,1,2.53,regular
T0016724,B015684,C02627,2024-08-25,19,4228,-1,5.56,regular
T0008456,B007784,C01679,2024-07-27,14,1244,2,2.98,regular
T0007054,B006512,C04054,2024-01-19,7,1056,2,3.62,regular
T0002841,B002613,C01420,2024-02-29,15,1002,1,1.09,regular
T0007563,B006975,C03125,2024-12-15,7,4210,1,5.13,regular
T0005129,B004724,C01299,2024-09-24,20,1170,1,4.3,regular
T0000717,B000662,C03370,2024-11-11,4,1175,1,4.92,regular
T0006470,B005962,C00450,2024-10-25,2,4151,1,5.0,regular
T0005635,B005188,C04101,2024-03-13,4,1249,1,2.99,regular
T0015384,B014344,C01581,2024-05-07,10,1136,-1,5.24,regular
T0011189,B010308,C04336,2024-08-05,17,4059,1,6.44,regular
T0006841,B006307,C01527,2024-10-02,8,1081,1,5.94,regular
T0006175,B005685,C03898,2024-04-24,11,1035,2,2.5,regular
T0002496,B002295,C00563,2024-08-30,7,4058,1,3.94,regular
T0002473,B002273,C03017,2024-06-26,16,1145,1,2.94,regular
T0016825,B015785,C02938,2024-12-31,20,4238,-1,6.38,regular
T0005793,B005334,C03900,2024-09-26,18,4103,1,7.41,regular
T0006791,B006262,C02606,2024-06-24,19,1240,1,1.78,regular
T0008660,B007978,C03825,2024-01-22,9,1142,1,3.99,regular
T0003815,B003529,C04331,2024-02-23,7,1025,1,4.82,regular
T0001571,B001449,C04678,2024-06-17,12,1207,1,8.95,regular
T0002839,B002611,C04895,2024-05-06,17,1126,1,1.15,regular
